osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,junction
296111561,2,N-634,Avenida Valentín Andrés,trunk,False,True,24.706,,"LINESTRING (-6.0678705 43.3913566, -6.0677573 43.391563)",
80340318,,N-634,Carretera Irún-Santiago,trunk,True,False,15.919,,"LINESTRING (-6.0678705 43.3913566, -6.0679545 43.3913132, -6.0680459 43.3912974)",
292062085,,N-634,,trunk,True,False,9.989999999999998,,"LINESTRING (-6.0679397 43.3911644, -6.0679222 43.3912062, -6.0679363 43.3912512)",roundabout
80340309,,N-634,Carretera Irún-Santiago,trunk,True,False,16.017,,"LINESTRING (-6.0681626 43.391209, -6.0682983 43.391104)",
80340311,,N-634,,trunk,True,False,9.518,,"LINESTRING (-6.0681626 43.391209, -6.0681546 43.3911788, -6.0681069 43.3911363)",roundabout
80340317,,N-634,Avenida Flórez Estrada,trunk,True,False,18.151,,"LINESTRING (-6.0746437 43.3869103, -6.0744911 43.3869601, -6.074437 43.3869739)",
80340312,,N-634,Avenida Flórez Estrada,trunk,True,False,17.647,,"LINESTRING (-6.0742898 43.3870939, -6.0742878 43.3871695, -6.0742649 43.3872509)",
80340316,,N-634,,trunk,True,False,12.146,,"LINESTRING (-6.0742898 43.3870939, -6.0743145 43.3871131, -6.0743504 43.3871268, -6.0743871 43.3871306, -6.074423 43.3871258)",roundabout
80340311,,N-634,,trunk,True,False,3.451,,"LINESTRING (-6.0681069 43.3911363, -6.0680674 43.3911245)",roundabout
80340316,,N-634,,trunk,True,False,7.952999999999999,,"LINESTRING (-6.0742748 43.3870249, -6.0742719 43.3870607, -6.0742898 43.3870939)",roundabout
80340316,,N-634,,trunk,True,False,4.555,,"LINESTRING (-6.074437 43.3869739, -6.0743821 43.3869646)",roundabout
80340311,,N-634,,trunk,True,False,4.568,,"LINESTRING (-6.0680459 43.3912974, -6.0681004 43.3912865)",roundabout
80340324,,AS-311,Avenida Fernando Díaz Villabella,tertiary,True,False,16.117,,"LINESTRING (-6.0743821 43.3869646, -6.0742262 43.3868742)",
80340316,,N-634,,trunk,True,False,11.683,,"LINESTRING (-6.0743821 43.3869646, -6.0743431 43.3869703, -6.0743153 43.3869817, -6.0742892 43.387002, -6.0742748 43.3870249)",roundabout
"[89942731, 89942685]",,,Calle Charcón,residential,False,False,125.43900000000001,,"LINESTRING (-6.0677315 43.3903561, -6.0676638 43.3903505, -6.06761 43.3903481, -6.0675089 43.3903093, -6.066825 43.3902869, -6.0661938 43.3902751)",
307922946,,,Travesía Tras del Ayuntamiento,residential,False,False,67.603,,"LINESTRING (-6.0677315 43.3903561, -6.0677497 43.3905734, -6.0678095 43.3907339, -6.0679193 43.3909432)",
307922946,,,Travesía Tras del Ayuntamiento,residential,False,True,61.489000000000004,,"LINESTRING (-6.0677315 43.3903561, -6.0677478 43.3901464, -6.0677829 43.3898044)",
80340316,,N-634,,trunk,True,False,6.755,,"LINESTRING (-6.074423 43.3871258, -6.0744654 43.3871063, -6.0744853 43.3870868)",roundabout
