osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,access,width,bridge
"[24326514, 92891911, 24700375]",True,1,"['Calle San Andrés', 'Calle Verónica']",residential,30,False,120.381,"LINESTRING (-0.8788601 41.6521439, -0.8788759 41.6521563, -0.8788872 41.6521696, -0.8788967 41.6521889, -0.8789009 41.6522111, -0.8789004 41.6522284, -0.8788958 41.6522437, -0.8788866 41.6522595, -0.8780379 41.652911, -0.8779931 41.6529445)",,,
370981372,True,1,Calle Verónica,residential,30,False,130.062,"LINESTRING (-0.8788601 41.6521439, -0.8783987 41.6519655, -0.8774699 41.6516062)",,,
"[24343064, 679025346]",True,1,Calle de Juan Bruil,"['living_street', 'residential']",30,False,63.283,"LINESTRING (-0.8841392 41.6488788, -0.884124 41.6488694, -0.8840645 41.6488328, -0.8839958 41.6487967, -0.8839728 41.6487841, -0.8835324 41.648535)",,,
399096155,True,1,Paseo de la Independencia,tertiary,30,False,162.172,"LINESTRING (-0.8841392 41.6488788, -0.8836543 41.6493593, -0.8834881 41.6495238, -0.8830462 41.649952, -0.8829535 41.6500372)",,,
26600580,True,1,Calle de Joaquín Costa,residential,30,False,134.981,"LINESTRING (-0.8816865 41.6489292, -0.8815324 41.6488751, -0.8803886 41.6484737, -0.8802161 41.6484131)",,,
427590633,True,3,Calle de Isaac Peral,residential,30,False,76.185,"LINESTRING (-0.8816865 41.6489292, -0.8817639 41.6488016, -0.8820077 41.648399, -0.8820394 41.6483436, -0.8820621 41.6483042)",,,
26600581,True,1,Plaza de los Sitios,residential,30,False,91.484,"LINESTRING (-0.8802161 41.6484131, -0.88005 41.6483531, -0.8793398 41.6480964, -0.8792224 41.648059)",,,
"[428041328, 428041329]",True,2,Calle de Mariano Escar,residential,30,False,77.519,"LINESTRING (-0.8802161 41.6484131, -0.8803141 41.6482526, -0.8805739 41.6478271, -0.880602 41.6477784)",,,
"[514025440, 514020416, 26600582]",True,1,Plaza de los Sitios,"['residential', 'living_street']","['30', '10']",False,155.961,"LINESTRING (-0.8792224 41.648059, -0.8791477 41.6481904, -0.8790338 41.6483787, -0.8789848 41.6484161, -0.8788261 41.6486811, -0.8787609 41.6487962, -0.8787314 41.6488454, -0.8786434 41.648992, -0.8785212 41.6491954, -0.8784401 41.6493304)",,,
26600585,True,1,Calle de José Canalejas,residential,30,False,105.134,"LINESTRING (-0.8792224 41.648059, -0.8790344 41.6479896, -0.8780714 41.6476665)",,,
