osmid,oneway,lanes,name,highway,reversed,length,geometry,width,maxspeed,junction,tunnel
78316721,False,,Calle El Salvador,residential,True,125.467,"LINESTRING (-6.5418089 37.3358019, -6.5432066 37.3356065)",,,,
234343722,False,2,Calle Miguel Hernández,tertiary,False,74.245,"LINESTRING (-6.5418089 37.3358019, -6.541692 37.3351407)",,,,
234343722,False,2,Calle Miguel Hernández,tertiary,True,102.14,"LINESTRING (-6.5418089 37.3358019, -6.5418918 37.3362222, -6.5418977 37.3367153)",,,,
985110874,False,,Calle Nerva,tertiary,False,22.043,"LINESTRING (-6.5342181 37.339147, -6.5343634 37.3389859)",,,,
985110874,False,,Calle Nerva,tertiary,True,86.115,"LINESTRING (-6.5342181 37.339147, -6.533641 37.3397709)",,,,
158531886,True,,Calle San Francisco,tertiary,False,24.281,"LINESTRING (-6.5368409 37.3374943, -6.5371153 37.3375035)",,,,
78316715,False,,Calle Castilla,residential,False,92.257,"LINESTRING (-6.54312 37.3400384, -6.5421249 37.3397885)",,,,
78316715,False,,Calle Castilla,residential,True,52.567,"LINESTRING (-6.54312 37.3400384, -6.5436841 37.3401879)",,,,
78316761,False,,Calle Paloma,residential,False,158.41,"LINESTRING (-6.54312 37.3400384, -6.5437192 37.3386958)",,,,
78316761,False,,Calle Paloma,residential,True,77.395,"LINESTRING (-6.54312 37.3400384, -6.5428353 37.3406966)",,,,
158531886,True,,Calle San Francisco,tertiary,False,16.771,"LINESTRING (-6.5366531 37.3375156, -6.5368409 37.3374943)",,,,
158531895,True,,Calle León XIII,tertiary,False,50.726,"LINESTRING (-6.5390106 37.338711, -6.5392851 37.3383104)",,,,
78316739,False,,Calle Teniente Merchante,tertiary,True,8.583,"LINESTRING (-6.5385201 37.3358776, -6.5386075 37.335844)",,,,
78316861,True,,Calle Daoiz,residential,False,128.565,"LINESTRING (-6.5385201 37.3358776, -6.5385844 37.3362658, -6.538673 37.3370272)",,,,
158537778,True,,Calle Virgen del Pasmo,tertiary,False,16.785,"LINESTRING (-6.5370986 37.3371742, -6.5369604 37.3372777)",,,,
78316862,True,,Calle Teniente Guitar,tertiary,False,124.459,"LINESTRING (-6.5370986 37.3371742, -6.5373589 37.3369438, -6.5375182 37.3367199, -6.53774 37.3364082, -6.5378822 37.3362503)",,,,
158532666,False,,Calle Francisco Pérez y Vacas,tertiary,True,49.099000000000004,"LINESTRING (-6.5370986 37.3371742, -6.5371442 37.3372617, -6.5374551 37.337505)",,,,
400642306,True,,Calle Calvario,tertiary,False,53.883,"LINESTRING (-6.5379201 37.3342188, -6.5378742 37.3342782, -6.5376009 37.3346316)",,,,
158532660,True,,Calle Nuestra Señora de las Mercedes,residential,False,84.566,"LINESTRING (-6.5399879 37.3358146, -6.5394209 37.3364271)",,,,
78316823,False,,Calle San Vicente,residential,False,38.618,"LINESTRING (-6.5334938 37.335975, -6.5335109 37.335915, -6.5335993 37.335638)",,,,
400799863,False,,Calle San José,residential,True,76.379,"LINESTRING (-6.5334938 37.335975, -6.5335001 37.3360482, -6.5340301 37.3364941)",,,,
78316959,False,,Calle Sagasta,tertiary,True,103.983,"LINESTRING (-6.5386287 37.3337709, -6.5389281 37.3341767, -6.5392238 37.3345775)",,,,
400642306,True,,Calle Calvario,tertiary,False,80.654,"LINESTRING (-6.5386287 37.3337709, -6.5381077 37.3340471, -6.5379201 37.3342188)",,,,
234342351,True,,Calle Juan XXIII,tertiary,False,110.035,"LINESTRING (-6.5405801 37.3400183, -6.5413647 37.3407865)",,,,
78316895,True,,Calle Alcalde José Acosta,residential,False,263.156,"LINESTRING (-6.5405801 37.3400183, -6.5408849 37.3395508, -6.5416024 37.3384505, -6.5418437 37.3380794, -6.5419172 37.3379061)",,,,
78316709,True,,Calle Medina Sidonia,tertiary,False,56.65,"LINESTRING (-6.5394613 37.3379697, -6.5397248 37.3379709, -6.539819 37.3379615, -6.5399025 37.3379532, -6.5400778 37.3378797)",,,,
