osmid,name,highway,oneway,reversed,length,ref,geometry,junction,tunnel
85652570,Calle Coronel Fernández Montes,residential,False,True,126.00999999999999,,"LINESTRING (-3.3541695 39.3644303, -3.353953 39.3651939, -3.3540222 39.3655413)",,
85652577,Calle Nuestra Señora de la Merced,residential,False,False,90.029,,"LINESTRING (-3.3541695 39.3644303, -3.3544824 39.3644499, -3.3546183 39.3644046, -3.3549005 39.3644063, -3.3551877 39.3644812)",,
276175021,Calle Colón,tertiary,True,False,14.768,CR-1341,"LINESTRING (-3.3546577 39.3654439, -3.3547139 39.3653184)",,
85652478,Calle la Tercia,residential,False,False,55.714,,"LINESTRING (-3.3546577 39.3654439, -3.3543508 39.3654842, -3.3540222 39.3655413)",,
276139158,Avenida Pablo Iglesias,residential,False,False,42.852,,"LINESTRING (-3.3528155 39.3721209, -3.3533086 39.3721776)",,
43783797,Avenida de la Encarnación,tertiary,False,True,116.062,CM-3167,"LINESTRING (-3.3528155 39.3721209, -3.3528411 39.3719843, -3.3530089 39.3710879)",,
85652434,Avenida Tierno Galván,residential,False,True,191.063,,"LINESTRING (-3.3528155 39.3721209, -3.3526473 39.3721037, -3.3518303 39.3720201, -3.351519 39.3719883, -3.3509417 39.3719292, -3.3507772 39.3719124, -3.350615 39.3718828)",,
85652407,Calle Fernández Mazarambroz,residential,False,True,116.257,,"LINESTRING (-3.3559193 39.367384, -3.3558704 39.3670013, -3.355931 39.366342)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,74.74600000000001,CM-3165,"LINESTRING (-3.3559193 39.367384, -3.3553483 39.3676269, -3.3552064 39.3677546)",,
85652589,Calle Capas,residential,False,False,102.893,,"LINESTRING (-3.3569288 39.3692526, -3.3581225 39.3693208)",,
85652589,Calle Capas,residential,False,True,33.867,,"LINESTRING (-3.3569288 39.3692526, -3.3565356 39.3692335)",,
85652441,Calle Fiscal,residential,False,False,129.59300000000002,,"LINESTRING (-3.3569288 39.3692526, -3.3569536 39.3695659, -3.3574876 39.3697098, -3.3580035 39.3698223)",,
85652519,Calle Cooperativa,residential,False,False,38.953,,"LINESTRING (-3.3574129 39.3704716, -3.3571075 39.3707304)",,
274799123,Calle San José,residential,False,True,9.101,,"LINESTRING (-3.3574129 39.3704716, -3.3573352 39.370416)",,
274799122,Calle Rosa,residential,False,False,161.215,,"LINESTRING (-3.3574129 39.3704716, -3.3576542 39.3706194, -3.3579514 39.3707525, -3.35833 39.3703863, -3.358742 39.3700305)",,
85652593,Calle del Convento,residential,True,False,55.602,,"LINESTRING (-3.3554079 39.3654819, -3.3560251 39.3656314)",,
276175026,Calle La Labradora,residential,False,False,14.208,,"LINESTRING (-3.3574656 39.3662827, -3.3576303 39.3662934)",,
276175026,Calle La Labradora,residential,False,True,56.754,,"LINESTRING (-3.3574656 39.3662827, -3.3568066 39.366252)",,
85652379,Calle La Vereda,residential,False,True,204.612,,"LINESTRING (-3.3574656 39.3662827, -3.3572784 39.3655414, -3.3569025 39.3646301, -3.356868 39.3645046)",,
274799112,Calle Carrasco Alcalde,tertiary,True,False,102.826,CM-3165,"LINESTRING (-3.3570636 39.3671147, -3.3559193 39.367384)",,
274799136,Calle Cristo de Urda,residential,False,False,98.737,,"LINESTRING (-3.3570636 39.3671147, -3.3569019 39.3667251, -3.3568066 39.366252)",,
274799136,Calle Cristo de Urda,residential,False,True,73.49,,"LINESTRING (-3.3570636 39.3671147, -3.3571272 39.3675401, -3.357052 39.3677654)",,
85652407,Calle Fernández Mazarambroz,residential,False,False,79.428,,"LINESTRING (-3.3560251 39.3656314, -3.355931 39.366342)",,
85652593,Calle del Convento,residential,True,False,60.091,,"LINESTRING (-3.3560251 39.3656314, -3.356649 39.3658751)",,
85652407,Calle Fernández Mazarambroz,residential,False,True,132.049,,"LINESTRING (-3.3560251 39.3656314, -3.3561055 39.3654241, -3.355958 39.3650819, -3.3557964 39.3644844)",,
85652407,Calle Fernández Mazarambroz,residential,False,False,132.049,,"LINESTRING (-3.3557964 39.3644844, -3.355958 39.3650819, -3.3561055 39.3654241, -3.3560251 39.3656314)",,
85652525,Calle Lope de Vega,residential,True,False,115.94,,"LINESTRING (-3.3557964 39.3644844, -3.3554981 39.3651803, -3.3554079 39.3654819)",,
