osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,lanes,junction,bridge
83357726,True,,,residential,,False,37.266,"LINESTRING (-0.5183618 39.2226988, -0.5185483 39.2230012)",,,
83357755,True,,Avinguda del Sud,residential,,False,84.27099999999999,"LINESTRING (-0.5183618 39.2226988, -0.5183978 39.2226853, -0.5192429 39.2223695)",,,
83357770,False,,Carrer San Roc,residential,,False,39.773,"LINESTRING (-0.5256675 39.2255959, -0.525221 39.225687)",,,
83404408,False,,Carrer de la Daia,residential,,False,59.24,"LINESTRING (-0.5256675 39.2255959, -0.5258558 39.2261083)",,,
83404408,False,,Carrer de la Daia,residential,,True,31.955,"LINESTRING (-0.5256675 39.2255959, -0.5255624 39.2253203)",,,
83357685,True,,Carrer del Piló,residential,,False,39.909,"LINESTRING (-0.5208034 39.2281565, -0.5209203 39.2285038)",,,
83357677,True,,Carrer del Forn,residential,,False,83.57400000000001,"LINESTRING (-0.5208034 39.2281565, -0.5213041 39.228081, -0.5217611 39.2280393)",,,
83357753,True,,Avinguda de Castelló,residential,,False,93.923,"LINESTRING (-0.5196989 39.2211794, -0.5188365 39.2215073, -0.5187206 39.2215523)",,,
83404258,False,,Ronda del Maleco,residential,,False,66.98,"LINESTRING (-0.5160598 39.2243813, -0.516386 39.2249281)",,,
83404258,False,,Ronda del Maleco,residential,,True,80.43599999999999,"LINESTRING (-0.5160598 39.2243813, -0.5157194 39.2238286, -0.5156761 39.2237228)",,,
83602273,True,,Avinguda de Salvador Allende,residential,,False,53.239,"LINESTRING (-0.524338 39.2295367, -0.5245121 39.2290773)",2,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,59.145,"LINESTRING (-0.5234084 39.2230326, -0.5237037 39.2235128)",,,
83412174,True,,Carrer Antonio Machado,residential,,False,26.111,"LINESTRING (-0.5234084 39.2230326, -0.5231247 39.2231153)",,,
83602271,True,,Carrer del Primer Pati,residential,,False,41.985,"LINESTRING (-0.5238533 39.2295767, -0.524338 39.2295367)",,,
83357763,True,,Carrer d'Ausiàs March,residential,,False,55.579,"LINESTRING (-0.5244735 39.2253374, -0.524621 39.225824)",,,
83412172,False,,Carrer de Pablo Iglesias,residential,,False,27.499,"LINESTRING (-0.5244735 39.2253374, -0.5247813 39.2252718)",,,
83412172,False,,Carrer de Pablo Iglesias,residential,,True,115.449,"LINESTRING (-0.5244735 39.2253374, -0.5232761 39.2255922, -0.5231811 39.2256124)",,,
83602269,False,,Ronda del Malecó,unclassified,,True,57.666,"LINESTRING (-0.518372 39.2274701, -0.5179388 39.2270747)",,,
83602269,False,,Ronda del Malecó,unclassified,,False,291.018,"LINESTRING (-0.518372 39.2274701, -0.5185996 39.2276816, -0.5186183 39.2276989, -0.5186397 39.2277187, -0.5187338 39.2278062, -0.5196024 39.2286422, -0.520183 39.2293784, -0.52023 39.2294604, -0.5203106 39.2296012)",,,
83357736,True,,Avinguda del Bolero de Carlet,residential,,False,55.33,"LINESTRING (-0.520945 39.2217394, -0.5215169 39.2215129)",,,
83357766,True,,Carrer de l'Alcúdia de Carlet,residential,,False,104.535,"LINESTRING (-0.520945 39.2217394, -0.5206553 39.2212505, -0.5205804 39.2211241, -0.520503 39.2209933, -0.5204388 39.220885)",,,
83357753,True,,Avinguda de Castelló,residential,,False,32.141,"LINESTRING (-0.5204388 39.220885, -0.5201053 39.2210146)",,,
904311421,True,,Carrer Major,residential,,False,35.342,"LINESTRING (-0.5197493 39.2276653, -0.5200043 39.2279143)",,,
83357680,True,,Carrer de Lluís Vives,residential,,False,59.148,"LINESTRING (-0.5226399 39.2238129, -0.5232851 39.2236309)",,,
83357681,True,,Carrer de Joan Peset,residential,,False,58.295,"LINESTRING (-0.5226399 39.2238129, -0.5224794 39.2233036)",,,
83357685,True,,Carrer del Piló,residential,,False,30.649,"LINESTRING (-0.5207077 39.2275058, -0.5207676 39.2277287, -0.520741 39.227772)",,,
"[904311426, 904311428]",True,,Carrer del Pasdoble Amparito Roca,residential,,False,85.37700000000001,"LINESTRING (-0.5207077 39.2275058, -0.5199685 39.2275956, -0.5198158 39.2276227, -0.5197493 39.2276653)",,,
83357679,True,,Carrer Comtessa de Carlet,residential,,False,75.627,"LINESTRING (-0.5189746 39.2263938, -0.5186295 39.2258021, -0.5186131 39.225774)",,,
83357671,False,,Calle del Rosario,residential,,False,68.08,"LINESTRING (-0.5193935 39.2265957, -0.5192442 39.2266719, -0.5186923 39.226876)",,,
83357726,True,,,residential,,False,59.279,"LINESTRING (-0.5191654 39.2242703, -0.5193745 39.2247782)",,,
83357749,True,,Carrer Antonio Machado,residential,,False,58.52,"LINESTRING (-0.5191654 39.2242703, -0.5198044 39.2240916)",,,
83412228,True,,Carrer de Jaume I,residential,,False,80.694,"LINESTRING (-0.5219083 39.2246042, -0.5228103 39.2244083)",,,
