osmid,ref,highway,oneway,reversed,length,name,geometry,junction
221603511,,tertiary,False,True,47.179,15. Cadde,"LINESTRING (40.6634335 37.8459766, 40.6631434 37.8459867, 40.6628965 37.8459838)",
221603511,,tertiary,False,False,121.782,15. Cadde,"LINESTRING (40.6615105 37.8460203, 40.661652 37.8460121, 40.6623709 37.8459994, 40.6628965 37.8459838)",
221603511,,tertiary,False,True,77.616,15. Cadde,"LINESTRING (40.6615105 37.8460203, 40.6608152 37.8460545, 40.66063 37.8460766)",
221603516,,residential,False,True,67.446,214. Sokak,"LINESTRING (40.6615105 37.8460203, 40.6612047 37.8457706, 40.6610357 37.8455484)",
248445687,,residential,False,True,101.741,,"LINESTRING (40.6615105 37.8460203, 40.6615703 37.8459134, 40.6616172 37.8457853, 40.6617436 37.8455507, 40.6618873 37.8451569)",
331962736,,residential,False,False,67.615,,"LINESTRING (40.6615105 37.8460203, 40.6614675 37.846202, 40.6613682 37.8464853, 40.6613241 37.8466098)",
221603645,,tertiary,False,False,19.996,Güneş Caddesi,"LINESTRING (40.6586507 37.8479503, 40.6588782 37.8479422)",
331962735,,residential,False,True,98.666,224. Sokak,"LINESTRING (40.6586507 37.8479503, 40.658526 37.8477143, 40.6582801 37.8473499, 40.6581443 37.8471593)",
219512531,,residential,False,False,43.685,,"LINESTRING (40.664768 37.8465045, 40.664271 37.8465224)",
219512531,,residential,False,True,78.009,,"LINESTRING (40.664768 37.8465045, 40.6656555 37.8464725)",
219512532,,residential,False,False,117.501,,"LINESTRING (40.664768 37.8465045, 40.6647733 37.8467034, 40.664805 37.8475608)",
219512529,,residential,False,False,11.888,,"LINESTRING (40.6662798 37.8464369, 40.6663025 37.8465423)",
219512529,,residential,False,True,61.721999999999994,,"LINESTRING (40.6662798 37.8464369, 40.6662527 37.8459814, 40.6662418 37.8458827)",
219512531,,residential,False,False,54.961,,"LINESTRING (40.6662798 37.8464369, 40.6661165 37.8464447, 40.6656555 37.8464725)",
219512247,,tertiary,False,False,130.012,İsmail Beşikçi Caddesi,"LINESTRING (40.667161 37.8481011, 40.6656804 37.8481153)",
219512247,,tertiary,False,True,65.144,İsmail Beşikçi Caddesi,"LINESTRING (40.667161 37.8481011, 40.6679027 37.8480868)",
219511510,,residential,False,False,60.199,,"LINESTRING (40.667161 37.8481011, 40.6671605 37.8481872, 40.6671842 37.8486421)",
223645740,,residential,False,False,52.505,218. Sokak,"LINESTRING (40.6591745 37.8458932, 40.6594588 37.8463086)",
223645740,,residential,False,True,119.74799999999999,218. Sokak,"LINESTRING (40.6591745 37.8458932, 40.6587641 37.8453499, 40.6584866 37.8449634)",
248253725,,residential,False,False,168.971,213. Sokak,"LINESTRING (40.6591745 37.8458932, 40.6592917 37.8458411, 40.6595564 37.8457534, 40.6599224 37.8456898, 40.6603444 37.8456484, 40.6610357 37.8455484)",
