osmid,bridge,ref,highway,oneway,reversed,length,name,geometry
752320034,,,residential,False,False,67.749,,"LINESTRING (91.1082008 23.9720742, 91.1081895 23.9720948, 91.1081654 23.9721316, 91.108101 23.9722051, 91.1080554 23.9722566, 91.1080125 23.9723938, 91.1079857 23.9724796, 91.1079642 23.9725507, 91.1079726 23.9726276)"
752320034,,,residential,False,True,143.195,,"LINESTRING (91.1082008 23.9720742, 91.1082137 23.9720507, 91.1082217 23.9719796, 91.1082217 23.9718938, 91.108219 23.971786, 91.1082163 23.9716659, 91.1082405 23.9712885, 91.1082539 23.9711659, 91.1082646 23.9710262, 91.1083156 23.9707959)"
753466750,,,residential,False,False,155.41499999999996,,"LINESTRING (91.1082008 23.9720742, 91.1082351 23.9720973, 91.1082727 23.972112, 91.1083344 23.9721365, 91.108439 23.9721634, 91.1085141 23.9721781, 91.1085731 23.9721855, 91.1086696 23.9721953, 91.1087581 23.9722002, 91.1089164 23.9722125, 91.1089835 23.9722198, 91.1090478 23.9722247, 91.1091793 23.9722027, 91.1093348 23.9721512, 91.1094663 23.972112, 91.1094984 23.9721071, 91.1095414 23.9720924, 91.1096634 23.9720274)"
753466750,,,residential,False,True,53.741,,"LINESTRING (91.1082008 23.9720742, 91.1081064 23.9720728, 91.1080393 23.972063, 91.1079481 23.9720532, 91.1078784 23.9720458, 91.107814 23.9720482, 91.1077818 23.9720875, 91.1077282 23.9721046, 91.1076987 23.9721022)"
753466749,,,residential,False,True,63.421,,"LINESTRING (91.1076987 23.9721022, 91.1076397 23.9720789, 91.1075914 23.972074, 91.1075324 23.9720764, 91.107472 23.9720764, 91.1074144 23.9720813, 91.1073446 23.9721046, 91.1072937 23.9721132, 91.1072253 23.9721058, 91.1071596 23.9720985, 91.1071247 23.9720997, 91.1070868 23.9721015)"
753466750,,,residential,False,False,53.741,,"LINESTRING (91.1076987 23.9721022, 91.1077282 23.9721046, 91.1077818 23.9720875, 91.107814 23.9720482, 91.1078784 23.9720458, 91.1079481 23.9720532, 91.1080393 23.972063, 91.1081064 23.9720728, 91.1082008 23.9720742)"
753466750,,,residential,False,True,110.021,,"LINESTRING (91.1076987 23.9721022, 91.1076879 23.97196, 91.1076477 23.9719012, 91.1076289 23.9718497, 91.107637 23.971786, 91.1076598 23.9716451, 91.1075377 23.9716218, 91.1074761 23.9716157, 91.1074211 23.9716157, 91.1073393 23.9716206, 91.1072655 23.9716255, 91.1072011 23.9716279, 91.1071502 23.9716292, 91.1070979 23.9716328)"
753466748,,,residential,False,True,97.72700000000002,,"LINESTRING (91.1070979 23.9716328, 91.1071086 23.9715581, 91.107114 23.9714895, 91.1071247 23.9714282, 91.1071435 23.9713032, 91.1071354 23.9712052, 91.1071381 23.9711047, 91.1071408 23.9710483, 91.1071649 23.9708608, 91.1071596 23.9708081, 91.1071515 23.9707591)"
753466750,,,residential,False,False,110.021,,"LINESTRING (91.1070979 23.9716328, 91.1071502 23.9716292, 91.1072011 23.9716279, 91.1072655 23.9716255, 91.1073393 23.9716206, 91.1074211 23.9716157, 91.1074761 23.9716157, 91.1075377 23.9716218, 91.1076598 23.9716451, 91.107637 23.971786, 91.1076289 23.9718497, 91.1076477 23.9719012, 91.1076879 23.97196, 91.1076987 23.9721022)"
753466750,,,residential,False,True,48.717,,"LINESTRING (91.1070979 23.9716328, 91.1070617 23.9717603, 91.1070617 23.971835, 91.1070496 23.9718865, 91.1070536 23.9719625, 91.107071 23.9720642)"
