osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,access,junction
28259816,Route des Flumeaux,tertiary,50,False,False,56.113,"LINESTRING (6.6037555 46.5316506, 6.6030881 46.5314412)",,2,,
28259816,Route des Flumeaux,tertiary,50,False,True,6.233,"LINESTRING (6.6037555 46.5316506, 6.6038305 46.5316725)",,2,,
31793326,Chemin de l'Ochette,residential,30,False,True,108.68,"LINESTRING (6.6037555 46.5316506, 6.603776 46.5316196, 6.6043446 46.5307612)",,,destination,
30609822,Avenue de la Rochelle,residential,,False,True,40.381,"LINESTRING (6.6024072 46.5316134, 6.6028933 46.531755)",,,,
30609820,Avenue de la Rochelle,residential,,False,False,39.686,"LINESTRING (6.6024072 46.5316134, 6.6025742 46.5313696, 6.6026253 46.5312896)",,,,
30609820,Avenue de la Rochelle,residential,,False,True,215.897,"LINESTRING (6.6024072 46.5316134, 6.6020609 46.5320946, 6.6014007 46.5330122, 6.6014046 46.5330507, 6.6014354 46.533097, 6.601732 46.5333049)",,,,
30609822,Avenue de la Rochelle,residential,,False,False,40.381,"LINESTRING (6.6028933 46.531755, 6.6024072 46.5316134)",,,,
30609823,Avenue de la Rochelle,residential,,False,False,193.889,"LINESTRING (6.6028933 46.531755, 6.601732 46.5333049)",,,,
"[30609821, 30609822]",Avenue de la Rochelle,residential,,False,True,100.235,"LINESTRING (6.6028933 46.531755, 6.603603 46.5319942, 6.6038305 46.5316725)",,,,
24448229,Avenue de Floréal,residential,30,False,False,91.493,"LINESTRING (6.601574 46.5345546, 6.602687 46.5346539, 6.6027601 46.5346607)",,,,
24448229,Avenue de Floréal,residential,30,False,True,35.484,"LINESTRING (6.601574 46.5345546, 6.6012656 46.5345267, 6.6011141 46.5345129)",,,,
30609826,Chemin de la Pernette,residential,30,False,False,288.29900000000004,"LINESTRING (6.601574 46.5345546, 6.6014809 46.5349137, 6.601499 46.5349421, 6.6027389 46.5352969, 6.6028545 46.5353184, 6.6029979 46.5353146, 6.6031111 46.5352907, 6.6032162 46.5352298, 6.6033231 46.5351632, 6.6034683 46.5350909, 6.6035953 46.5350714, 6.6036912 46.5350784, 6.6037916 46.5351066, 6.6040398 46.5352324, 6.6040918 46.5352588, 6.6043358 46.5353792)",,,,
759172195,Route de Cossonay,primary,50,False,True,3.811,"LINESTRING (6.6043358 46.5353792, 6.6043079 46.5354076)",9,3,,
30609826,Chemin de la Pernette,residential,30,False,True,288.299,"LINESTRING (6.6043358 46.5353792, 6.6040918 46.5352588, 6.6040398 46.5352324, 6.6037916 46.5351066, 6.6036912 46.5350784, 6.6035953 46.5350714, 6.6034683 46.5350909, 6.6033231 46.5351632, 6.6032162 46.5352298, 6.6031111 46.5352907, 6.6029979 46.5353146, 6.6028545 46.5353184, 6.6027389 46.5352969, 6.601499 46.5349421, 6.6014809 46.5349137, 6.601574 46.5345546)",,,,
