osmid,lanes,name,highway,oneway,reversed,length,ref,geometry
636971449,2,Botha Street,residential,False,True,135.938,,"LINESTRING (28.2903233 -24.8779487, 28.2916661 -24.877846)"
323349591,2,Hospitaal Street,residential,False,False,71.805,,"LINESTRING (28.2903233 -24.8779487, 28.2903171 -24.8779149, 28.2902505 -24.8773064)"
323349591,2,Hospitaal Street,residential,False,True,112.717,,"LINESTRING (28.2903233 -24.8779487, 28.2903315 -24.8780464, 28.2904046 -24.8789597)"
125543857,2,Stofberg Street,residential,False,False,215.638,,"LINESTRING (28.2904046 -24.8789597, 28.2925342 -24.8787915)"
323349591,2,Hospitaal Street,residential,False,True,113.199,,"LINESTRING (28.2904046 -24.8789597, 28.2905017 -24.8799739)"
125543857,2,Stofberg Street,residential,False,True,211.631,,"LINESTRING (28.2904046 -24.8789597, 28.2884759 -24.8790864, 28.2883955 -24.8790915, 28.2883506 -24.879094, 28.288312 -24.8790937)"
323349591,2,Hospitaal Street,residential,False,False,112.717,,"LINESTRING (28.2904046 -24.8789597, 28.2903315 -24.8780464, 28.2903233 -24.8779487)"
8041625,2,Reitz Street,residential,False,False,76.503,,"LINESTRING (28.2905017 -24.8799739, 28.2912581 -24.879924)"
8041625,2,Reitz Street,residential,False,True,81.152,,"LINESTRING (28.2905017 -24.8799739, 28.2896997 -24.8800311)"
323349591,2,Hospitaal Street,residential,False,False,113.199,,"LINESTRING (28.2905017 -24.8799739, 28.2904046 -24.8789597)"
606296676,2,Van der Merwe Street,residential,False,True,397.34799999999996,,"LINESTRING (28.2950789 -24.880059, 28.2931805 -24.8778838, 28.2929743 -24.8776402, 28.2926544 -24.8772431)"
636747445,2,Malan Street,residential,False,True,116.398,,"LINESTRING (28.2950789 -24.880059, 28.2942527 -24.8806357, 28.2941623 -24.8806948)"
8041622,2,Kretchmar Avenue,unclassified,False,False,130.371,,"LINESTRING (28.2941623 -24.8806948, 28.2933703 -24.8797683)"
8041622,2,Kretchmar Avenue,unclassified,False,True,9.276,,"LINESTRING (28.2941623 -24.8806948, 28.2942184 -24.8807609)"
636747445,2,Malan Street,residential,False,False,116.398,,"LINESTRING (28.2941623 -24.8806948, 28.2942527 -24.8806357, 28.2950789 -24.880059)"
8041627,2,Minnaar Avenue,residential,False,False,135.304,,"LINESTRING (28.2935607 -24.8818451, 28.2942075 -24.8807791)"
8041627,2,Minnaar Avenue,residential,False,True,139.067,,"LINESTRING (28.2935607 -24.8818451, 28.2929047 -24.8829451)"
125543870,2,Ludorf Street,residential,False,False,150.655,,"LINESTRING (28.2935607 -24.8818451, 28.2936372 -24.8818438, 28.2950467 -24.8817118)"
125543870,2,Ludorf Street,residential,False,True,210.716,,"LINESTRING (28.2935607 -24.8818451, 28.2934689 -24.8818505, 28.2914794 -24.8820065)"
636736962,,Pretoria Way,residential,False,True,12.927,,"LINESTRING (28.294083 -24.88505, 28.2940104 -24.8849542)"
324280734,2,Chris Hani Way,secondary,True,False,159.98300000000003,R516,"LINESTRING (28.2924283 -24.8850551, 28.2924903 -24.8850507, 28.2927031 -24.8850355, 28.2934009 -24.8849921, 28.2938516 -24.8849641, 28.2940104 -24.8849542)"
125543870,2,Ludorf Street,residential,False,False,9.884,,"LINESTRING (28.287719 -24.882238, 28.2878167 -24.8822312)"
436020344,2,Grobler Avenue,secondary,True,False,33.262,D180,"LINESTRING (28.287719 -24.882238, 28.2875161 -24.8820022)"
125543870,2,Ludorf Street,residential,False,True,137.625,,"LINESTRING (28.287719 -24.882238, 28.2876249 -24.8822445, 28.2863586 -24.8823319)"
606289755,2,Robertson Road,secondary,True,False,9.448,D180,"LINESTRING (28.2869688 -24.8813492, 28.2868897 -24.8813037)"
"[636747448, 636747450]",1,Mentz Avenue,unclassified,True,False,53.882,,"LINESTRING (28.2869688 -24.8813492, 28.2869471 -24.8813888, 28.2869169 -24.8814284, 28.2866715 -24.8817513)"
1012076565,2,Moffat Road,residential,False,True,10.162,,"LINESTRING (28.2886814 -24.8832327, 28.288581 -24.8832402)"
606289750,2,Grobler Avenue,secondary,True,False,138.649,D180,"LINESTRING (28.2886814 -24.8832327, 28.288857 -24.883436, 28.289529 -24.8842143)"
1012076565,2,Moffat Road,residential,False,False,210.911,,"LINESTRING (28.2886814 -24.8832327, 28.2887758 -24.8832262, 28.2907664 -24.8830908)"
636719119,,Luna Road,residential,False,True,8.786,,"LINESTRING (28.289529 -24.8842143, 28.2894643 -24.8842672)"
"[125543851, 636719118]",2,Luna Road,residential,False,False,143.547,,"LINESTRING (28.289529 -24.8842143, 28.2895907 -24.8841875, 28.2905534 -24.8837689, 28.2907231 -24.8837019, 28.2908231 -24.8836836)"
636719119,,Luna Road,residential,False,False,8.786,,"LINESTRING (28.2894643 -24.8842672, 28.289529 -24.8842143)"
436020344,2,Grobler Avenue,secondary,True,False,144.844,D180,"LINESTRING (28.2894643 -24.8842672, 28.2892331 -24.8839985, 28.2887931 -24.8834868, 28.288581 -24.8832402)"
636719080,2,Robertson Road,residential,False,False,227.189,,"LINESTRING (28.2875602 -24.881236, 28.2898086 -24.8811174)"
636719082,,Robertson Road,residential,True,False,52.777,,"LINESTRING (28.2875602 -24.881236, 28.2874024 -24.881272, 28.2871663 -24.8812927, 28.2871053 -24.8813059, 28.2870483 -24.8813245)"
636719083,2,Mentz Avenue,unclassified,False,False,60.936,,"LINESTRING (28.2873328 -24.8806797, 28.2876296 -24.8802024)"
"[636747448, 636719085]",1,Mentz Avenue,unclassified,True,False,74.25999999999999,,"LINESTRING (28.2873328 -24.8806797, 28.2870805 -24.8811583, 28.2870523 -24.8812152, 28.2870112 -24.8812802)"
636736963,2,,secondary_link,False,True,9.872,,"LINESTRING (28.2949203 -24.8849759, 28.2949112 -24.8848875)"
"[636657149, 636736967]",2,Chris Hani Way,secondary,True,False,84.866,R516,"LINESTRING (28.2949203 -24.8849759, 28.2945074 -24.885008, 28.2941696 -24.8850414, 28.294083 -24.88505)"
636736963,2,,secondary_link,False,False,9.872,,"LINESTRING (28.2949112 -24.8848875, 28.2949203 -24.8849759)"
436020344,2,Grobler Avenue,secondary,True,False,18.493,D180,"LINESTRING (28.2875161 -24.8820022, 28.2874033 -24.8818711)"
636747446,1,,secondary_link,False,True,8.174,,"LINESTRING (28.2875161 -24.8820022, 28.2875811 -24.8819583)"
606289750,2,Grobler Avenue,secondary,True,False,38.544,D180,"LINESTRING (28.2875811 -24.8819583, 28.2878167 -24.8822312)"
