osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel
35560904,False,,Allée Charles Baudelaire,residential,,True,109.384,"LINESTRING (2.4687742 49.27044, 2.4691482 49.2705898, 2.4692342 49.270616, 2.469254 49.2706202, 2.4692874 49.2706274, 2.4693505 49.2706356, 2.4699558 49.2706966, 2.470109 49.2707134, 2.4701935 49.2707228)",,
35560908,False,,Allée Alfred de Musset,residential,,True,125.563,"LINESTRING (2.4687742 49.27044, 2.4688102 49.2703876, 2.4688872 49.2702733, 2.4689136 49.2702219, 2.4689385 49.2701681, 2.4689573 49.2701165, 2.4689707 49.2700649, 2.468984 49.2700043, 2.4689915 49.2699505, 2.4689949 49.2698951, 2.4689949 49.2698488, 2.4689895 49.2697997, 2.4689751 49.2697192, 2.4689614 49.2696707, 2.4689443 49.2696165, 2.4689238 49.2695731, 2.4689063 49.2695399, 2.4688832 49.2695049, 2.4688567 49.2694725, 2.4688232 49.2694392, 2.4687949 49.2694148, 2.4687695 49.2694025, 2.4687263 49.2693857)",,
566826951,False,D 123,Rue de Verdun,secondary,,True,79.0,"LINESTRING (2.4699011 49.2688127, 2.4705194 49.2693975)",,
35560909,False,,Allée André Chénier,residential,,False,106.89699999999999,"LINESTRING (2.4699011 49.2688127, 2.4698324 49.2688433, 2.4688593 49.2692901, 2.4688234 49.2693068, 2.468787 49.2693281, 2.4687615 49.2693491, 2.4687263 49.2693857)",,
566826951,False,D 123,Rue de Verdun,secondary,,False,70.348,"LINESTRING (2.4699011 49.2688127, 2.4694843 49.2684202, 2.4694026 49.2683445, 2.4693537 49.2682907)",,
35560908,False,,Allée Alfred de Musset,residential,,True,49.773,"LINESTRING (2.4687263 49.2693857, 2.4681142 49.2691836)",,
35560908,False,,Allée Alfred de Musset,residential,,False,125.56300000000002,"LINESTRING (2.4687263 49.2693857, 2.4687695 49.2694025, 2.4687949 49.2694148, 2.4688232 49.2694392, 2.4688567 49.2694725, 2.4688832 49.2695049, 2.4689063 49.2695399, 2.4689238 49.2695731, 2.4689443 49.2696165, 2.4689614 49.2696707, 2.4689751 49.2697192, 2.4689895 49.2697997, 2.4689949 49.2698488, 2.4689949 49.2698951, 2.4689915 49.2699505, 2.468984 49.2700043, 2.4689707 49.2700649, 2.4689573 49.2701165, 2.4689385 49.2701681, 2.4689136 49.2702219, 2.4688872 49.2702733, 2.4688102 49.2703876, 2.4687742 49.27044)",,
35560909,False,,Allée André Chénier,residential,,True,106.89699999999999,"LINESTRING (2.4687263 49.2693857, 2.4687615 49.2693491, 2.468787 49.2693281, 2.4688234 49.2693068, 2.4688593 49.2692901, 2.4698324 49.2688433, 2.4699011 49.2688127)",,
35560907,False,,Allée Paul Verlaine,residential,,False,94.303,"LINESTRING (2.467771 49.2685558, 2.4682451 49.2678096, 2.4682677 49.2677721)",,
35560907,False,,Allée Paul Verlaine,residential,,True,51.53,"LINESTRING (2.467771 49.2685558, 2.467684 49.2686853, 2.4676524 49.2687295, 2.4676178 49.2687709, 2.4675813 49.2688135, 2.4674714 49.2689264, 2.467436 49.2689633)",,
