osmid,highway,oneway,reversed,length,lanes,ref,name,maxspeed,geometry,junction
598738687,residential,False,True,66.08,,,,,"LINESTRING (-14.4807581 26.1271968, -14.4810575 26.1277268)",
198933806,residential,True,False,19.778,,,,,"LINESTRING (-14.4802807 26.1274056, -14.4804588 26.1273277)",
198933790,residential,False,True,51.495,,,,,"LINESTRING (-14.4792177 26.1273561, -14.479464 26.127763)",
198933825,residential,False,True,25.22,,,,,"LINESTRING (-14.4792177 26.1273561, -14.4793234 26.1271501)",
198933776,residential,False,False,17.85,,,,,"LINESTRING (-14.4844599 26.1275461, -14.4843868 26.1276926)",
598738689,residential,False,True,116.953,,,,,"LINESTRING (-14.4844599 26.1275461, -14.483411 26.1270777)",
235391667,residential,False,False,100.818,,,,,"LINESTRING (-14.4844599 26.1275461, -14.4846714 26.1271478, -14.484895 26.1267279)",
198933806,residential,True,False,33.492,,,,,"LINESTRING (-14.4798876 26.1275776, -14.4801892 26.1274457)",
581492792,residential,False,False,90.368,,,,,"LINESTRING (-14.4798876 26.1275776, -14.4794646 26.1268591)",
581492792,residential,False,True,69.418,,,,,"LINESTRING (-14.4798876 26.1275776, -14.4802126 26.1281295)",
198933767,tertiary,False,False,58.41,,,,,"LINESTRING (-14.4877285 26.1277127, -14.4872692 26.1273873)",
198933767,tertiary,False,True,35.908,,,,,"LINESTRING (-14.4877285 26.1277127, -14.4880116 26.1279119)",
198933826,residential,False,False,41.117,,,,,"LINESTRING (-14.4877285 26.1277127, -14.4879612 26.1274076)",
198933826,residential,False,True,42.047,,,,,"LINESTRING (-14.4877285 26.1277127, -14.4874894 26.128024)",
198933790,residential,False,False,51.495,,,,,"LINESTRING (-14.479464 26.127763, -14.4792177 26.1273561)",
198933790,residential,False,True,71.042,,,,,"LINESTRING (-14.479464 26.127763, -14.4798037 26.1283244)",
198933806,residential,True,False,47.046,,,,,"LINESTRING (-14.479464 26.127763, -14.4798876 26.1275776)",
581809941,residential,False,False,53.076,,,,,"LINESTRING (-14.4821229 26.1279501, -14.4823636 26.1283757)",
156403639,primary,True,False,38.841,2,RN1,Avenida Hasán II,60,"LINESTRING (-14.4821229 26.1279501, -14.4822697 26.127861, -14.4824388 26.1277464)",
198933823,residential,False,False,62.874,,,Avenida Zarqtuni,,"LINESTRING (-14.4855648 26.128038, -14.4860637 26.1283831)",
581802551,residential,False,False,44.579,,,,,"LINESTRING (-14.4855648 26.128038, -14.4854414 26.1284233)",
581802551,residential,False,True,30.587,,,,,"LINESTRING (-14.4855648 26.128038, -14.485652 26.1277743)",
198933824,residential,False,True,94.549,,,,,"LINESTRING (-14.4834493 26.1280997, -14.4830473 26.1288696)",
198933829,residential,False,False,36.159,,,,,"LINESTRING (-14.4834493 26.1280997, -14.4837784 26.1282355)",
198933829,residential,False,True,35.193,,,,,"LINESTRING (-14.4834493 26.1280997, -14.4831287 26.1279681)",
198933767,tertiary,False,False,40.003,,,,,"LINESTRING (-14.4883322 26.1281277, -14.4880116 26.1279119)",
