osmid,oneway,lanes,highway,reversed,length,geometry,maxspeed,bridge
166445175,False,2,residential,False,68.952,"LINESTRING (23.681049 40.4450885, 23.6813924 40.4450791, 23.6816027 40.4450494, 23.6817428 40.4450304, 23.6818572 40.4450214)",,
166445175,False,2,residential,True,53.64,"LINESTRING (23.681049 40.4450885, 23.6808237 40.4450834, 23.6807246 40.4450377, 23.6806013 40.4450367, 23.6804321 40.4450406)",,
166445187,False,2,residential,True,114.97,"LINESTRING (23.681049 40.4450885, 23.6810261 40.4449044, 23.6811592 40.4447835, 23.68119 40.4440926)",,
166445190,False,2,residential,True,44.013000000000005,"LINESTRING (23.6753863 40.446268, 23.6754398 40.4460716, 23.675473 40.445878)",,
318228785,False,,residential,False,152.232,"LINESTRING (23.6753863 40.446268, 23.675511 40.4462182, 23.6758344 40.4459242, 23.675957 40.4458467, 23.6762946 40.4457554, 23.6765525 40.4456977, 23.6767576 40.4456372, 23.6768866 40.4455822)",,
319371168,False,2,residential,False,49.944,"LINESTRING (23.6753863 40.446268, 23.67526 40.4465462, 23.6751843 40.4466899)",,
426789046,False,2,residential,False,9.885,"LINESTRING (23.68085 40.4434407, 23.680889 40.4433569)",,
166445196,False,,residential,True,116.53899999999999,"LINESTRING (23.68085 40.4434407, 23.6810234 40.4434332, 23.6813789 40.4432988, 23.6816706 40.4432242, 23.6818518 40.4432235, 23.681912 40.4432223, 23.6819677 40.4432019, 23.6820614 40.4430713)",,
426789046,False,2,residential,True,53.98100000000001,"LINESTRING (23.68085 40.4434407, 23.680799 40.443508, 23.6807187 40.4436104, 23.6806347 40.4436974, 23.680542 40.4438636)",,
166445177,False,2,residential,False,195.73499999999999,"LINESTRING (23.6784205 40.4476717, 23.6785493 40.4476402, 23.6791126 40.4473644, 23.6792915 40.4472399, 23.6794251 40.4472, 23.6795028 40.447114, 23.6796583 40.4469612, 23.6797626 40.4467703, 23.6798266 40.4467052, 23.6799446 40.4466517, 23.6800398 40.4465976, 23.6801235 40.4465614)",,
166445182,False,2,residential,True,240.908,"LINESTRING (23.6784205 40.4476717, 23.6785358 40.4474022, 23.6786807 40.4470573, 23.6787452 40.4468738, 23.6788739 40.4467105, 23.6790456 40.44649, 23.6791636 40.4462532, 23.6793675 40.4462614, 23.6794211 40.4461553, 23.6794909 40.4460512, 23.6795338 40.4459368, 23.6795069 40.4458123)",,
166445166,False,2,residential,False,91.82000000000001,"LINESTRING (23.6800351 40.4451196, 23.679979 40.4452245, 23.6800112 40.4453143, 23.6800219 40.4454123, 23.6799254 40.4455184, 23.6798074 40.4456082, 23.6797108 40.4457144, 23.6796142 40.4458287)",,
319371153,False,2,residential,False,22.459,"LINESTRING (23.6800351 40.4451196, 23.6801605 40.4451279, 23.6802873 40.4451722)",,
319371153,False,2,residential,True,53.6,"LINESTRING (23.6800351 40.4451196, 23.679743 40.4450938, 23.6795177 40.4450852, 23.67941 40.4450573)",,
318228769,False,2,tertiary,False,26.905,"LINESTRING (23.675237 40.4442561, 23.6753702 40.4444758)",,
865413379,False,,residential,False,71.512,"LINESTRING (23.675237 40.4442561, 23.6754996 40.4440832, 23.6758 40.4437811)",,
166445174,False,2,tertiary,True,118.137,"LINESTRING (23.6768866 40.4455822, 23.6769462 40.4455785, 23.6770121 40.4455468, 23.6771135 40.4454359, 23.677234 40.4453713, 23.6774417 40.4452418, 23.6775534 40.4450848, 23.6776238 40.4448538, 23.6776858 40.4447768)",,
318228769,False,2,tertiary,True,74.28500000000001,"LINESTRING (23.6768866 40.4455822, 23.6767945 40.4455474, 23.6767273 40.4454549, 23.6766423 40.4453061, 23.6765887 40.4452081, 23.6764814 40.445151, 23.6763311 40.4451313)",,
318228785,False,,residential,True,152.232,"LINESTRING (23.6768866 40.4455822, 23.6767576 40.4456372, 23.6765525 40.4456977, 23.6762946 40.4457554, 23.675957 40.4458467, 23.6758344 40.4459242, 23.675511 40.4462182, 23.6753863 40.446268)",,
166445173,False,2,residential,False,111.554,"LINESTRING (23.6797242 40.4416563, 23.6796411 40.4417338, 23.6793487 40.4419686, 23.679102 40.442187, 23.678992 40.4422932, 23.6789196 40.4423932, 23.6788761 40.4424195)",,
426789051,False,2,residential,True,9.977,"LINESTRING (23.675843 40.4429525, 23.6759087 40.443027)",,
865413380,False,,residential,False,123.17699999999999,"LINESTRING (23.675843 40.4429525, 23.6757794 40.4426153, 23.6757355 40.4424275, 23.6757422 40.4423658, 23.6758031 40.4423298, 23.6758977 40.4423067, 23.6760058 40.4422938, 23.6763911 40.4422475)",,
426789046,False,2,residential,True,9.885,"LINESTRING (23.680889 40.4433569, 23.68085 40.4434407)",,
166445205,False,2,tertiary,False,153.64800000000002,"LINESTRING (23.680889 40.4433569, 23.681332 40.4431435, 23.6816558 40.4429592, 23.6818187 40.4428812, 23.6819484 40.4427526, 23.6820158 40.4426348, 23.6821439 40.4424177)",50,
166445205,False,2,tertiary,True,101.57500000000002,"LINESTRING (23.680889 40.4433569, 23.6806327 40.4434746, 23.6804659 40.4436061, 23.6802782 40.4437798, 23.6799762 40.4439362)",50,
166445181,False,2,residential,False,9.261,"LINESTRING (23.6796142 40.4458287, 23.6795069 40.4458123)",,
166445166,False,2,residential,True,91.82,"LINESTRING (23.6796142 40.4458287, 23.6797108 40.4457144, 23.6798074 40.4456082, 23.6799254 40.4455184, 23.6800219 40.4454123, 23.6800112 40.4453143, 23.679979 40.4452245, 23.6800351 40.4451196)",,
166445181,False,2,residential,True,105.03599999999999,"LINESTRING (23.6796142 40.4458287, 23.679743 40.4458695, 23.6798637 40.4459858, 23.6800487 40.4461594, 23.6801507 40.4462614, 23.680215 40.446343, 23.680199 40.4465064, 23.6801235 40.4465614)",,
166445181,False,2,residential,False,52.138999999999996,"LINESTRING (23.6785377 40.4462127, 23.6784235 40.4463012, 23.6782925 40.4464033, 23.6782164 40.4464967, 23.6781297 40.4465612)",,
166445181,False,2,residential,True,93.794,"LINESTRING (23.6785377 40.4462127, 23.6788021 40.4461029, 23.6792074 40.4459199, 23.6793997 40.4458287, 23.6795069 40.4458123)",,
166445184,False,2,residential,True,155.267,"LINESTRING (23.6785377 40.4462127, 23.6787097 40.4460663, 23.678869 40.4459024, 23.6789626 40.4457884, 23.6789752 40.4456714, 23.6790113 40.4454868, 23.6790724 40.4453182, 23.679172 40.4452889, 23.6793341 40.4451852, 23.67941 40.4450573)",,
166445177,False,2,residential,True,195.73499999999999,"LINESTRING (23.6801235 40.4465614, 23.6800398 40.4465976, 23.6799446 40.4466517, 23.6798266 40.4467052, 23.6797626 40.4467703, 23.6796583 40.4469612, 23.6795028 40.447114, 23.6794251 40.4472, 23.6792915 40.4472399, 23.6791126 40.4473644, 23.6785493 40.4476402, 23.6784205 40.4476717)",,
166445181,False,2,residential,False,105.036,"LINESTRING (23.6801235 40.4465614, 23.680199 40.4465064, 23.680215 40.446343, 23.6801507 40.4462614, 23.6800487 40.4461594, 23.6798637 40.4459858, 23.679743 40.4458695, 23.6796142 40.4458287)",,
166445181,False,2,residential,True,95.87299999999999,"LINESTRING (23.6801235 40.4465614, 23.6800999 40.4467245, 23.6801009 40.4468098, 23.6801569 40.4468853, 23.6802296 40.4469408, 23.680335 40.4469977, 23.6804155 40.4470088, 23.6805783 40.4469714, 23.6806615 40.4469378, 23.6807726 40.4469217)",,
426789080,False,2,residential,False,164.87099999999998,"LINESTRING (23.6775934 40.4459876, 23.6777265 40.4459436, 23.6779036 40.4458557, 23.678096 40.445727, 23.6782767 40.4456028, 23.6784513 40.4454689, 23.6786237 40.4453224, 23.6788076 40.4451461, 23.6789668 40.4449616)",,
166445175,False,2,residential,False,53.64,"LINESTRING (23.6804321 40.4450406, 23.6806013 40.4450367, 23.6807246 40.4450377, 23.6808237 40.4450834, 23.681049 40.4450885)",,
306105179,False,2,residential,False,19.555999999999997,"LINESTRING (23.6804321 40.4450406, 23.6803924 40.4450597, 23.680357 40.4450834, 23.6803279 40.4451102, 23.6803045 40.44514, 23.6802873 40.4451722)",,
802203027,False,2,residential,True,78.56,"LINESTRING (23.6804321 40.4450406, 23.6803934 40.4447701, 23.6803485 40.4446222, 23.6802608 40.4444294, 23.6802109 40.4443606)",,
426789051,False,2,residential,False,9.977,"LINESTRING (23.6759087 40.443027, 23.675843 40.4429525)",,
865413382,False,,residential,False,25.262,"LINESTRING (23.6759087 40.443027, 23.676144 40.4428872)",,
426789051,False,2,residential,True,122.83000000000001,"LINESTRING (23.6759087 40.443027, 23.6759394 40.443135, 23.6760094 40.4432118, 23.6761341 40.4433088, 23.6762132 40.4433955, 23.6763527 40.4435833, 23.6764935 40.4437405, 23.6765954 40.4438466, 23.6767108 40.4439313)",,
426789042,False,2,residential,False,8.496,"LINESTRING (23.6773831 40.4446058, 23.6774756 40.4446355)",,
426789051,False,2,residential,False,98.342,"LINESTRING (23.6773831 40.4446058, 23.6773843 40.444487, 23.6773148 40.444383, 23.6772177 40.4442872, 23.6771302 40.4442057, 23.6770286 40.4441222, 23.6769535 40.444065, 23.6768677 40.444016, 23.6767108 40.4439313)",,
426789051,False,2,residential,True,7.7010000000000005,"LINESTRING (23.6773831 40.4446058, 23.6773791 40.4446403, 23.6773518 40.444668)",,
166445196,False,,residential,False,73.749,"LINESTRING (23.6821439 40.4424177, 23.6821382 40.4428219, 23.6821113 40.4429893, 23.6820614 40.4430713)",,
166445202,False,2,residential,False,72.071,"LINESTRING (23.6821439 40.4424177, 23.6819696 40.4422707, 23.6819294 40.4421829, 23.681924 40.4420666, 23.6819133 40.4418829, 23.6818864 40.4418298)",,
166445205,False,2,tertiary,False,141.053,"LINESTRING (23.6821439 40.4424177, 23.6822562 40.442287, 23.6823715 40.4421666, 23.6826022 40.4419686, 23.6828758 40.4417502, 23.6830904 40.4416522, 23.6833322 40.4415585)",50,
166445205,False,2,tertiary,True,153.648,"LINESTRING (23.6821439 40.4424177, 23.6820158 40.4426348, 23.6819484 40.4427526, 23.6818187 40.4428812, 23.6816558 40.4429592, 23.681332 40.4431435, 23.680889 40.4433569)",50,
318228769,False,2,tertiary,True,26.905,"LINESTRING (23.6753702 40.4444758, 23.675237 40.4442561)",,
318228769,False,2,tertiary,False,96.00399999999999,"LINESTRING (23.6753702 40.4444758, 23.6754245 40.4445925, 23.675433 40.4447124, 23.6754064 40.4448549, 23.6753638 40.4449748, 23.6753201 40.4450898, 23.6753148 40.4451887, 23.6753393 40.4452559, 23.6753861 40.4453078)",,
318228771,False,,residential,False,210.40499999999994,"LINESTRING (23.6753702 40.4444758, 23.6758098 40.4443535, 23.6761121 40.4442838, 23.676227 40.4442368, 23.6762866 40.4441623, 23.6763271 40.4441088, 23.6763718 40.4440829, 23.6764484 40.4440667, 23.6765272 40.4440797, 23.6767018 40.4442385, 23.676772 40.4443341, 23.6768295 40.4444005, 23.6768764 40.4444544, 23.6769564 40.4444894, 23.6770885 40.444558, 23.6771745 40.4446067, 23.6772226 40.444628, 23.6773518 40.444668)",,
166445174,False,2,tertiary,True,15.208,"LINESTRING (23.6776858 40.4447768, 23.6778616 40.4447484)",,
166445174,False,2,tertiary,False,118.137,"LINESTRING (23.6776858 40.4447768, 23.6776238 40.4448538, 23.6775534 40.4450848, 23.6774417 40.4452418, 23.677234 40.4453713, 23.6771135 40.4454359, 23.6770121 40.4455468, 23.6769462 40.4455785, 23.6768866 40.4455822)",,
426789042,False,2,residential,True,24.083,"LINESTRING (23.6776858 40.4447768, 23.6776481 40.4447428, 23.67757 40.4446752, 23.6774756 40.4446355)",,
166445183,False,,residential,True,105.813,"LINESTRING (23.6831171 40.4434319, 23.6829831 40.4433628, 23.6829187 40.4432893, 23.6828222 40.443224, 23.6827149 40.4431587, 23.6825969 40.4430852, 23.6824681 40.443075, 23.6823903 40.443077, 23.6822964 40.4431015, 23.6821677 40.4431097, 23.6820614 40.4430713)",,
