osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,access
48008055,False,Zygmunta Wróblewskiego,residential,True,254.64300000000003,"LINESTRING (19.185344 50.1483586, 19.1854193 50.1483477, 19.1856956 50.1483075, 19.1857633 50.1483048, 19.1858359 50.1483067, 19.1859037 50.1483244, 19.1859829 50.1483592, 19.1861069 50.1484088, 19.1862198 50.1484555, 19.186364 50.1485043, 19.1865115 50.1485477, 19.186663 50.148574, 19.1868316 50.1486002, 19.1871405 50.1486301, 19.1873959 50.1486518, 19.1880174 50.1486844, 19.1885467 50.1486984, 19.1886253 50.1486987, 19.1887904 50.1486992)",,,,
"[64440073, 403374113]",False,Wyzwolenia,residential,False,111.19399999999999,"LINESTRING (19.185344 50.1483586, 19.1854463 50.1481783, 19.1854824 50.1480964, 19.1854977 50.1480616, 19.1855147 50.148016, 19.1855394 50.1479583, 19.1855625 50.1478878, 19.185565 50.1476567, 19.1855682 50.1476214, 19.1855729 50.1475839, 19.1855835 50.1474994, 19.1855953 50.1474055, 19.1855985 50.1473805)",,,50,
64440073,False,Wyzwolenia,residential,True,24.131,"LINESTRING (19.185344 50.1483586, 19.1853232 50.1484013, 19.1852418 50.1485655)",,,,
47328982,True,Apteczna,residential,False,17.523,"LINESTRING (19.1853222 50.146969, 19.1852933 50.1468125)",,,,
157351886,False,Francuska,residential,False,79.712,"LINESTRING (19.1853222 50.146969, 19.1852819 50.1469747, 19.1849559 50.1470206, 19.1844007 50.1473376)",,,,
47328982,True,Apteczna,residential,False,126.316,"LINESTRING (19.1852933 50.1468125, 19.1852624 50.1466241, 19.185246 50.1465588, 19.1852185 50.1464493, 19.1848696 50.145713)",,,,
115131705,True,Marii Dąbrowskiej,residential,False,131.70499999999998,"LINESTRING (19.1852933 50.1468125, 19.1852608 50.1468166, 19.1844217 50.1469231, 19.1835964 50.1472371)",,,,
157351882,False,Marii Dąbrowskiej,residential,False,202.834,"LINESTRING (19.182595 50.147653, 19.1825694 50.1476636, 19.1802814 50.1486091, 19.1802505 50.1486248, 19.1802214 50.148642, 19.1802112 50.1486487)",,,,
"[403374107, 403374108]",False,Dobra,residential,False,219.18500000000003,"LINESTRING (19.182595 50.147653, 19.1824849 50.1475375, 19.1822901 50.1473331, 19.1819377 50.1469634, 19.181089 50.1460731, 19.1810222 50.146003, 19.1809916 50.1459708)",,,"['20', '50']",
"[47278953, 403374108]",False,Dobra,residential,True,112.017,"LINESTRING (19.182595 50.147653, 19.1827645 50.1478175, 19.1829259 50.1479812, 19.1831469 50.1482132, 19.1833542 50.1484334, 19.1833715 50.1484518, 19.1834 50.1484696, 19.1834291 50.1484819, 19.1834546 50.1484902)",,,"['20', '50']",
208754665,False,Świętego Brata Alberta,tertiary,False,241.07899999999998,"LINESTRING (19.1785253 50.1430512, 19.1786923 50.1430723, 19.1791951 50.143161, 19.1793507 50.1431885, 19.1804238 50.143328, 19.1812246 50.1433841, 19.1815322 50.1434305, 19.1816605 50.1434612, 19.1817449 50.1434814, 19.1818258 50.1435007)",,,50,
22744979,False,Karola Miarki,residential,False,190.88199999999998,"LINESTRING (19.1811963 50.1494134, 19.1827085 50.1487943, 19.1833504 50.1485376, 19.1834546 50.1484902)",,,,
403374114,False,,residential,True,110.25999999999999,"LINESTRING (19.1811963 50.1494134, 19.1811644 50.1493886, 19.1809113 50.1491913, 19.1802112 50.1486487)",,,,
115131705,True,Marii Dąbrowskiej,residential,False,85.031,"LINESTRING (19.1835964 50.1472371, 19.182595 50.147653)",,,,
157351883,False,Złocista,residential,False,184.875,"LINESTRING (19.1835964 50.1472371, 19.1833248 50.1468787, 19.1826611 50.1456882)",,,,
157351883,False,Złocista,residential,True,184.875,"LINESTRING (19.1826611 50.1456882, 19.1833248 50.1468787, 19.1835964 50.1472371)",,,,
157351886,False,Francuska,residential,True,79.712,"LINESTRING (19.1844007 50.1473376, 19.1849559 50.1470206, 19.1852819 50.1469747, 19.1853222 50.146969)",,,,
47278956,False,Karola Olszewskiego,residential,False,100.14999999999999,"LINESTRING (19.1836541 50.1494913, 19.1827585 50.1500282, 19.1826525 50.1500192, 19.1826455 50.1500175, 19.1825813 50.1500122)",,,,yes
47278956,False,Karola Olszewskiego,residential,True,156.831,"LINESTRING (19.1836541 50.1494913, 19.1841742 50.1491603, 19.1846483 50.1488585, 19.1850399 50.1485835, 19.1850918 50.1485623, 19.185174 50.1485491, 19.1852418 50.1485655)",,,,yes
426580741,True,Apteczna,residential,False,93.92099999999999,"LINESTRING (19.1848696 50.145713, 19.1847092 50.1450386, 19.1847018 50.1449702, 19.1846951 50.1448764)",,,,
426580746,False,Floriana,residential,False,73.845,"LINESTRING (19.1848696 50.145713, 19.1848345 50.145723, 19.1843887 50.1458502, 19.1838975 50.1459379)",,,,
426580746,False,Floriana,residential,True,73.845,"LINESTRING (19.1838975 50.1459379, 19.1843887 50.1458502, 19.1848345 50.145723, 19.1848696 50.145713)",,,,
376769198,False,,residential,True,109.55199999999999,"LINESTRING (19.1901651 50.1458679, 19.1901657 50.1458892, 19.190167 50.1459288, 19.1901606 50.1468531)",,,,
47328985,False,Wojciecha Sapety,residential,True,171.289,"LINESTRING (19.1901606 50.1468531, 19.1899215 50.1468315, 19.1890493 50.1467528, 19.1888035 50.1467367, 19.1887183 50.1467311, 19.1885083 50.1467186, 19.1883483 50.1467126, 19.1882818 50.1467101, 19.1881981 50.1467102, 19.1881387 50.1467132, 19.1880493 50.1467244, 19.1877848 50.1467764)",,,,
376769198,False,,residential,False,109.55199999999999,"LINESTRING (19.1901606 50.1468531, 19.190167 50.1459288, 19.1901657 50.1458892, 19.1901651 50.1458679)",,,,
157351882,False,Marii Dąbrowskiej,residential,True,57.077999999999996,"LINESTRING (19.1797314 50.1490564, 19.1800465 50.1488235, 19.1801574 50.1486901, 19.1801761 50.1486742, 19.1802013 50.1486553, 19.1802112 50.1486487)",,,,
232352041,False,Imielińska,secondary,False,12.493,"LINESTRING (19.1853069 50.1472554, 19.1853697 50.1472087, 19.1854171 50.1471681)",2,934,,
"[232352041, 190131506]",False,Imielińska,secondary,True,190.90200000000002,"LINESTRING (19.1853069 50.1472554, 19.1852705 50.1472801, 19.1852304 50.1473038, 19.1851013 50.147376, 19.1845445 50.1476599, 19.1843204 50.1477864, 19.1842233 50.1478478, 19.1841444 50.1478976, 19.1840023 50.1480037, 19.1838433 50.1481485, 19.1837737 50.1482181, 19.1837262 50.1482769, 19.1835547 50.1485198)",2,934,50,
