osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,ref
268609178,,Kazimierza Sopałowicza,residential,50,False,True,64.112,"LINESTRING (17.7836135 51.8973448, 17.783767 51.8973183, 17.7839373 51.897289, 17.7840611 51.8972722, 17.7841363 51.8972683, 17.7843168 51.897264, 17.7845319 51.8972699)",,
268609179,,Kazimierza Sopałowicza,residential,50,True,False,40.042,"LINESTRING (17.7836135 51.8973448, 17.7836278 51.8974688, 17.7835788 51.8975333, 17.7835059 51.8976222, 17.7834254 51.897664)",,
194566755,2,Edmunda Bojanowskiego,residential,50,True,False,97.573,"LINESTRING (17.7888366 51.8978587, 17.7887201 51.8978577, 17.7874147 51.897846)",,
301866452,2,Jana Kilińskiego,tertiary,50,False,True,87.407,"LINESTRING (17.7888366 51.8978587, 17.7888042 51.8977766, 17.7887711 51.8976925, 17.7886316 51.8971714, 17.7886086 51.8970857)",,
302124664,2,Jana Kilińskiego,tertiary,50,False,False,70.089,"LINESTRING (17.7888366 51.8978587, 17.7888823 51.8979148, 17.7890311 51.8980972, 17.7891323 51.8982281, 17.7891517 51.8982607, 17.7892311 51.8984376)",,
141115959,,Janusza Kusocińskiego,residential,50,False,True,280.957,"LINESTRING (17.7815412 51.8980119, 17.7815024 51.8980583, 17.7814654 51.8981025, 17.780748 51.8989608, 17.7807262 51.8990196, 17.7810168 51.9003696, 17.7810247 51.9004061)",,
300967756,2,Generała Józefa Hallera,primary,50,False,True,98.54799999999999,"LINESTRING (17.7815412 51.8980119, 17.7825374 51.8983508, 17.7825868 51.898369, 17.7827997 51.8984389)",,12
141115959,,Janusza Kusocińskiego,residential,50,False,False,280.95699999999994,"LINESTRING (17.7810247 51.9004061, 17.7810168 51.9003696, 17.7807262 51.8990196, 17.780748 51.8989608, 17.7814654 51.8981025, 17.7815024 51.8980583, 17.7815412 51.8980119)",,
206985862,2,Pomorska,residential,50,False,False,132.168,"LINESTRING (17.7810247 51.9004061, 17.7820115 51.900336, 17.7821027 51.9003495, 17.7827688 51.9005113, 17.7828324 51.9005268, 17.7828836 51.9005392)",,
1039916072,2,Juliusza Słowackiego,residential,50,True,False,15.954,"LINESTRING (17.781742 51.8934281, 17.7815264 51.8934818)",,
1255517768,2,Rondo 2020 roku,residential,50,True,False,8.999,"LINESTRING (17.781742 51.8934281, 17.7817167 51.8934061, 17.7817031 51.8933805, 17.7817023 51.8933535)",roundabout,
89250454,2,Juliusza Słowackiego,residential,50,False,False,92.791,"LINESTRING (17.7837877 51.8935039, 17.7837224 51.8935212, 17.7836692 51.8935246, 17.7836318 51.8935224, 17.782772 51.8933827, 17.7824739 51.8933569)",,
141134260,2,Ogrodowa,residential,50,False,False,26.133000000000003,"LINESTRING (17.7837877 51.8935039, 17.7838255 51.8934699, 17.7838291 51.8934465, 17.7838064 51.8932768)",,
141115965,2,Szkolna,living_street,20,False,False,87.70599999999999,"LINESTRING (17.7898283 51.8953535, 17.7898372 51.8953905, 17.7898442 51.8954159, 17.7900148 51.896034, 17.7900416 51.8961312)",,
277588769,2,Kaliska,tertiary,50,False,False,109.63699999999999,"LINESTRING (17.7898283 51.8953535, 17.7906209 51.8953168, 17.7912311 51.8952934, 17.791422 51.8952836)",,
277588769,2,Kaliska,tertiary,50,False,True,62.635999999999996,"LINESTRING (17.7898283 51.8953535, 17.7890431 51.8953856, 17.7889174 51.8953899)",,
146812841,2,Lecha Kaczyńskiego,residential,50,False,True,125.652,"LINESTRING (17.7856235 51.8931377, 17.7855493 51.8931431, 17.7855246 51.8931449, 17.7839289 51.8932653, 17.7838507 51.8932727, 17.7838064 51.8932768)",,
332290977,1,Henryka Sienkiewicza,tertiary,50,True,False,155.845,"LINESTRING (17.7856235 51.8931377, 17.7856268 51.8931712, 17.785629 51.8931939, 17.7857601 51.8945367)",,
141115945,2,Kraszewskiego,residential,50,True,False,52.293,"LINESTRING (17.787274 51.8967195, 17.7872237 51.8963166, 17.7872155 51.8962506)",,
146813380,,Artura Grottgera,residential,50,False,False,77.657,"LINESTRING (17.7882918 51.9003717, 17.7881804 51.8997393, 17.7881695 51.8996774)",,
146813380,,Artura Grottgera,residential,50,False,True,77.657,"LINESTRING (17.7881695 51.8996774, 17.7881804 51.8997393, 17.7882918 51.9003717)",,
146813382,,Juliusza Kossaka,residential,50,False,False,67.571,"LINESTRING (17.7881695 51.8996774, 17.7880135 51.8996705, 17.7878584 51.8996706, 17.787188 51.8997093)",,
146813382,,Juliusza Kossaka,residential,50,False,True,93.91799999999999,"LINESTRING (17.7881695 51.8996774, 17.7886598 51.8997486, 17.7888128 51.8997551, 17.7889466 51.8997446, 17.789351 51.8997026, 17.7893827 51.8996993, 17.7895155 51.8996855)",,
146813381,,Józefa Chełmońskiego,residential,50,False,False,81.96799999999999,"LINESTRING (17.7873116 51.9004425, 17.7871953 51.8997526, 17.787188 51.8997093)",,
279333666,2,Juliusza Kossaka,residential,20,False,False,67.95,"LINESTRING (17.787188 51.8997093, 17.7862024 51.8997691)",,
146813381,,Józefa Chełmońskiego,residential,50,False,True,81.96799999999999,"LINESTRING (17.787188 51.8997093, 17.7871953 51.8997526, 17.7873116 51.9004425)",,
146813382,,Juliusza Kossaka,residential,50,False,True,67.571,"LINESTRING (17.787188 51.8997093, 17.7878584 51.8996706, 17.7880135 51.8996705, 17.7881695 51.8996774)",,
264395761,1,,residential,,True,False,58.129000000000005,"LINESTRING (17.7860213 51.8978336, 17.7858194 51.897836, 17.7855968 51.8978254, 17.7853378 51.8977722, 17.7852074 51.8977277)",,
141115949,2,Tyniec,residential,50,True,False,93.343,"LINESTRING (17.7859974 51.8973552, 17.786135 51.8973609, 17.7867047 51.8973844, 17.7867614 51.8973821, 17.786815 51.8973784, 17.7872718 51.8973389, 17.7872865 51.8973376, 17.7873505 51.8973321)",,
"[146988597, 614414150]",2,Plac Powstańców Wlkp.,residential,50,True,False,53.22200000000001,"LINESTRING (17.7859974 51.8973552, 17.7860006 51.8974485, 17.7860076 51.8975641, 17.7860159 51.8977264, 17.7860213 51.8978336)",,
146813103,2,Bramkowa,residential,50,True,False,91.271,"LINESTRING (17.7859553 51.896827, 17.7860636 51.8968182, 17.7871955 51.8967259, 17.7872163 51.8967242, 17.787274 51.8967195)",,
