osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,junction
101320353,False,Zygmunta Krasińskiego,residential,,False,206.51900000000003,"LINESTRING (16.4948109 50.9408075, 16.4948359 50.9408259, 16.4948914 50.9408881, 16.4949543 50.940964, 16.4950407 50.9411219, 16.4951807 50.9413054, 16.4952243 50.9413592, 16.4952802 50.9414397, 16.4953327 50.9415152, 16.4953624 50.9415524, 16.4954444 50.9416639, 16.4954786 50.9417056, 16.4955349 50.9417824, 16.4955439 50.9417948, 16.4955713 50.9418364, 16.4956582 50.9419555, 16.4956927 50.9420027, 16.4957163 50.9420384, 16.4957537 50.9420881, 16.4958064 50.9421645, 16.4958409 50.9422127, 16.4958583 50.9422382, 16.4958771 50.9422643, 16.4958968 50.9422956, 16.4959755 50.9424032, 16.4960362 50.942494)",,
569299898,True,,tertiary,50,False,13.373000000000001,"LINESTRING (16.4948109 50.9408075, 16.4947789 50.9408184, 16.494734 50.9408232, 16.4946985 50.9408211, 16.4946658 50.9408138, 16.4946376 50.9407972)",,roundabout
569299898,True,,tertiary,50,False,3.364,"LINESTRING (16.4948394 50.9407834, 16.4948293 50.9407948, 16.4948109 50.9408075)",,roundabout
"[215094564, 583472270]",False,Adama Mickiewicza,tertiary,,False,176.37500000000003,"LINESTRING (16.4948394 50.9407834, 16.4948736 50.9407947, 16.4949505 50.9408164, 16.4950361 50.9408364, 16.4951134 50.9408518, 16.4951948 50.9408642, 16.495351 50.9408907, 16.495817 50.9409389, 16.4962616 50.9409886, 16.4966726 50.9410312, 16.4967959 50.9410423, 16.4969601 50.9410577, 16.497122 50.9410666, 16.4971817 50.9410697, 16.4973045 50.941076)",,
569299898,True,,tertiary,50,False,10.371000000000002,"LINESTRING (16.4948177 50.9406976, 16.4948384 50.940713, 16.4948498 50.9407295, 16.4948528 50.9407466, 16.4948492 50.9407636, 16.4948394 50.9407834)",,roundabout
569299898,True,,tertiary,50,False,7.343999999999999,"LINESTRING (16.4947238 50.9406735, 16.4947539 50.9406746, 16.4947829 50.9406805, 16.4947984 50.9406872, 16.4948177 50.9406976)",,roundabout
583472269,True,Armii Krajowej,tertiary,50,False,23.369999999999997,"LINESTRING (16.4947238 50.9406735, 16.4947978 50.9405919, 16.4949042 50.940497)",,
101320354,False,Dworcowa,residential,,False,52.535,"LINESTRING (16.4946322 50.9407042, 16.4946038 50.9406927, 16.494526 50.9406603, 16.494183 50.9405236, 16.49402 50.9404334)",,
569299898,True,,tertiary,50,False,7.481,"LINESTRING (16.4946322 50.9407042, 16.4946523 50.9406917, 16.4946761 50.9406816, 16.494699 50.9406756, 16.4947238 50.9406735)",,roundabout
569299898,True,,tertiary,50,False,11.123,"LINESTRING (16.4946376 50.9407972, 16.4946205 50.9407805, 16.4946119 50.9407619, 16.4946097 50.9407427, 16.494616 50.9407226, 16.4946322 50.9407042)",,roundabout
600674583,False,Armii Krajowej,tertiary,50,False,10.770999999999999,"LINESTRING (16.4946376 50.9407972, 16.494613 50.940817, 16.4945943 50.9408345, 16.4945514 50.9408773)",2,
101320356,False,1 Maja,residential,50,False,176.97899999999998,"LINESTRING (16.4914152 50.9424475, 16.4910564 50.9424725, 16.490942 50.9424805, 16.4906168 50.9425066, 16.4905663 50.9425109, 16.490303 50.942531, 16.490213 50.9425379, 16.488908 50.9426409)",2,
101320356,False,1 Maja,residential,50,True,26.427,"LINESTRING (16.4914152 50.9424475, 16.4916777 50.9424274, 16.4917869 50.9424097)",2,
216676856,True,Dworcowa,residential,,False,7.471,"LINESTRING (16.4909314 50.9397822, 16.4909572 50.9398071, 16.4909682 50.9398439)",2,roundabout
675971384,False,Dworcowa,residential,,True,205.61899999999997,"LINESTRING (16.4909314 50.9397822, 16.491194 50.9395885, 16.4931263 50.9402445, 16.4931545 50.9403042, 16.4931798 50.940343, 16.4933275 50.940396)",,
216631254,False,Ogrodowa,residential,,False,85.58000000000001,"LINESTRING (16.4956576 50.9423427, 16.495273 50.9423931, 16.4945336 50.9425035, 16.4944667 50.9425135)",2,
101320356,False,1 Maja,residential,50,False,26.427,"LINESTRING (16.4917869 50.9424097, 16.4916777 50.9424274, 16.4914152 50.9424475)",2,
218837853,False,Wojska Polskiego,residential,,False,288.95799999999997,"LINESTRING (16.4917869 50.9424097, 16.4917581 50.9423339, 16.4917125 50.9422225, 16.491561 50.9418521, 16.4915196 50.9417509, 16.4914283 50.9415245, 16.4913301 50.9412891, 16.491305 50.9412263, 16.4912363 50.9410571, 16.4912027 50.9409763, 16.4911751 50.9409089, 16.4911684 50.9408924, 16.4911454 50.9408363, 16.4911317 50.9408026, 16.4910998 50.9407248, 16.4910747 50.9406632, 16.4910638 50.9406366, 16.4910318 50.9405583, 16.490997 50.9404734, 16.4909612 50.9403858, 16.4909251 50.9402976, 16.4908889 50.9402092, 16.4908618 50.9401384, 16.4908529 50.9401181, 16.4908372 50.9400827, 16.4908249 50.9400527, 16.4907997 50.9399904, 16.4907921 50.9398899)",2,
218837853,False,Wojska Polskiego,residential,,True,18.768,"LINESTRING (16.4917869 50.9424097, 16.4918163 50.9424762, 16.4918558 50.9425728)",2,
218837858,True,Generała Władysława Sikorskiego,residential,50,False,107.92999999999998,"LINESTRING (16.4917869 50.9424097, 16.4919037 50.9423806, 16.4929508 50.9424007, 16.4931742 50.9424081, 16.4933174 50.9424145)",1,
306771095,True,Plac Wolności,residential,,False,90.959,"LINESTRING (16.499432 50.9419833, 16.4984005 50.94248)",,
688132504,False,Rzemieślnicza,residential,,True,27.55,"LINESTRING (16.4925155 50.9474658, 16.4924148 50.9472263)",,
688132504,False,Rzemieślnicza,residential,,False,27.55,"LINESTRING (16.4924148 50.9472263, 16.4925155 50.9474658)",,
688132506,False,Rzemieślnicza,residential,,False,21.118,"LINESTRING (16.4924148 50.9472263, 16.4921257 50.9472801)",,
688132506,False,Rzemieślnicza,residential,,True,78.79299999999999,"LINESTRING (16.4924148 50.9472263, 16.4934599 50.9470317, 16.4934934 50.9470255)",,
688132506,False,Rzemieślnicza,residential,,True,21.118,"LINESTRING (16.4921257 50.9472801, 16.4924148 50.9472263)",,
