osmid,name,highway,oneway,reversed,length,geometry,width,ref,maxspeed,lanes,junction,tunnel
52565366,Masařská,residential,False,False,37.739,"LINESTRING (17.9043149 49.9384834, 17.9044274 49.9384234, 17.9045167 49.9383758, 17.9045394 49.9383635, 17.9045881 49.9383373, 17.9047268 49.9382717)",,,,,,
52565373,Drůbeží trh,residential,False,True,54.381,"LINESTRING (17.904758 49.9388807, 17.9043149 49.9384834)",,,,,,
49302669,Olbrichova,primary,False,True,171.332,"LINESTRING (17.8983502 49.9390235, 17.8983392 49.9389102, 17.8982931 49.9382039, 17.8982974 49.93795, 17.8983293 49.9378625, 17.8985499 49.9375137)",,46;57,50,,,
"[52566125, 219751484, 219751485]",Čapkova,residential,False,True,119.753,"LINESTRING (17.8983502 49.9390235, 17.8988042 49.9390318, 17.8988355 49.9390346, 17.8988858 49.9390328, 17.8997283 49.9390484, 17.899898 49.9390515, 17.8999123 49.9390517, 17.9000225 49.9390536)",,,,,,yes
586291920,Olbrichova,primary,False,False,67.521,"LINESTRING (17.8983502 49.9390235, 17.8983593 49.9392196, 17.8984001 49.9396298)",,46;57,50,,,
52565688,Rybí trh,residential,False,True,22.04,"LINESTRING (17.9006338 49.9381479, 17.9005291 49.9379615)",,,,,,
52566560,Almužnická,residential,False,False,49.038000000000004,"LINESTRING (17.9006338 49.9381479, 17.9007242 49.9381089, 17.901194 49.937894)",,,,,,
180359000,Rybí trh,residential,True,False,121.336,"LINESTRING (17.9006338 49.9381479, 17.9007109 49.9382347, 17.9010909 49.9385435, 17.9001644 49.9385778)",,,,,,
52566560,Almužnická,residential,False,True,49.038000000000004,"LINESTRING (17.901194 49.937894, 17.9007242 49.9381089, 17.9006338 49.9381479)",,,,,,
52566561,Kolářská,residential,False,False,11.175,"LINESTRING (17.9014927 49.9395133, 17.9015113 49.9395406, 17.9015494 49.9396069)",6,,,,,
52567075,Nákladní,residential,False,True,18.062,"LINESTRING (17.9062894 49.9398957, 17.9061242 49.9400185)",,,,,,
52567075,Nákladní,residential,False,False,42.372,"LINESTRING (17.9057685 49.9403226, 17.9059996 49.9401111, 17.9061242 49.9400185)",,,,,,
"[52563736, 521786440]",Nákladní,tertiary,False,False,70.979,"LINESTRING (17.9063639 49.9407887, 17.9064752 49.9407173, 17.9065038 49.940701, 17.9071522 49.9404033)",,4641,50,,,
