osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,junction,access,lanes
85068634,,residential,,False,False,72.84,Ptylova,"LINESTRING (17.6435348 49.0263355, 17.6425629 49.0264871)",,,
85068634,,residential,,False,True,100.719,Ptylova,"LINESTRING (17.6435348 49.0263355, 17.6449063 49.0262274)",,,
85068637,,residential,,False,True,95.28399999999999,Malá,"LINESTRING (17.6435348 49.0263355, 17.6433047 49.0256073, 17.6432895 49.0254945)",,,
875226822,,residential,,False,False,69.29400000000001,Malá,"LINESTRING (17.6435348 49.0263355, 17.6436514 49.0266836, 17.6437334 49.0269449)",,destination,
"[36886552, 48201923]",,residential,,False,True,131.56799999999998,Weberova,"LINESTRING (17.6437334 49.0269449, 17.643607 49.0269494, 17.6430676 49.0270104, 17.6428387 49.0270448, 17.6426922 49.0268045, 17.6425629 49.0264871)",,,
211765502,,residential,,True,False,87.64699999999999,,"LINESTRING (17.6437334 49.0269449, 17.6439288 49.02696, 17.6441658 49.0269821, 17.6444086 49.0269967, 17.6446644 49.0269942, 17.6449284 49.0269712)",,,
875226822,,residential,,False,True,69.29400000000001,Malá,"LINESTRING (17.6437334 49.0269449, 17.6436514 49.0266836, 17.6435348 49.0263355)",,destination,
36886526,,residential,50,False,True,37.248000000000005,Kaunicova,"LINESTRING (17.6470984 49.0247273, 17.647094 49.0249129, 17.6471046 49.0250621)",,,
48143358,,residential,50,True,False,39.120000000000005,Masarykovo nám.,"LINESTRING (17.6470984 49.0247273, 17.6471128 49.0245681, 17.6471146 49.0244902, 17.6471185 49.0243758)",,,
333626336,,residential,50,False,True,50.881,A. Hrubého,"LINESTRING (17.6530928 49.0255995, 17.6524418 49.0254347)",,,
48145125,,residential,50,False,True,263.643,Za Humny,"LINESTRING (17.6530928 49.0255995, 17.652979 49.0258977, 17.6528351 49.026275, 17.6527906 49.0263859, 17.6526967 49.0265525, 17.6525865 49.0267102, 17.6523487 49.027014, 17.6518555 49.027608, 17.6517135 49.0277749)",,,
36886541,,residential,50,False,False,43.863,U Plovárny,"LINESTRING (17.648329 49.0286347, 17.6482541 49.0285804, 17.6481527 49.0284768, 17.6480452 49.0282916)",,,
36886541,,residential,50,False,True,53.555,U Plovárny,"LINESTRING (17.648329 49.0286347, 17.6484242 49.0286702, 17.6485023 49.0286891, 17.6486415 49.028726, 17.6488247 49.0287461, 17.6490305 49.0287498)",,,
36886541,,residential,50,False,True,30.395,U Plovárny,"LINESTRING (17.6478597 49.0280468, 17.6480452 49.0282916)",,,
88738521,49714,tertiary,50,False,False,22.614,Horní Valy,"LINESTRING (17.6478597 49.0280468, 17.6480083 49.0280366, 17.6481673 49.0280211)",,,2
88738521,49714,tertiary,50,False,True,60.928999999999995,Horní Valy,"LINESTRING (17.6478597 49.0280468, 17.6475654 49.028063, 17.6474174 49.028073, 17.6472692 49.0280908, 17.6471894 49.0281017, 17.6470362 49.0281305)",,,2
36886541,,residential,50,False,False,53.555,U Plovárny,"LINESTRING (17.6490305 49.0287498, 17.6488247 49.0287461, 17.6486415 49.028726, 17.6485023 49.0286891, 17.6484242 49.0286702, 17.648329 49.0286347)",,,
"[333623179, 36886541]",,residential,50,False,True,129.298,"['Partyzánů', 'U Plovárny']","LINESTRING (17.6490305 49.0287498, 17.6495222 49.0287642, 17.650143 49.0288573, 17.6506623 49.0289517, 17.6507615 49.0289753)",,,
