osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge,access
47978341,2,The Esplanade,residential,50,False,False,168.76500000000001,"LINESTRING (172.6990019 -43.3099124, 172.6989173 -43.3099883, 172.6988352 -43.3100596, 172.6987394 -43.3101322, 172.6985963 -43.3102272, 172.6985478 -43.3102756, 172.6985255 -43.3103081, 172.6985108 -43.310336, 172.6985012 -43.3103823, 172.6984979 -43.3104266, 172.6985153 -43.3104877, 172.6985556 -43.3105628, 172.6986754 -43.310724, 172.6987593 -43.3108273, 172.6988521 -43.3109287, 172.6990908 -43.3111733)",,,
47978341,2,The Esplanade,residential,50,False,True,138.501,"LINESTRING (172.6990019 -43.3099124, 172.6990423 -43.3098692, 172.6991364 -43.3097545, 172.6992288 -43.3096161, 172.6992946 -43.3095033, 172.6993537 -43.3093681, 172.6993939 -43.3092598, 172.699419 -43.3091574, 172.6994368 -43.3090472, 172.6994422 -43.3089288, 172.699444 -43.3087816, 172.6994394 -43.3087331)",,,
188153678,2,Te Kohanga Drive,tertiary,50,False,False,191.767,"LINESTRING (172.700008 -43.3118533, 172.7004891 -43.3101646)",,,
47978341,2,The Esplanade,residential,50,False,True,115.64299999999999,"LINESTRING (172.700008 -43.3118533, 172.6996858 -43.3117994, 172.6995836 -43.3117794, 172.6995468 -43.3117668, 172.6994991 -43.3117417, 172.6994496 -43.3117148, 172.69941 -43.3116853, 172.6993914 -43.3116689, 172.6993752 -43.3116472, 172.699359 -43.3116191, 172.6993049 -43.3115099, 172.6992395 -43.3113886, 172.6991646 -43.3112743, 172.6990908 -43.3111733)",,,
"[188153698, 188036742, 188153678]",2,Te Kohanga Drive,tertiary,50,False,True,191.766,"LINESTRING (172.700008 -43.3118533, 172.6998741 -43.3123219, 172.6998567 -43.3123827, 172.6997947 -43.3125587, 172.6997526 -43.3126636, 172.6997062 -43.3127608, 172.6996251 -43.3129079, 172.6995332 -43.3130519, 172.6994095 -43.3132108, 172.6992963 -43.3133486, 172.6991996 -43.3134574)",,yes,
47978342,2,Motu Quay,residential,50,False,False,109.73400000000001,"LINESTRING (172.6947333 -43.3109115, 172.6947938 -43.3108792, 172.6951096 -43.3107447, 172.6951872 -43.3107144, 172.6952373 -43.3106976, 172.6952822 -43.3106869, 172.6953298 -43.3106805, 172.6955704 -43.31066, 172.696001 -43.3106197)",,,
219500045,2,Winsloe Street,residential,50,False,True,38.874,"LINESTRING (172.6947333 -43.3109115, 172.6946685 -43.3109479, 172.6943233 -43.3110929)",,,
"[188036745, 1251094618]",,Pegasus Main Street,residential,50,False,False,296.28,"LINESTRING (172.6947333 -43.3109115, 172.69481 -43.3110081, 172.6950773 -43.311347, 172.6953483 -43.3116869, 172.6957722 -43.3122329, 172.6965682 -43.3132173)",,,
1251094618,,Pegasus Main Street,residential,50,False,True,73.52,"LINESTRING (172.6947333 -43.3109115, 172.6946513 -43.3108093, 172.6943387 -43.3104194, 172.6943123 -43.3103874, 172.6942759 -43.3103402)",,,
47977820,2,Te Waihora Street,residential,50,False,True,56.394,"LINESTRING (172.7001776 -43.3088687, 172.7008454 -43.3090139)",,,
47977820,2,Te Waihora Street,residential,50,False,False,61.777,"LINESTRING (172.7001776 -43.3088687, 172.6995564 -43.3087401, 172.6995155 -43.308735, 172.6994394 -43.3087331)",,,
58928387,,Puari Lane,living_street,,False,False,136.084,"LINESTRING (172.7001776 -43.3088687, 172.7000423 -43.3092435, 172.7000066 -43.3093564, 172.6999747 -43.3094683, 172.6998413 -43.309977, 172.6998138 -43.310063)",,,
47977819,2,Te Wairewe Street,residential,50,False,True,55.795,"LINESTRING (172.6998138 -43.310063, 172.7004891 -43.3101646)",,,
47977819,2,Te Wairewe Street,residential,50,False,False,68.08500000000001,"LINESTRING (172.6998138 -43.310063, 172.6991306 -43.3099573, 172.6990637 -43.3099376, 172.6990019 -43.3099124)",,,
58928387,,Puari Lane,living_street,,False,True,136.084,"LINESTRING (172.6998138 -43.310063, 172.6998413 -43.309977, 172.6999747 -43.3094683, 172.7000066 -43.3093564, 172.7000423 -43.3092435, 172.7001776 -43.3088687)",,,
