osmid,name,highway,oneway,reversed,length,lanes,geometry,bridge
61929120,улица Гулиа,residential,False,False,103.961,,"LINESTRING (40.6271402 43.1048176, 40.628262 43.1052685)",
61929120,улица Гулиа,residential,False,True,113.947,,"LINESTRING (40.6271402 43.1048176, 40.6258813 43.1043645)",
61929141,улица Харазия,residential,False,False,98.365,,"LINESTRING (40.6271402 43.1048176, 40.6265824 43.1056029)",
61929141,улица Харазия,residential,False,True,105.957,,"LINESTRING (40.6271402 43.1048176, 40.6276793 43.1039498)",
61929120,улица Гулиа,residential,False,True,103.961,,"LINESTRING (40.628262 43.1052685, 40.6271402 43.1048176)",
61929122,Адыгская улица,residential,False,False,108.028,2,"LINESTRING (40.628262 43.1052685, 40.6288391 43.1043931)",
61929122,Адыгская улица,residential,False,True,100.638,2,"LINESTRING (40.628262 43.1052685, 40.6276949 43.1060733)",
61929120,улица Гулиа,residential,False,False,104.599,,"LINESTRING (40.628262 43.1052685, 40.6289479 43.105505, 40.6292021 43.1055979, 40.629423 43.1056763)",
61929120,улица Гулиа,residential,False,True,104.599,,"LINESTRING (40.629423 43.1056763, 40.6292021 43.1055979, 40.6289479 43.105505, 40.628262 43.1052685)",
"[203723664, 81114489, 61929212]",улица Дзидзария,tertiary,False,False,151.89100000000002,2,"LINESTRING (40.629423 43.1056763, 40.6290827 43.1061236, 40.6286442 43.1066994, 40.6285098 43.1068685)",yes
203723664,улица Дзидзария,tertiary,False,True,106.892,2,"LINESTRING (40.629423 43.1056763, 40.6298553 43.1051041, 40.6300583 43.1048343)",
61929122,Адыгская улица,residential,False,False,40.06,2,"LINESTRING (40.6274269 43.1063758, 40.6276949 43.1060733)",
61929122,Адыгская улица,residential,False,False,100.638,2,"LINESTRING (40.6276949 43.1060733, 40.628262 43.1052685)",
61929122,Адыгская улица,residential,False,True,40.06,2,"LINESTRING (40.6276949 43.1060733, 40.6274269 43.1063758)",
203529088,улица Шакрыл,residential,False,True,104.369,2,"LINESTRING (40.6276949 43.1060733, 40.6265824 43.1056029)",
203529088,улица Шакрыл,residential,False,False,47.649,2,"LINESTRING (40.6276949 43.1060733, 40.6279249 43.1061626, 40.6280315 43.1061941, 40.6282353 43.1062352)",
61929135,Ейская улица,residential,False,False,79.325,2,"LINESTRING (40.6243131 43.1066013, 40.6247568 43.1059657)",
61929135,Ейская улица,residential,False,True,79.325,2,"LINESTRING (40.6247568 43.1059657, 40.6243131 43.1066013)",
61929156,улица Эшба,residential,False,True,112.882,2,"LINESTRING (40.6247568 43.1059657, 40.6260138 43.1063997)",
203658150,Ейская улица,residential,False,False,103.501,2,"LINESTRING (40.6247568 43.1059657, 40.6253344 43.1051359)",
203658151,улица Эшба,residential,False,False,95.05499999999999,2,"LINESTRING (40.6247568 43.1059657, 40.6242663 43.1057749, 40.6239847 43.1056515, 40.6237272 43.1055595)",
203529088,улица Шакрыл,residential,False,False,113.849,2,"LINESTRING (40.6253344 43.1051359, 40.6265824 43.1056029)",
203529088,улица Шакрыл,residential,False,True,101.266,2,"LINESTRING (40.6253344 43.1051359, 40.6242413 43.1046972)",
203658150,Ейская улица,residential,False,False,96.586,2,"LINESTRING (40.6253344 43.1051359, 40.6258813 43.1043645)",
203658150,Ейская улица,residential,False,True,103.501,2,"LINESTRING (40.6253344 43.1051359, 40.6247568 43.1059657)",
