osmid,name,highway,maxspeed,width,oneway,reversed,length,tunnel,geometry,bridge,lanes,ref,access
135450950,Berggasse,residential,30,,False,True,69.083,,"LINESTRING (16.170586 48.2064751, 16.1707743 48.2064432, 16.1709509 48.2064998, 16.1710937 48.2065178, 16.171275 48.2064954, 16.1714725 48.2064436)",,,,
182991791,Hauptplatz,living_street,20,5.6,False,True,7.196,,"LINESTRING (16.1763231 48.2073681, 16.1762269 48.2073769)",,,,
828711239,Karl-Kurz-Gasse,living_street,20,5,True,False,5.896,,"LINESTRING (16.1765027 48.2066736, 16.1765482 48.2066301)",,,,
23325695,Karl-Kurz-Gasse,living_street,20,2.8,False,True,83.216,,"LINESTRING (16.1765027 48.2066736, 16.17649 48.2066854, 16.1764404 48.2067299, 16.1763714 48.2067955, 16.1762985 48.2068794, 16.1762783 48.2069261, 16.1762487 48.2070453, 16.1762403 48.2071775, 16.176232 48.2073256, 16.1762269 48.2073769)",,,,
4468901,Tullnerbachstraße,primary,50,,True,False,21.42,,"LINESTRING (16.1819938 48.2068533, 16.182039 48.2068949, 16.1820789 48.2069471, 16.1820827 48.2069729, 16.1820868 48.2070296)",,1,B44,
23487757,Tullnerbachstraße,primary,50,,True,False,60.169,,"LINESTRING (16.1819938 48.2068533, 16.1821134 48.2068807, 16.1821875 48.2069106, 16.1822329 48.2069243, 16.1823262 48.2069478, 16.1827723 48.2069834)",,1,,
"[984867601, 984867597, 320562670]",Wiener Straße,primary,50,,False,"[False, True]",51.059,,"LINESTRING (16.1820868 48.2070296, 16.1821806 48.2070242, 16.1822637 48.207019, 16.1827723 48.2069834)",,3,B1,
"[984867600, 984867596]",Wiener Straße,primary,50,,False,"[False, True]",10.556000000000001,,"LINESTRING (16.1820868 48.2070296, 16.1820159 48.2070338, 16.1819449 48.2070379)",,2,B1,
"[762292288, 26360324, 26360325]",Wiener Straße,primary,50,,False,True,120.30099999999999,,"LINESTRING (16.1819449 48.2070379, 16.1818466 48.2070426, 16.1813334 48.2070623, 16.1803254 48.2071122)",yes,2,B1,
"[984867594, 984867599]",Tullnerbachstraße,primary,50,,True,False,68.161,,"LINESTRING (16.1819449 48.2070379, 16.1819392 48.2069811, 16.1819338 48.2069308, 16.1818601 48.2068807, 16.1816262 48.2068341, 16.181516 48.2067953, 16.1814039 48.2067604, 16.1812761 48.2066952)",,1,B44,
"[984867600, 984867596]",Wiener Straße,primary,50,,False,"[False, True]",10.556000000000001,,"LINESTRING (16.1819449 48.2070379, 16.1820159 48.2070338, 16.1820868 48.2070296)",,2,B1,
152745512,Wiener Straße,primary,50,,False,True,51.203,,"LINESTRING (16.1834581 48.2069273, 16.1830056 48.2069629, 16.1827723 48.2069834)",,4,B1,
