osmid,oneway,name,highway,reversed,length,geometry,lanes,tunnel,junction,access
78048828,True,,tertiary,False,10.099,"LINESTRING (-7.9353097 37.0162729, -7.9352992 37.0162438, -7.9352786 37.0162184, -7.9352497 37.0161988)",,,roundabout,
78048836,True,Avenida da República,residential,False,80.422,"LINESTRING (-7.9364953 37.0166462, -7.9356758 37.0163381)",,,,
30994448,True,Rua da Comunidade Lusíada,residential,False,133.524,"LINESTRING (-7.9364953 37.0166462, -7.9365512 37.0166243, -7.9366448 37.0165866, -7.9367185 37.0165588, -7.9376487 37.0161945, -7.9378455 37.0161174)",,,,
78048829,True,,tertiary,False,14.525,"LINESTRING (-7.9353713 37.0148346, -7.9354122 37.0148367, -7.9354515 37.0148277, -7.9354848 37.0148088, -7.9355083 37.0147821)",,,roundabout,
183006172,True,Rua da Misericórdia,tertiary,False,34.695,"LINESTRING (-7.9353713 37.0148346, -7.9354245 37.0149401, -7.9354338 37.0149653, -7.9354468 37.0150591, -7.935456 37.0151364)",,,,
78048826,False,Praça Dom Francisco Gomes,tertiary,False,105.696,"LINESTRING (-7.935456 37.0151364, -7.9354084 37.0154437, -7.9353177 37.0160805)",,,,
78052127,True,,tertiary,False,39.669,"LINESTRING (-7.935456 37.0151364, -7.9354859 37.0149336, -7.9355083 37.0147821)",,,,
78048829,True,,tertiary,False,7.26,"LINESTRING (-7.9353036 37.0147997, -7.9353337 37.0148218, -7.9353713 37.0148346)",,,roundabout,
944603127,True,,tertiary,False,3.129,"LINESTRING (-7.9353548 37.0146513, -7.9353243 37.0146654)",,,roundabout,
78053501,True,,tertiary,False,20.894,"LINESTRING (-7.9355327 37.0162781, -7.9353765 37.0162165, -7.9353163 37.0162081)",,,,
95277047,True,,tertiary,False,29.243000000000002,"LINESTRING (-7.9355327 37.0162781, -7.9354072 37.0161776, -7.9353851 37.0161599, -7.9353636 37.016139, -7.9353177 37.0160805)",,,,
"[182814169, 182976314, 182814161]",False,Rua Monsenhor Boto,residential,True,104.579,"LINESTRING (-7.934677 37.0142638, -7.9349147 37.0142313, -7.9351384 37.0141417, -7.9353252 37.0139575, -7.9354307 37.0138211, -7.9354364 37.0137786, -7.9354343 37.0137668, -7.9354283 37.0137336, -7.9353779 37.0136857)",,building_passage,,
79960859,True,Praça Alexandre Herculano,residential,False,10.085,"LINESTRING (-7.9318688 37.0147018, -7.9317678 37.0147433)",,,,
"[79960825, 182971581]",True,Rua Rebelo da Silva,residential,False,130.867,"LINESTRING (-7.9302951 37.0155365, -7.9303202 37.0157301, -7.9314541 37.0157806, -7.9315485 37.0157848)",,,,
37000480,True,Praça Alexandre Herculano,residential,False,52.299,"LINESTRING (-7.9315449 37.0154894, -7.9315443 37.0154477, -7.9315166 37.0150703, -7.9315129 37.0150198)",,,,
182971582,True,Rua Castilho,residential,False,111.088,"LINESTRING (-7.9315449 37.0154894, -7.9314554 37.0154928, -7.9302951 37.0155365)",,,,
79960827,True,,residential,False,26.992,"LINESTRING (-7.9302587 37.0152955, -7.9302951 37.0155365)",,,,
"[1019665848, 79960829, 1019665847]",True,Rua Brites de Almeida,"['residential', 'living_street']",False,67.57499999999999,"LINESTRING (-7.9302587 37.0152955, -7.9302378 37.0153075, -7.9299618 37.015466, -7.9299134 37.0154917, -7.9298703 37.0155548, -7.929884 37.0155816, -7.9298813 37.015618, -7.9298733 37.0156544, -7.9298518 37.0156844, -7.9298531 37.0157079, -7.9298438 37.0157441)",,,roundabout,
79960829,True,Rua Brites de Almeida,residential,False,43.897999999999996,"LINESTRING (-7.9306842 37.0151014, -7.930529 37.0151438, -7.9302587 37.0152955)",,,,
"[79960851, 79960847]",True,"['Rua Castilho', 'Praça Alexandre Herculano']",residential,False,128.409,"LINESTRING (-7.9326417 37.0154642, -7.9319448 37.015484, -7.9318718 37.0154686, -7.931843 37.015432, -7.9318148 37.0149957, -7.9318104 37.0149382)",,,,
495852505,True,Praça Alexandre Herculano,residential,False,11.116,"LINESTRING (-7.9315129 37.0150198, -7.9316313 37.0149873)",,,,
331986611,True,Rua Primeiro de Maio,tertiary,False,20.93,"LINESTRING (-7.9350817 37.0163545, -7.9351221 37.0164294, -7.935125 37.0164795, -7.9351137 37.0165353)",,,,
944828429,True,,tertiary,False,9.036,"LINESTRING (-7.9350817 37.0163545, -7.9351069 37.0163726, -7.9351372 37.016385, -7.9351703 37.0163906)",,,roundabout,
"[944828427, 944828428]",True,,tertiary,False,27.039,"LINESTRING (-7.9351898 37.0161833, -7.9351514 37.0161857, -7.9351155 37.016197, -7.9350854 37.0162162, -7.9350636 37.0162416, -7.9350521 37.016271, -7.9350516 37.0163007, -7.9350618 37.0163294, -7.9350817 37.0163545)",,,roundabout,
"[79960842, 182767855]",True,Rua da Misericórdia,residential,False,75.467,"LINESTRING (-7.9339882 37.0148585, -7.9342258 37.0148722, -7.9343752 37.014874, -7.9348375 37.0148687)",,,,
1019783342,True,,residential,False,12.792000000000002,"LINESTRING (-7.9339882 37.0148585, -7.9340785 37.0148529, -7.934095 37.0148398, -7.9340934 37.0148157)",,,,
90458108,False,Largo de São Francisco,residential,True,85.25,"LINESTRING (-7.9313626 37.0126589, -7.9323126 37.0125478)",,,,
182890762,False,Largo de São Francisco,residential,True,81.332,"LINESTRING (-7.9313175 37.0121698, -7.9322226 37.0120573)",,,,
182890765,True,Largo de São Francisco,residential,False,13.783000000000001,"LINESTRING (-7.9313175 37.0121698, -7.9312695 37.0121829, -7.9312427 37.0122022, -7.9312127 37.0122513)",,,,
182890772,False,Largo de São Francisco,residential,True,14.517,"LINESTRING (-7.9313175 37.0121698, -7.931269 37.0121619, -7.9312456 37.0121339, -7.9312312 37.0120777)",,,,
182771778,True,Rua do Sol,residential,False,52.229,"LINESTRING (-7.9331094 37.0185607, -7.9333447 37.0189912)",,,,
1019783327,False,Rua do Sol,residential,True,33.846,"LINESTRING (-7.9331094 37.0185607, -7.9329289 37.0182926)",,,,
93542682,False,,residential,False,51.717,"LINESTRING (-7.9331094 37.0185607, -7.9327339 37.0186884, -7.9326912 37.0186925, -7.9326665 37.0186796, -7.9326393 37.0186473, -7.9326086 37.0186127)",,,,
93542673,False,,residential,True,11.13,"LINESTRING (-7.9343714 37.0189681, -7.9344569 37.0190413)",,,,
122989840,True,Largo de São Pedro,residential,False,38.756,"LINESTRING (-7.9343714 37.0189681, -7.9339354 37.0189509)",,,,
30994465,True,Rua Cruz das Mestras,residential,False,104.07600000000001,"LINESTRING (-7.9322445 37.0193143, -7.9322744 37.0193057, -7.9333447 37.0189912)",,,,
93542674,True,,residential,False,61.6,"LINESTRING (-7.9322445 37.0193143, -7.9320899 37.0188738, -7.9320845 37.0188545, -7.9320829 37.0188443, -7.9320681 37.0187789)",,,,
93542652,True,Rua Horta Machado,tertiary,False,89.573,"LINESTRING (-7.9319154 37.0187855, -7.9317689 37.0189421, -7.9313115 37.0194308)",,,,
30994512,True,Rua Baptista Lopes,residential,False,3.084,"LINESTRING (-7.9331395 37.0179174, -7.9331113 37.0179012)",1,,,
92058160,True,Largo do Carmo,residential,False,53.752,"LINESTRING (-7.9350164 37.020153, -7.9350124 37.0201164, -7.93496 37.0196717)",,,,
95278068,True,Rua do Capitão Mor,residential,False,46.782,"LINESTRING (-7.9348797 37.017407, -7.9344053 37.0175901)",,,,
182763168,False,Rua do Capitão Mor,residential,True,6.08,"LINESTRING (-7.9348797 37.017407, -7.9349077 37.0173571)",,,,
30994514,False,Rua do Compromisso,residential,False,111.548,"LINESTRING (-7.9348797 37.017407, -7.9349456 37.0175438, -7.9349993 37.0177109, -7.9350261 37.0178843, -7.9352131 37.0183713)",,,,
92058160,True,Largo do Carmo,residential,False,70.387,"LINESTRING (-7.93496 37.0196717, -7.9348906 37.0195191, -7.9344266 37.0192288)",,,,
182845650,True,Largo do Carmo,residential,False,21.022,"LINESTRING (-7.9344266 37.0192288, -7.9344359 37.0191746, -7.9344569 37.0190413)",,,,
519447011,True,Rua Baptista Lopes,residential,False,35.193,"LINESTRING (-7.9325138 37.0174546, -7.9327629 37.0177008)",1,,,
182768080,True,Travessa Lethes,residential,False,68.0,"LINESTRING (-7.9325138 37.0174546, -7.9329903 37.0173021, -7.9330192 37.0173017, -7.9331653 37.0174369)",,,,
182768080,True,Travessa Lethes,residential,False,42.756,"LINESTRING (-7.9320816 37.0176242, -7.9325138 37.0174546)",,,,
93542665,True,Rua da Mota,residential,False,90.737,"LINESTRING (-7.9320816 37.0176242, -7.9320348 37.0172059, -7.9320113 37.0171476, -7.9318339 37.0170059, -7.9317766 37.0169983, -7.9316678 37.0170128)",,,,
93542658,True,Rua Gonçalo Barreto,residential,False,49.655,"LINESTRING (-7.9323334 37.0201115, -7.9322101 37.0203245, -7.9321975 37.0203463, -7.9321264 37.0204965, -7.9321141 37.020522)",,,,
93542679,True,Rua Brito Cabreira,residential,False,59.241,"LINESTRING (-7.9323334 37.0201115, -7.9328556 37.0203043, -7.9329413 37.0203309)",,,,
93542624,True,Rua Doutor João Lúcio,residential,False,64.1,"LINESTRING (-7.9307963 37.0172441, -7.9308656 37.0178179)",,,,
30994465,True,Rua Cruz das Mestras,residential,False,23.062,"LINESTRING (-7.9333447 37.0189912, -7.9335956 37.0189375)",,,,
93542660,True,Rua Souto Mayor,residential,False,15.407,"LINESTRING (-7.9321704 37.0194396, -7.9322191 37.0193572, -7.9322445 37.0193143)",,,,
93542626,True,Largo de São Pedro,residential,False,41.735,"LINESTRING (-7.934495 37.0184244, -7.9341854 37.0186085, -7.9341475 37.0186684)",,,,
93542632,True,Praça Silva Porto,residential,False,45.514,"LINESTRING (-7.9325855 37.0196798, -7.9321704 37.0194396)",,,,
93542658,True,Rua Gonçalo Barreto,residential,False,52.964,"LINESTRING (-7.9325855 37.0196798, -7.9323334 37.0201115)",,,,
93542652,True,Rua Horta Machado,tertiary,False,29.852,"LINESTRING (-7.9320791 37.018551, -7.9319154 37.0187855)",,,,
122980992,False,Rua Horta Machado,tertiary,False,37.657000000000004,"LINESTRING (-7.9320791 37.018551, -7.9320692 37.0184731, -7.9320309 37.018417, -7.9319195 37.0183071, -7.9319105 37.0182525)",,,,
93542632,True,Praça Silva Porto,residential,False,41.731,"LINESTRING (-7.9330437 37.0197635, -7.9325855 37.0196798)",,,,
122996137,False,Rua Doutor Coelho de Melo,residential,True,63.744,"LINESTRING (-7.9330437 37.0197635, -7.9329413 37.0203309)",,,,
