osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,bridge,maxspeed,junction,tunnel
539131294,Rua Domingos José de Morais,tertiary,True,False,22.354,,,"LINESTRING (-9.1044366 38.7964731, -9.1045372 38.7964843, -9.1046821 38.79653)",,,,
193891522,Rua Estado da Índia,primary,True,False,25.611,1,EN 10,"LINESTRING (-9.1047886 38.7970227, -9.1047846 38.7967924)",,,,
152641888,,tertiary_link,True,False,27.598,,,"LINESTRING (-9.1047886 38.7970227, -9.1048727 38.7969176, -9.1050112 38.7968559)",,,,
154943055,Rua António Ferreira,residential,False,True,80.74600000000001,,,"LINESTRING (-9.1065564 38.7922216, -9.1065047 38.7920968, -9.1065727 38.7920826, -9.1068409 38.7920263, -9.1072422 38.7919431)",,,,
1146080958,Avenida Maria Luísa Braancamp,living_street,True,False,34.092999999999996,,,"LINESTRING (-9.1074398 38.792184, -9.1075723 38.792071, -9.1076008 38.7920411, -9.107727 38.7919791)",,,,
386878580,Travessa do Olival,residential,True,False,21.67,,,"LINESTRING (-9.1071637 38.7917036, -9.1069173 38.7916705)",,,,
154944769,Rua Manuel da Silva,residential,True,False,27.487000000000002,,,"LINESTRING (-9.1071637 38.7917036, -9.1072185 38.7918709, -9.1072422 38.7919431)",,,,
154943055,Rua António Ferreira,residential,False,False,80.746,,,"LINESTRING (-9.1072422 38.7919431, -9.1068409 38.7920263, -9.1065727 38.7920826, -9.1065047 38.7920968, -9.1065564 38.7922216)",,,,
154944769,Rua Manuel da Silva,residential,True,False,32.632999999999996,,,"LINESTRING (-9.1072422 38.7919431, -9.1072597 38.7919997, -9.1072972 38.7920647, -9.1073729 38.7921406, -9.1074398 38.792184)",,,,
154961014,Rua Manuel da Silva,residential,False,True,43.407,,,"LINESTRING (-9.1069212 38.790914, -9.1069579 38.7910226, -9.1070487 38.7912915)",,,,
229056412,Rua Estado da Índia,primary,True,False,165.01600000000002,2,EN 10,"LINESTRING (-9.1069212 38.790914, -9.107481 38.7908107, -9.1083096 38.7906533, -9.1087678 38.7905533)",,,,
154961016,Rua das Mirandas,residential,False,True,47.948,,,"LINESTRING (-9.1094989 38.7912695, -9.1089457 38.791274)",,,,
154961016,Rua das Mirandas,residential,False,False,47.948,,,"LINESTRING (-9.1089457 38.791274, -9.1094989 38.7912695)",,,,
154961015,Rua das Mirandas,residential,True,False,102.84400000000001,,,"LINESTRING (-9.1089457 38.791274, -9.108387 38.7913872, -9.1081825 38.7914339, -9.1080233 38.7914703, -9.1078392 38.7915123, -9.1078022 38.7915207)",,,,
386878578,Travessa das Mirandas,residential,False,False,34.613,,,"LINESTRING (-9.1089457 38.791274, -9.1089382 38.791461, -9.1089346 38.7915097, -9.1089246 38.7915444, -9.1089014 38.7915799)",,,,
154961011,Avenida James Gilman,residential,True,False,79.986,,,"LINESTRING (-9.1046231 38.7928486, -9.1054979 38.7926194)",,,,
154961012,Avenida James Gilman,residential,False,False,65.279,,,"LINESTRING (-9.1046231 38.7928486, -9.1045175 38.7928825, -9.1040439 38.7930264, -9.103923 38.7930651)",,,,
194072179,Rua dos Bombeiros Voluntários de Sacavém,residential,False,False,151.331,,,"LINESTRING (-9.1046231 38.7928486, -9.1044473 38.7925142, -9.1047385 38.7920551, -9.1048618 38.7919554, -9.1049764 38.7919062, -9.1051075 38.7917865, -9.1051569 38.7917056)",,,,
154961012,Avenida James Gilman,residential,False,True,65.279,,,"LINESTRING (-9.103923 38.7930651, -9.1040439 38.7930264, -9.1045175 38.7928825, -9.1046231 38.7928486)",,,,
155167279,Rua Estado da Índia,primary,True,False,119.36899999999999,2,EN 10,"LINESTRING (-9.103923 38.7930651, -9.1039228 38.7929215, -9.103959 38.7927021, -9.1040207 38.7924293, -9.1041042 38.7922332, -9.1042047 38.7920222)",,,,
193891519,,tertiary,True,False,20.921,,,"LINESTRING (-9.1042657 38.7939694, -9.1043938 38.7939442, -9.1044998 38.7939235)",,,,
940248897,,primary,True,False,11.543,2,EN 10,"LINESTRING (-9.1042657 38.7939694, -9.1042526 38.7939185, -9.1042161 38.7938751)",,,roundabout,
155167274,,primary,True,False,24.355,2,EN 10,"LINESTRING (-9.1040074 38.7917968, -9.1039751 38.7918631, -9.1039881 38.7919365, -9.1040461 38.7919951)",,,roundabout,
155167281,Rua Estado da Índia,primary,True,False,104.68800000000002,2,EN 10,"LINESTRING (-9.1040461 38.7919951, -9.1040461 38.7921127, -9.104016 38.7922203, -9.1039394 38.7924187, -9.1038691 38.7927012, -9.1038303 38.7929179)",,,,
940248900,,primary,True,False,14.389,2,EN 10,"LINESTRING (-9.1040461 38.7919951, -9.1041017 38.792018, -9.1042047 38.7920222)",,,roundabout,
