osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge
318178179,False,,,Strada Orizontului,residential,50,False,120.85000000000001,"LINESTRING (26.3619455 45.322737, 26.3627556 45.322835, 26.363182 45.3228765, 26.3634693 45.3229179)",
"[1146891811, 318178187]",False,1,,Strada Pieții,residential,50,False,165.37699999999998,"LINESTRING (26.3590049 45.3167766, 26.359035 45.3167463, 26.3591011 45.3167174, 26.3591914 45.3166704, 26.3592554 45.316641, 26.3593418 45.3166067, 26.3594487 45.3165854, 26.3595486 45.3165827, 26.3596451 45.3165968, 26.3597403 45.3166289, 26.3598637 45.3166826, 26.3599657 45.3167336, 26.3601402 45.3168174, 26.3601679 45.3168239, 26.3601945 45.3168224, 26.360216 45.3168131, 26.3602324 45.3167756, 26.3602519 45.3167042, 26.3602837 45.3166459, 26.3603072 45.3166098, 26.3603359 45.3165724, 26.3603472 45.3165399, 26.3603657 45.3164498, 26.3603869 45.3163264)",
318178187,False,1,,Strada Pieții,residential,50,True,308.8629999999999,"LINESTRING (26.3590049 45.3167766, 26.3589655 45.3168817, 26.358915 45.3169918, 26.3587995 45.3172102, 26.3587406 45.3172883, 26.3586632 45.3173794, 26.3585844 45.317459, 26.3584862 45.3175409, 26.3583646 45.3176317, 26.3581141 45.3178163, 26.3580298 45.3178748, 26.3579557 45.3179055, 26.357875 45.3179131, 26.3577849 45.3179243, 26.3577231 45.3179376, 26.3576712 45.3179563, 26.3576332 45.3179929, 26.3576152 45.3180409, 26.3576164 45.3181149, 26.3576237 45.3182055, 26.3576326 45.3183427, 26.3576701 45.3186821, 26.3577273 45.3189176, 26.3577227 45.3189709, 26.3577106 45.3190308, 26.3576878 45.3190765, 26.3576486 45.3191197)",
544721297,False,,,,living_street,30,False,65.737,"LINESTRING (26.3564752 45.3206942, 26.3561212 45.3206904, 26.3558744 45.3206753, 26.3556366 45.3206584)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,False,43.32,"LINESTRING (26.3599574 45.3194433, 26.3598424 45.3198244)",
1196031172,False,2,DN10,Strada Alexandru Ioan Cuza,primary,50,True,65.753,"LINESTRING (26.3599574 45.3194433, 26.3601323 45.3188649)",
220796217,False,,,Strada Nicolae Grigorescu,residential,RO:urban,False,176.706,"LINESTRING (26.3599574 45.3194433, 26.3595405 45.3193835, 26.3590497 45.3193344, 26.3589075 45.3193175, 26.3588566 45.3192929, 26.3588239 45.3192609, 26.358824 45.3192166, 26.3589228 45.3187566, 26.3589709 45.3185113)",
"[1146882373, 220796215]",False,1,,"['Strada Muscel', 'Strada Constantin Brâncuși']",residential,"['50', 'RO:urban']",False,83.837,"LINESTRING (26.3579164 45.3183848, 26.3579781 45.3183801, 26.3587412 45.3184814, 26.3589709 45.3185113)",
1146882373,False,1,,Strada Muscel,residential,50,True,169.99699999999999,"LINESTRING (26.3579164 45.3183848, 26.3578776 45.3184093, 26.3578601 45.3184791, 26.3578749 45.3185998, 26.3578994 45.318736, 26.3579277 45.3188725, 26.3579548 45.3190502, 26.3579501 45.3191204, 26.3579226 45.3191597, 26.3578592 45.3191967, 26.3577346 45.3192466, 26.3574289 45.3193637, 26.3573328 45.3194047, 26.3572046 45.3194572, 26.357081 45.3194913, 26.3570075 45.3194954)",
"[1146882377, 1146891810]",False,1,,,living_street,,True,159.46800000000002,"LINESTRING (26.3579164 45.3183848, 26.3579181 45.3183235, 26.3579328 45.3182848, 26.3579704 45.3182471, 26.3582279 45.3180264, 26.358504 45.3177774, 26.3586039 45.3176879, 26.3587187 45.3175863, 26.358814 45.3174905, 26.3589011 45.3173903, 26.3589483 45.3173096, 26.3590036 45.3171957)",
854809205,False,,,Strada Tudor Arghezi,living_street,30,False,42.782,"LINESTRING (26.3616043 45.3169267, 26.3615855 45.3170041, 26.3615694 45.3170305, 26.3615265 45.3170399, 26.3614487 45.3170361, 26.36118 45.3170077)",
953905858,False,1,,Strada Tudor Arghezi,residential,30,False,277.22,"LINESTRING (26.3639522 45.3165097, 26.3636707 45.316513, 26.3635312 45.3165279, 26.363373 45.3165642, 26.363083 45.3166396, 26.3629458 45.3166643, 26.3624732 45.316707, 26.3624423 45.3167209, 26.3624221 45.3167613, 26.3624318 45.3169576, 26.3624285 45.3170737, 26.3624151 45.3171261, 26.3623805 45.3171693, 26.3623268 45.3172027, 26.3622386 45.3172441, 26.3620839 45.3172935, 26.3620071 45.3173155, 26.361921 45.3173231, 26.361815 45.3173229, 26.3616767 45.3173053, 26.3612079 45.3172252, 26.3611157 45.3172107)",
