osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,tunnel,junction,width
39243684,,,Hößlgasse,residential,30,False,False,61.492000000000004,"LINESTRING (13.5009129 46.7959164, 13.5008734 46.7957482, 13.5007171 46.795522, 13.5006369 46.7954015)",,,,
29362368,,,Goldeckstraße,residential,30,False,True,132.02,"LINESTRING (13.4925276 46.796453, 13.49248 46.7964167, 13.4918619 46.7959456, 13.4913569 46.7956356, 13.4913124 46.7956083)",,,,
38913128,,,Bismarckstraße,residential,30,False,False,135.742,"LINESTRING (13.4925276 46.796453, 13.4930756 46.7961457, 13.4938425 46.7957194, 13.49391 46.7956819)",,,,
38913128,,,Bismarckstraße,residential,30,False,True,138.89999999999998,"LINESTRING (13.4925276 46.796453, 13.4911852 46.7971989, 13.4911137 46.7972425)",,,,
29362389,,,Feldstraße,residential,30,False,False,102.568,"LINESTRING (13.4922624 46.8012536, 13.4925238 46.8014905, 13.4929918 46.8019426, 13.4930521 46.8020009)",,,,
29362389,,,Feldstraße,residential,30,False,True,77.559,"LINESTRING (13.4922624 46.8012536, 13.4919125 46.8010255, 13.4916098 46.8008281, 13.4915275 46.8007705)",,,,
"[475538596, 1135059575]",1,,Ebnergasse,residential,30,True,False,67.71000000000001,"LINESTRING (13.4977272 46.7980097, 13.4979012 46.79798, 13.498057 46.7980164, 13.4980908 46.7980276, 13.4983094 46.7981587, 13.4984174 46.7982238, 13.4984864 46.7982411)",,,,
"[1135059576, 1135071745]",1,,Ebnergasse,residential,30,True,False,53.307,"LINESTRING (13.4977272 46.7980097, 13.4977883 46.7980132, 13.4978264 46.798045, 13.4978328 46.7980589, 13.4979295 46.7982689, 13.4979383 46.7983392, 13.4979153 46.7984288)",,,,
161911645,,,Billrothstraße,residential,30,False,False,92.112,"LINESTRING (13.49122 46.8018584, 13.4918996 46.8023643, 13.4919865 46.8024254, 13.4920434 46.8024654)",,,,
316640103,2,B100,Villacher Straße,primary,50,False,True,211.92899999999997,"LINESTRING (13.5028845 46.7954571, 13.5027882 46.7955165, 13.5025757 46.795713, 13.5024707 46.7958251, 13.5022417 46.7960091, 13.5021017 46.7960934, 13.5019707 46.7961724, 13.501697 46.7962989, 13.5014622 46.7964305, 13.5013295 46.7965444, 13.5012204 46.7966524, 13.501073 46.7967523, 13.5009573 46.7968097)",,,,
