osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
91615707,,улица Тибора Самуэли,residential,,False,True,127.49099999999999,"LINESTRING (55.3361797 57.9396793, 55.3372936 57.939271, 55.3373402 57.9392539, 55.3379453 57.939019)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,13.802,"LINESTRING (55.3308046 57.9393286, 55.3310128 57.9393851)"
44645354,2,улица Карла Либкнехта,secondary,40,False,False,65.268,"LINESTRING (55.3308046 57.9393286, 55.3301512 57.9391205, 55.329863 57.939021)"
135999537,,Комсомольская улица,residential,,False,False,285.498,"LINESTRING (55.3308046 57.9393286, 55.3307811 57.939343, 55.3297508 57.9399715, 55.3292946 57.9402498, 55.3290745 57.9404136, 55.3278216 57.941346)"
91614950,,Майская улица,residential,,False,True,83.888,"LINESTRING (55.3248297 57.9401979, 55.3256362 57.9395767)"
91290422,,улица Некрасова,tertiary,,False,False,106.955,"LINESTRING (55.3248297 57.9401979, 55.3261234 57.9407283, 55.3262638 57.9407859)"
91290422,,улица Некрасова,tertiary,,False,False,111.29199999999999,"LINESTRING (55.3262638 57.9407859, 55.3264047 57.9408151, 55.3269281 57.9410112, 55.3277878 57.9413333, 55.3278216 57.941346)"
91290422,,улица Некрасова,tertiary,,False,True,106.955,"LINESTRING (55.3262638 57.9407859, 55.3261234 57.9407283, 55.3248297 57.9401979)"
"[203843402, 885079277, 885079278]",2,улица Карла Маркса,tertiary,60,False,False,173.87299999999996,"LINESTRING (55.3262638 57.9407859, 55.3267552 57.9404137, 55.3268842 57.9403202, 55.3271585 57.9401214, 55.3276049 57.939798, 55.3279024 57.9395824, 55.3280199 57.9395344)"
203843402,2,улица Карла Маркса,tertiary,60,False,True,111.03399999999999,"LINESTRING (55.3262638 57.9407859, 55.3258886 57.9410702, 55.3251414 57.941587)"
450522137,2,улица Карла Маркса,tertiary,60,True,False,26.166,"LINESTRING (55.3280199 57.9395344, 55.3280389 57.9394264, 55.3281088 57.9393051)"
"[203843402, 885079277, 885079278]",2,улица Карла Маркса,tertiary,60,False,True,173.873,"LINESTRING (55.3280199 57.9395344, 55.3279024 57.9395824, 55.3276049 57.939798, 55.3271585 57.9401214, 55.3268842 57.9403202, 55.3267552 57.9404137, 55.3262638 57.9407859)"
44645354,2,улица Карла Либкнехта,secondary,40,False,True,5.094,"LINESTRING (55.3383452 57.9413262, 55.3384219 57.9413472)"
44645354,2,улица Карла Либкнехта,secondary,40,False,False,370.37800000000004,"LINESTRING (55.3383452 57.9413262, 55.3374768 57.941087, 55.3368702 57.9409228, 55.3364347 57.940811, 55.3360434 57.9407106, 55.3355119 57.9405742, 55.3350568 57.9404574, 55.3345631 57.9403277, 55.3341032 57.9402126, 55.3328231 57.939884, 55.3327146 57.9398562)"
"[203839930, 203839935]",,,residential,,False,"[False, True]",157.49699999999999,"LINESTRING (55.3383452 57.9413262, 55.3380508 57.9415281, 55.3375587 57.9418419, 55.3373044 57.9420245, 55.3372705 57.9420811, 55.3379971 57.9423433)"
"[203839930, 203839935]",,,residential,,False,"[False, True]",157.497,"LINESTRING (55.3379971 57.9423433, 55.3372705 57.9420811, 55.3373044 57.9420245, 55.3375587 57.9418419, 55.3380508 57.9415281, 55.3383452 57.9413262)"
203839936,,,residential,,False,False,145.755,"LINESTRING (55.3393251 57.9430988, 55.3389836 57.9428571, 55.3388358 57.9426848, 55.338831 57.9425961, 55.3389981 57.9424585, 55.3397595 57.9420609)"
91451476,,улица Королёва,residential,,False,True,68.726,"LINESTRING (55.338811 57.943502, 55.3380484 57.9439691)"
91454219,,Красноармейская улица,residential,,False,False,112.979,"LINESTRING (55.3251414 57.941587, 55.3266353 57.9422223)"
203843402,2,улица Карла Маркса,tertiary,60,False,False,111.03399999999999,"LINESTRING (55.3251414 57.941587, 55.3258886 57.9410702, 55.3262638 57.9407859)"
203843402,2,улица Карла Маркса,tertiary,60,False,True,124.136,"LINESTRING (55.3251414 57.941587, 55.3249741 57.9417027, 55.3244289 57.9421429, 55.3240809 57.9424018, 55.3239433 57.9425041)"
203911568,,улица Демьяна Бедного,residential,,False,False,155.09,"LINESTRING (55.3340872 57.9419872, 55.3332919 57.942486, 55.332406 57.9430591)"
91454219,,Красноармейская улица,residential,,False,False,102.274,"LINESTRING (55.3266353 57.9422223, 55.3280453 57.942757)"
91454219,,Красноармейская улица,residential,,False,True,112.979,"LINESTRING (55.3266353 57.9422223, 55.3251414 57.941587)"
135999537,,Комсомольская улица,residential,,False,False,119.869,"LINESTRING (55.3266353 57.9422223, 55.3257279 57.942931, 55.3254937 57.9431139)"
135999537,,Комсомольская улица,residential,,False,True,119.987,"LINESTRING (55.3266353 57.9422223, 55.326936 57.9419976, 55.3278216 57.941346)"
44645110,,улица Свердлова,residential,,False,False,120.0,"LINESTRING (55.3280453 57.942757, 55.3292401 57.9418838)"
44645110,,улица Свердлова,residential,,False,True,117.734,"LINESTRING (55.3280453 57.942757, 55.3269209 57.9436316)"
91454219,,Красноармейская улица,residential,,False,False,109.966,"LINESTRING (55.3280453 57.942757, 55.3295791 57.9433185)"
91454219,,Красноармейская улица,residential,,False,True,102.274,"LINESTRING (55.3280453 57.942757, 55.3266353 57.9422223)"
91290422,,улица Некрасова,tertiary,,False,True,119.858,"LINESTRING (55.332406 57.9430591, 55.330738 57.9424442)"
91290422,,улица Некрасова,tertiary,,False,False,111.372,"LINESTRING (55.332406 57.9430591, 55.3327215 57.9431716, 55.3339447 57.9436388)"
203911568,,улица Демьяна Бедного,residential,,False,False,121.668,"LINESTRING (55.332406 57.9430591, 55.331458 57.9436877, 55.331173 57.9439153, 55.3311566 57.9439284)"
203911568,,улица Демьяна Бедного,residential,,False,True,155.09,"LINESTRING (55.332406 57.9430591, 55.3332919 57.942486, 55.3340872 57.9419872)"
91454219,,Красноармейская улица,residential,,False,False,108.278,"LINESTRING (55.3311566 57.9439284, 55.3325929 57.9445343)"
91454219,,Красноармейская улица,residential,,False,True,115.182,"LINESTRING (55.3311566 57.9439284, 55.3295791 57.9433185)"
203911568,,улица Демьяна Бедного,residential,,False,True,121.668,"LINESTRING (55.3311566 57.9439284, 55.331173 57.9439153, 55.331458 57.9436877, 55.332406 57.9430591)"
91451476,,улица Королёва,residential,,False,False,30.268,"LINESTRING (55.3349843 57.9458484, 55.3353514 57.9456583)"
203913258,,,residential,,False,False,115.505,"LINESTRING (55.3349843 57.9458484, 55.3361445 57.946685)"
91451476,,улица Королёва,residential,,False,True,303.66100000000006,"LINESTRING (55.3349843 57.9458484, 55.3343171 57.9461872, 55.3339615 57.9463297, 55.3330717 57.9464403, 55.3307667 57.9473414)"
91451279,,улица Серова,residential,,False,False,66.491,"LINESTRING (55.3361445 57.946685, 55.3370755 57.9463482)"
203913258,,,residential,,False,True,115.505,"LINESTRING (55.3361445 57.946685, 55.3349843 57.9458484)"
450522138,2,улица Карла Маркса,secondary,60,True,False,45.357,"LINESTRING (55.329152 57.939003, 55.3287194 57.9392058, 55.328576 57.939273)"
450522131,2,,secondary,60,True,False,19.238,"LINESTRING (55.32815 57.939029, 55.328305 57.9390602, 55.328455 57.93909)"
450523667,1,,secondary,60,True,False,20.926,"LINESTRING (55.3282522 57.9392092, 55.32815 57.939029)"
450523666,1,улица Карла Маркса,secondary,60,True,False,17.86,"LINESTRING (55.3282522 57.9392092, 55.3283796 57.9391348, 55.328455 57.93909)"
450522135,1,,secondary,60,True,False,23.006,"LINESTRING (55.328576 57.939273, 55.328394 57.939282, 55.328276 57.939243, 55.3282522 57.9392092)"
450522143,1,улица Карла Маркса,tertiary,60,True,False,43.966,"LINESTRING (55.328576 57.939273, 55.328138 57.939462, 55.3280199 57.9395344)"
450522130,1,,tertiary,60,True,False,30.797,"LINESTRING (55.3281088 57.9393051, 55.32815 57.939029)"
450522141,1,улица Карла Маркса,tertiary,60,True,False,13.614,"LINESTRING (55.3281088 57.9393051, 55.3282522 57.9392092)"
