osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
160452071,,Старообрядческий переулок,residential,,False,True,249.467,"LINESTRING (36.2626293 54.5091412, 36.2627295 54.5091298, 36.2628166 54.5091199, 36.2630626 54.5090913, 36.2634752 54.5090387, 36.263972 54.5089707, 36.2645024 54.5088932, 36.2653706 54.5087702, 36.2655879 54.5087394, 36.2658891 54.5086968, 36.2663912 54.5086293)"
30906218,,Воскресенский переулок,residential,,False,False,238.00600000000003,"LINESTRING (36.2588674 54.5079137, 36.2589463 54.5078961, 36.2595718 54.5077841, 36.2599559 54.5077154, 36.260002 54.5077071, 36.2608851 54.507549, 36.2612875 54.507477, 36.2622274 54.5073087, 36.2623922 54.5072881)"
132310831,,Воскресенская улица,residential,,True,False,99.02099999999999,"LINESTRING (36.2588674 54.5079137, 36.2587477 54.5077832, 36.2585987 54.5076204, 36.2585603 54.5075789, 36.2583572 54.507361, 36.2581774 54.5071643, 36.2581445 54.5071283)"
126236127,2,улица Дарвина,residential,60,False,True,103.57300000000001,"LINESTRING (36.2595716 54.5087107, 36.2594426 54.508743, 36.2591991 54.5088039, 36.2586209 54.5090913, 36.2583827 54.5092099, 36.2582936 54.5092598)"
132310831,,Воскресенская улица,residential,,True,False,99.60500000000002,"LINESTRING (36.2595716 54.5087107, 36.2593212 54.5084226, 36.2592897 54.5083853, 36.2590938 54.5081669, 36.2588674 54.5079137)"
146322669,4,улица Ленина,secondary,,False,True,12.884,"LINESTRING (36.2638399 54.5135972, 36.2637663 54.5134895)"
146322662,3,улица Кирова,primary,60,True,False,169.645,"LINESTRING (36.2638399 54.5135972, 36.2635996 54.5136165, 36.262356 54.5137613, 36.2620499 54.5137979, 36.2614558 54.5138669, 36.2612607 54.513889)"
146322669,4,улица Ленина,secondary,,False,False,12.884,"LINESTRING (36.2637663 54.5134895, 36.2638399 54.5135972)"
"[396964045, 396964052, 248626709, 132985438]",4,улица Ленина,secondary,,False,True,151.702,"LINESTRING (36.2637663 54.5134895, 36.2636879 54.5133883, 36.2634318 54.513017, 36.263315 54.51283, 36.2631899 54.5126446, 36.2630411 54.512424, 36.2628815 54.5122262)"
183054659,4,Московская улица,secondary,,False,False,155.77900000000002,"LINESTRING (36.2599302 54.5108002, 36.25996 54.5108784, 36.2600166 54.5110165, 36.2600928 54.511225, 36.2601622 54.5114151, 36.2601819 54.5114688, 36.2602482 54.511654, 36.2604084 54.5121017, 36.2604379 54.5121697)"
183054659,4,Московская улица,secondary,,False,True,32.216,"LINESTRING (36.2599302 54.5108002, 36.2598992 54.5107225, 36.2598296 54.5105397, 36.2598251 54.5105171)"
30904797,,улица Чебышева,residential,,False,False,207.24899999999997,"LINESTRING (36.2546777 54.5115993, 36.2546472 54.5115291, 36.2545528 54.5111982, 36.2545125 54.5110477, 36.254459 54.5108503, 36.2543718 54.5105196, 36.2543319 54.5103632, 36.2542745 54.5101213, 36.2541882 54.5097577)"
138221910,1,улица Достоевского,tertiary,,True,False,131.272,"LINESTRING (36.2546777 54.5115993, 36.2551399 54.5115169, 36.255539 54.5114517, 36.2558554 54.5114027, 36.2564463 54.511303, 36.2566375 54.5112895)"
163921784,,Театральная улица,residential,,False,True,15.703,"LINESTRING (36.2541882 54.5097577, 36.2540269 54.509652)"
30904797,,улица Чебышева,residential,,False,True,207.24900000000002,"LINESTRING (36.2541882 54.5097577, 36.2542745 54.5101213, 36.2543319 54.5103632, 36.2543718 54.5105196, 36.254459 54.5108503, 36.2545125 54.5110477, 36.2545528 54.5111982, 36.2546472 54.5115291, 36.2546777 54.5115993)"
