osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
112602070,,,,residential,,False,True,227.77100000000002,"LINESTRING (30.540484 59.5675474, 30.5407474 59.5675344, 30.5413124 59.567808, 30.5421074 59.5682978, 30.5428681 59.5686459, 30.5435473 59.5687681)",
"[1150625281, 323345731]",1,,"['улица Труда', 'Труда']",residential,,False,"[False, True]",546.288,"LINESTRING (30.5571227 59.5729991, 30.5570679 59.5731375, 30.5562992 59.5743755, 30.5562884 59.5744816, 30.5578071 59.574703, 30.5582762 59.5744059, 30.5582876 59.5742825, 30.558521 59.5740629, 30.558474 59.5739766, 30.5582977 59.5738486, 30.5587754 59.5732169, 30.5577463 59.5729735, 30.5571227 59.5729991)",
"[1150625281, 323345731]",1,,"['улица Труда', 'Труда']",residential,,False,"[False, True]",546.288,"LINESTRING (30.5571227 59.5729991, 30.5577463 59.5729735, 30.5587754 59.5732169, 30.5582977 59.5738486, 30.558474 59.5739766, 30.558521 59.5740629, 30.5582876 59.5742825, 30.5582762 59.5744059, 30.5578071 59.574703, 30.5562884 59.5744816, 30.5562992 59.5743755, 30.5570679 59.5731375, 30.5571227 59.5729991)",
323345745,,,Советская улица,unclassified,,False,True,441.379,"LINESTRING (30.5571227 59.5729991, 30.5569723 59.5729902, 30.5568045 59.5729576, 30.5563992 59.5728057, 30.5547065 59.5721708, 30.5540548 59.5719249, 30.5538539 59.5718457, 30.5527452 59.5714117, 30.5516706 59.5709874, 30.5508729 59.5706302)",
323345634,2,41К-176,Павловско-Лисинское шоссе,secondary,RU:urban,False,False,116.089,"LINESTRING (30.5479234 59.5716825, 30.5479145 59.5717813, 30.547833 59.5724054, 30.5477899 59.5727243)",
"[323345634, 171922247, 323345631]",2,41К-176,"['Павловское шоссе', 'Павловско-Лисинское шоссе']",secondary,RU:urban,False,True,222.654,"LINESTRING (30.5479234 59.5716825, 30.5480085 59.5709568, 30.5480242 59.5707641, 30.5481264 59.5699337, 30.5481537 59.5698119, 30.5481913 59.5696854)",yes
"[323345726, 913584679, 913584678, 913584727]",,,Ручейная улица,residential,,False,False,229.466,"LINESTRING (30.5479234 59.5716825, 30.5479964 59.5716865, 30.5480917 59.5716938, 30.5481145 59.5716955, 30.5481373 59.571698, 30.5501303 59.5719681, 30.5517722 59.5723359)",
"[913584678, 913584727, 323345726, 913584679]",,,Ручейная улица,residential,,False,True,229.46599999999998,"LINESTRING (30.5517722 59.5723359, 30.5501303 59.5719681, 30.5481373 59.571698, 30.5481145 59.5716955, 30.5480917 59.5716938, 30.5479964 59.5716865, 30.5479234 59.5716825)",
172945022,1,,Круговая улица,residential,RU:urban,True,False,125.074,"LINESTRING (30.5502584 59.5699435, 30.5499913 59.5698364, 30.549787 59.5697688, 30.5495249 59.5696931, 30.5485489 59.5694915, 30.5482898 59.5694373)",
495054808,1,,Школьная улица,residential,RU:urban,False,False,88.325,"LINESTRING (30.5502584 59.5699435, 30.5505786 59.5695554, 30.5508631 59.5692106)",
1118236970,1,,Советская улица,residential,40,False,False,73.836,"LINESTRING (30.5498692 59.570203, 30.5508729 59.5706302)",
112602090,,,,residential,,False,False,72.618,"LINESTRING (30.5471313 59.5683129, 30.5470079 59.5684623, 30.546914 59.568537, 30.5467987 59.5685833, 30.54662 59.56862, 30.5461739 59.5686649)",
495054808,1,,Школьная улица,residential,RU:urban,False,False,99.319,"LINESTRING (30.5508631 59.5692106, 30.5515166 59.568381)",
495054808,1,,Школьная улица,residential,RU:urban,False,True,88.325,"LINESTRING (30.5508631 59.5692106, 30.5505786 59.5695554, 30.5502584 59.5699435)",
1049883521,,,,residential,,False,False,102.679,"LINESTRING (30.5508631 59.5692106, 30.5500993 59.5690408, 30.5491948 59.5688382)",
1049883521,,,,residential,,False,True,102.679,"LINESTRING (30.5491948 59.5688382, 30.5500993 59.5690408, 30.5508631 59.5692106)",
