osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,access,width
117872619,False,,Αντισυνταγματάρχη Σκαρλάτου Ηλία,residential,True,36.965,50,"LINESTRING (21.6276315 39.7090771, 21.6276378 39.7094095)",,,,
674453908,False,,Θεοτοκόπουλου,residential,False,31.256,50,"LINESTRING (21.6276315 39.7090771, 21.6272685 39.709045)",,,,
"[674453907, 118605798]",False,,,residential,False,50.804,50,"LINESTRING (21.6276315 39.7090771, 21.6279594 39.709204, 21.6281307 39.7090896)",,,,
26200365,False,,Ε. Βλαχάβα,tertiary,True,91.64,50,"LINESTRING (21.6282943 39.7088774, 21.62733 39.7085184)",,,,
118605798,False,,,residential,True,27.434,50,"LINESTRING (21.6282943 39.7088774, 21.6281307 39.7090896)",,,,
308438922,False,,Σοποτού,residential,False,40.515,50,"LINESTRING (21.6282943 39.7088774, 21.6287251 39.7090288)",,,,
280570474,False,,25ης Μαρτίου,tertiary,False,28.898000000000003,50,"LINESTRING (21.6282943 39.7088774, 21.6283399 39.7087927, 21.6284236 39.7086373)",,,,
118605798,False,,,residential,False,27.434,50,"LINESTRING (21.6281307 39.7090896, 21.6282943 39.7088774)",,,,
"[674453907, 118605798]",False,,,residential,True,50.804,50,"LINESTRING (21.6281307 39.7090896, 21.6279594 39.709204, 21.6276315 39.7090771)",,,,
"[308438923, 726778335]",False,,,residential,False,62.791000000000004,50,"LINESTRING (21.6281307 39.7090896, 21.6283009 39.7091183, 21.6286509 39.7091597, 21.6286739 39.7091592, 21.6287014 39.7091375, 21.6287251 39.7090288)",,,,
13867086,False,2,Τρικάλων,secondary,False,104.84299999999999,,"LINESTRING (21.6262257 39.7054155, 21.6266662 39.7052142, 21.6272727 39.7049255)",,,,
13867086,False,2,Τρικάλων,secondary,True,73.779,,"LINESTRING (21.6262257 39.7054155, 21.6261303 39.7054343, 21.6260597 39.7054517, 21.6256191 39.7056484, 21.6255856 39.7056662, 21.6255547 39.7056883, 21.6254901 39.7057445)",,,,
236142343,True,1,Ομογενών Αμερικής,residential,False,77.595,50,"LINESTRING (21.6262257 39.7054155, 21.6262499 39.7054537, 21.6262602 39.7054663, 21.6263582 39.7056436, 21.6263944 39.7057092, 21.6264692 39.7058847, 21.6265736 39.7060589)",,,yes,
481138562,True,,Κονδύλη Γ.,residential,False,119.82900000000001,50,"LINESTRING (21.6262257 39.7054155, 21.6261706 39.7053185, 21.626191 39.705256, 21.6265563 39.7045731, 21.6266509 39.7044207)",,,,
26200369,False,,Σιδηροδρόμων,tertiary,False,62.683,,"LINESTRING (21.6249984 39.7051629, 21.624603 39.7046883)",,,,
26200369,False,,Σιδηροδρόμων,tertiary,True,77.147,,"LINESTRING (21.6249984 39.7051629, 21.6254901 39.7057445)",,,,
236142351,True,,Χατζηπέτρου,residential,False,80.274,50,"LINESTRING (21.6249984 39.7051629, 21.624292 39.7056381)",,,,
236142354,False,,Ράμμου,residential,True,12.508,50,"LINESTRING (21.6266989 39.7072172, 21.62683 39.707267)",,,,
813235250,True,,Ράμμου,residential,False,66.177,50,"LINESTRING (21.6266989 39.7072172, 21.6260091 39.7069478)",,,,
135335347,False,,Λιαπίδη,residential,True,104.25999999999999,50,"LINESTRING (21.6266989 39.7072172, 21.6265583 39.7072688, 21.6256062 39.7076325)",,,,
813235249,False,,Λιαπίδη,residential,False,56.001,50,"LINESTRING (21.6266989 39.7072172, 21.6268227 39.707158, 21.627261 39.7069591)",,,,
13867086,False,2,Τρικάλων,secondary,False,31.123,,"LINESTRING (21.6299975 39.7035887, 21.6303049 39.703439)",,,,
13867086,False,2,Τρικάλων,secondary,True,142.758,,"LINESTRING (21.6299975 39.7035887, 21.6285891 39.7042773)",,,,
435332645,True,1,Ασκληπιού,residential,False,125.241,50,"LINESTRING (21.6299975 39.7035887, 21.6298367 39.7047082)",,,,
147511220,False,,Σταγών,residential,True,57.541,50,"LINESTRING (21.6332112 39.7037999, 21.6329272 39.7039653, 21.6327854 39.7040569, 21.6326824 39.7041195)",,,,
441273723,False,,Ψύρρα Ζαχαρία,residential,False,132.767,50,"LINESTRING (21.6332112 39.7037999, 21.6331735 39.7037755, 21.6328492 39.7035378, 21.6325773 39.7033392, 21.6322712 39.7031077, 21.6322057 39.7030618, 21.6320831 39.7029803)",,,,
"[674420411, 441268252]",False,,Ρουβάλη,residential,False,134.981,50,"LINESTRING (21.6320125 39.7039852, 21.631887 39.703998, 21.6318379 39.7040035, 21.6310584 39.7048997)",,,,
"[441268252, 441268255]",False,,Πουλιάνας,residential,"[False, True]",79.037,50,"LINESTRING (21.6320125 39.7039852, 21.6325056 39.703845, 21.6326824 39.7041195)",,,,
441268254,False,,Κούπη,residential,True,98.707,50,"LINESTRING (21.6320125 39.7039852, 21.6321545 39.7045589, 21.6322416 39.7048551)",,,,
441268255,False,,Πουλιάνας,residential,False,67.33,50,"LINESTRING (21.6326824 39.7041195, 21.6330033 39.7046724)",,,,
147511220,False,,Σταγών,residential,False,57.541,50,"LINESTRING (21.6326824 39.7041195, 21.6327854 39.7040569, 21.6329272 39.7039653, 21.6332112 39.7037999)",,,,
"[441268252, 441268255]",False,,Πουλιάνας,residential,"[False, True]",79.037,50,"LINESTRING (21.6326824 39.7041195, 21.6325056 39.703845, 21.6320125 39.7039852)",,,,
674372487,False,,Οικονόμου Θ.,residential,False,44.693,50,"LINESTRING (21.6310584 39.7048997, 21.6315708 39.7049781)",,,,
440526853,False,,Κόμματου Π.,residential,False,183.68099999999998,50,"LINESTRING (21.6310584 39.7048997, 21.6305971 39.706181, 21.6304874 39.7064921)",,,,
674372487,False,,Οικονόμου Θ.,residential,True,28.209,50,"LINESTRING (21.6310584 39.7048997, 21.6307722 39.7048521, 21.6307361 39.7048461)",,,,
"[674420411, 441268252]",False,,Ρουβάλη,residential,True,134.98100000000002,50,"LINESTRING (21.6310584 39.7048997, 21.6318379 39.7040035, 21.631887 39.703998, 21.6320125 39.7039852)",,,,
674372487,False,,Οικονόμου Θ.,residential,True,44.693,50,"LINESTRING (21.6315708 39.7049781, 21.6310584 39.7048997)",,,,
"[147511209, 435331452]",False,,"['Κλεισθένους', 'Ζιώγα']",residential,True,215.43600000000004,50,"LINESTRING (21.6315708 39.7049781, 21.6313798 39.7054228, 21.6309672 39.7064756, 21.6304874 39.7064921)",,,,
441268250,False,,Κροσάρη Γ.,residential,False,58.996,50,"LINESTRING (21.6315708 39.7049781, 21.6316671 39.7049622, 21.6317529 39.7049471, 21.6318237 39.7049334, 21.631898 39.7049195, 21.6322416 39.7048551)",,,,
239004340,False,,Ζακύνθου,residential,False,75.356,,"LINESTRING (21.6327211 39.7058335, 21.633484 39.7054947)",,,,
