osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,name,ref
191031375,2,residential,50,False,True,146.90300000000002,"LINESTRING (20.8893503 38.9158984, 20.8892349 38.9159203, 20.8892094 38.9159344, 20.8891886 38.9159574, 20.8889079 38.9163279, 20.8887738 38.9165136, 20.8886316 38.9166868, 20.8884224 38.916931, 20.8883984 38.9169596)",,
570013589,2,tertiary,50,False,False,65.471,"LINESTRING (20.8893503 38.9158984, 20.8896223 38.9160271, 20.8899986 38.9162021)",Καποδίστρια,
992423872,2,primary,50,False,False,100.11699999999999,"LINESTRING (20.8893503 38.9158984, 20.8892973 38.9160408, 20.8892624 38.916188, 20.8891635 38.9167855)",Ελευθερίου Βενιζέλου,ΕΟ42
191031379,2,primary,50,False,False,99.55,"LINESTRING (20.8888614 38.9190876, 20.8889539 38.9190939, 20.8896726 38.9191393, 20.8900076 38.9191661)",Νικολάου Στράτου,ΕΟ42
191031441,2,tertiary,50,True,False,91.971,"LINESTRING (20.8888614 38.9190876, 20.8888522 38.9191583, 20.8887543 38.9199105)",Ελευθερίου Βενιζέλου,
992423872,2,primary,50,False,True,70.66,"LINESTRING (20.8888614 38.9190876, 20.8888816 38.918938, 20.8889373 38.9184549)",Ελευθερίου Βενιζέλου,ΕΟ42
191031379,2,primary,50,False,True,65.253,"LINESTRING (20.8907579 38.9192261, 20.8900076 38.9191661)",Νικολάου Στράτου,ΕΟ42
191031379,2,primary,50,False,False,73.992,"LINESTRING (20.8907579 38.9192261, 20.8909593 38.9192455, 20.8916062 38.9193108)",Νικολάου Στράτου,ΕΟ42
191031443,2,residential,50,False,True,82.02199999999999,"LINESTRING (20.8907579 38.9192261, 20.8907081 38.9193984, 20.8906458 38.9195806, 20.8906277 38.9196755, 20.890605 38.9199515)",,
992423872,2,primary,50,False,False,101.296,"LINESTRING (20.8891635 38.9167855, 20.8890515 38.9176923)",Ελευθερίου Βενιζέλου,ΕΟ42
191031388,2,residential,50,False,True,44.539,"LINESTRING (20.8891635 38.9167855, 20.8895075 38.9168183, 20.8896722 38.916845)",,
992423872,2,primary,50,False,True,100.117,"LINESTRING (20.8891635 38.9167855, 20.8892624 38.916188, 20.8892973 38.9160408, 20.8893503 38.9158984)",Ελευθερίου Βενιζέλου,ΕΟ42
191031398,2,residential,50,False,True,91.201,"LINESTRING (20.8910258 38.9207684, 20.8913996 38.9200015)",,
191031439,2,tertiary,50,False,False,78.289,"LINESTRING (20.8910258 38.9207684, 20.8901238 38.9207116)",Εμμανουήλ Δεληγιώργη,
191031439,2,tertiary,50,False,True,52.446,"LINESTRING (20.8910258 38.9207684, 20.8916291 38.9208147)",Εμμανουήλ Δεληγιώργη,
191031407,2,unclassified,50,False,False,110.70700000000001,"LINESTRING (20.887365 38.9208294, 20.8876645 38.9208168, 20.8883079 38.9207847, 20.8886428 38.9207916)",Εθνικού Σταδίου,
