osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,bridge,width
217692762,,Rinnetie,residential,,False,False,57.808,"LINESTRING (25.0983903 64.6664718, 25.098799 64.6665662, 25.09936 64.6666958, 25.0994573 64.6667204)",,,,
217692869,,,unclassified,,False,False,33.102,"LINESTRING (25.0983903 64.6664718, 25.0984587 64.6664132, 25.0986507 64.6662644, 25.0986892 64.666239, 25.0987302 64.6662123)",,,,
42728406,2,Siikasavontie,residential,50,False,True,15.433,"LINESTRING (25.0996453 64.6666073, 25.0994573 64.6667204)",,,,
42728406,2,Siikasavontie,residential,50,False,False,22.268,"LINESTRING (25.0996453 64.6666073, 25.09976 64.6665316, 25.0997947 64.6665087, 25.0999 64.6664393)",,,,
76987275,,Ahlströmintie,unclassified,,False,True,21.244,"LINESTRING (25.1074624 64.6666234, 25.1073422 64.6665346, 25.1072666 64.6664523)",,,,
217692875,,,unclassified,,False,False,46.813,"LINESTRING (25.1074624 64.6666234, 25.1074237 64.6666776, 25.1074171 64.666787, 25.1075355 64.6670368)",,,,
42728406,2,Siikasavontie,residential,50,False,False,15.433,"LINESTRING (25.0994573 64.6667204, 25.0996453 64.6666073)",,,,
217692762,,Rinnetie,residential,,False,True,57.808,"LINESTRING (25.0994573 64.6667204, 25.09936 64.6666958, 25.098799 64.6665662, 25.0983903 64.6664718)",,,,
217692875,,,unclassified,,False,True,46.812999999999995,"LINESTRING (25.1075355 64.6670368, 25.1074171 64.666787, 25.1074237 64.6666776, 25.1074624 64.6666234)",,,,
42728407,1,,residential,40,True,False,5.702999999999999,"LINESTRING (25.1022908 64.664619, 25.1022527 64.6645992, 25.1022244 64.6645766)",,roundabout,,
76987313,,Asemantie,tertiary,50,False,True,267.215,"LINESTRING (25.0988811 64.6610441, 25.0989123 64.6611035, 25.0989436 64.661163, 25.0987896 64.6614611, 25.098521 64.6618729, 25.0983338 64.6621249, 25.0981648 64.6623063, 25.0980317 64.6624131, 25.0979276 64.6624786, 25.0978844 64.6625058, 25.0977047 64.6625984, 25.0974497 64.6627133, 25.0971083 64.662835, 25.0968245 64.6629374, 25.0966008 64.6630083, 25.0963866 64.6630665)",8123,,,
