osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction
260788865,,residential,False,True,143.477,"LINESTRING (26.6884636 57.5401249, 26.6883931 57.5400796, 26.6881672 57.5399344, 26.6879017 57.5398507, 26.6875868 57.5396664, 26.6871405 57.5394498, 26.6870383 57.5393419, 26.6869239 57.5391697)",,,
361172612,Skolas iela,residential,False,False,59.80199999999999,"LINESTRING (26.6943951 57.5384642, 26.6945181 57.5384918, 26.6945923 57.5385084, 26.6947595 57.5385129, 26.6950971 57.5385118, 26.6951368 57.5385116, 26.695246 57.5385131, 26.6953666 57.5384813)",,,
361172614,Skolas iela,residential,False,False,46.095,"LINESTRING (26.6943951 57.5384642, 26.694426 57.5384803, 26.6946058 57.5385737, 26.6949499 57.5387526)",,,
"[260781632, 806850103]",Skolas iela,residential,False,True,113.477,"LINESTRING (26.6943951 57.5384642, 26.6936413 57.5380711, 26.6932461 57.5378585, 26.6930294 57.5377544)",,,
260781634,Stacijas iela,residential,False,True,39.097,"LINESTRING (26.6953666 57.5384813, 26.6949499 57.5387526)",,,
361172613,Stacijas iela,residential,False,False,76.612,"LINESTRING (26.6953666 57.5384813, 26.6961727 57.5379451)",,,
361172612,Skolas iela,residential,False,True,59.802,"LINESTRING (26.6953666 57.5384813, 26.695246 57.5385131, 26.6951368 57.5385116, 26.6950971 57.5385118, 26.6947595 57.5385129, 26.6945923 57.5385084, 26.6945181 57.5384918, 26.6943951 57.5384642)",,,
260783982,Pasta iela,secondary,True,False,44.568000000000005,"LINESTRING (26.6918533 57.5390669, 26.6919274 57.539046, 26.69201 57.5390386, 26.6920928 57.5390455, 26.6921674 57.5390661, 26.6922261 57.5390981, 26.692263 57.5391385, 26.6922744 57.5391831, 26.692258 57.5392283, 26.6922231 57.5392636)",P39,,roundabout
319296126,Loka iela,secondary,False,True,173.596,"LINESTRING (26.6918533 57.5390669, 26.6917427 57.5389154, 26.691718 57.5388321, 26.6917133 57.5387422, 26.691769 57.5386335, 26.6918433 57.5385571, 26.6919988 57.5384566, 26.6924655 57.538155, 26.6927535 57.5379689, 26.6930294 57.5377544)",P19,,
260783982,Pasta iela,secondary,True,False,13.724,"LINESTRING (26.6922231 57.5392636, 26.6921692 57.5392928, 26.6921018 57.5393124, 26.6920267 57.5393208)",P39,,roundabout
437848064,Pasta iela,residential,False,False,117.63099999999999,"LINESTRING (26.6922231 57.5392636, 26.6925976 57.5392198, 26.6930825 57.539163, 26.6932919 57.5391494, 26.6934124 57.5391416, 26.6934943 57.5391476, 26.693595 57.5391715, 26.6941073 57.5393011)",P39,,
260781635,Tirgus iela,secondary,False,True,146.216,"LINESTRING (26.6920267 57.5393208, 26.6920487 57.5393938, 26.692062 57.5394378, 26.6921187 57.5395242, 26.6922072 57.5396208, 26.6922591 57.5396775, 26.6930153 57.5405187)",P39,,
260783982,Pasta iela,secondary,True,False,15.857,"LINESTRING (26.6920267 57.5393208, 26.6919387 57.5393155, 26.6918589 57.5392949, 26.6917964 57.5392612)",P39,,roundabout
516538413,,residential,False,False,88.85799999999999,"LINESTRING (26.6943511 57.5430556, 26.6944959 57.5431333, 26.6945629 57.5431531, 26.6946298 57.5431431, 26.6947856 57.5430622, 26.694819 57.5430288, 26.6948056 57.5429977, 26.694697 57.54292, 26.6946836 57.5428916, 26.6947116 57.542872, 26.6948071 57.5428249, 26.6948703 57.5428063, 26.6949334 57.5428174, 26.695122 57.5428985)",,,
260787909,Robežu iela,residential,False,False,97.431,"LINESTRING (26.6957815 57.5431821, 26.6968361 57.5425132)",,,
516538413,,residential,False,True,30.652,"LINESTRING (26.6957815 57.5431821, 26.6953807 57.5430097)",,,
"[260784105, 260787909]","['Upes iela', 'Robežu iela']",residential,False,True,327.027,"LINESTRING (26.6957815 57.5431821, 26.6950949 57.5436176, 26.6947067 57.5438526, 26.694286 57.5440337, 26.6935748 57.5442873, 26.6928876 57.5444804, 26.6912359 57.5445853)",,,
516538413,,residential,False,False,19.779,"LINESTRING (26.695122 57.5428985, 26.6953807 57.5430097)",,,
516538415,,residential,False,False,102.52600000000001,"LINESTRING (26.695122 57.5428985, 26.6955188 57.5426422, 26.6955866 57.5426149, 26.6956791 57.5426273, 26.6957807 57.542667, 26.6958023 57.5427108, 26.6957807 57.5427579, 26.6953807 57.5430097)",,,
516538413,,residential,False,True,88.858,"LINESTRING (26.695122 57.5428985, 26.6949334 57.5428174, 26.6948703 57.5428063, 26.6948071 57.5428249, 26.6947116 57.542872, 26.6946836 57.5428916, 26.694697 57.54292, 26.6948056 57.5429977, 26.694819 57.5430288, 26.6947856 57.5430622, 26.6946298 57.5431431, 26.6945629 57.5431531, 26.6944959 57.5431333, 26.6943511 57.5430556)",,,
516538413,,residential,False,False,30.652,"LINESTRING (26.6953807 57.5430097, 26.6957815 57.5431821)",,,
516538413,,residential,False,True,19.779,"LINESTRING (26.6953807 57.5430097, 26.695122 57.5428985)",,,
516538415,,residential,False,True,102.52599999999998,"LINESTRING (26.6953807 57.5430097, 26.6957807 57.5427579, 26.6958023 57.5427108, 26.6957807 57.542667, 26.6956791 57.5426273, 26.6955866 57.5426149, 26.6955188 57.5426422, 26.695122 57.5428985)",,,
516545842,,residential,False,True,87.507,"LINESTRING (26.6910804 57.5429844, 26.6904768 57.5427439, 26.689903 57.5425153)",,,
