osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
120003884,Rowantree Grove,residential,False,True,133.62199999999999,"LINESTRING (-4.5795314 55.9819145, -4.5796963 55.9819986, -4.579913 55.982073, -4.5800904 55.9820619, -4.5802726 55.9820621, -4.5803784 55.9821697, -4.5803496 55.9822989, -4.5797036 55.9826145)",,,,
120003904,Rowantree Grove,residential,False,False,14.363,"LINESTRING (-4.5795314 55.9819145, -4.5795419 55.9818885, -4.5795361 55.9818243, -4.5795158 55.9817878)",,,,
120003904,Rowantree Grove,residential,False,True,11.907,"LINESTRING (-4.5795314 55.9819145, -4.5795115 55.9819397, -4.5794548 55.9819567, -4.5793852 55.9819762)",,,,
100448125,,tertiary,False,False,35.241,"LINESTRING (-4.5655201 55.980367, -4.565898 55.9806031)",,30 mph,2,
162459697,Ladyton,residential,False,False,61.201,"LINESTRING (-4.5655201 55.980367, -4.5656912 55.9802702, -4.5657352 55.9802308, -4.5656846 55.9798641)",,20 mph,,
101621433,Dalmonach Road,residential,False,True,42.61,"LINESTRING (-4.5678493 55.9855194, -4.5685343 55.9855164)",,,,
101621410,Hillbank Street,residential,False,False,271.669,"LINESTRING (-4.5678493 55.9855194, -4.5684651 55.9846297, -4.5691264 55.9836534, -4.5692746 55.9835543, -4.5693945 55.9835076, -4.5696325 55.9835129, -4.5698105 55.9835291)",,,,
100448223,Church Street,unclassified,False,True,156.416,"LINESTRING (-4.5795885 55.9858547, -4.579495 55.9852815, -4.5795218 55.9852378, -4.5795722 55.9852066, -4.5796427 55.9852016, -4.5799737 55.9851921, -4.5808979 55.9851654)",,,,
"[124345864, 124345861]",Church Street,unclassified,False,False,129.73900000000003,"LINESTRING (-4.5795885 55.9858547, -4.5795174 55.9858576, -4.579297 55.9858665, -4.5788398 55.985885, -4.5786724 55.9858547, -4.5786185 55.9855807, -4.5785851 55.9854466, -4.5785645 55.9854141, -4.5785147 55.9853863, -4.5782283 55.9853534)",,,,
124345861,Church Street,unclassified,False,True,42.16,"LINESTRING (-4.5795885 55.9858547, -4.5797953 55.9858452, -4.5800809 55.985832, -4.580264 55.9858236)",,,,
470571792,,residential,False,False,18.186,"LINESTRING (-4.5725607 55.9831386, -4.572853 55.9831358)",,,,
100448136,Main Street,residential,False,False,87.715,"LINESTRING (-4.5725607 55.9831386, -4.5726693 55.9835166, -4.5726488 55.9836087, -4.5724613 55.9837066, -4.5721647 55.9837422)",,,,
100448136,Main Street,residential,False,True,115.714,"LINESTRING (-4.5725607 55.9831386, -4.572583 55.9829201, -4.572789 55.9826339, -4.5730304 55.9823476, -4.5731253 55.9821582)",,,,
470571796,Burn Street,residential,False,False,84.061,"LINESTRING (-4.5725607 55.9831386, -4.572375 55.9831463, -4.5722274 55.9831253, -4.572108 55.9830494, -4.5720156 55.9829718, -4.5718369 55.9828943, -4.5716243 55.9828305, -4.5714394 55.9827908)",,,,
100448065,Glebe Gardens,residential,False,True,203.387,"LINESTRING (-4.5746329 55.9829005, -4.5753878 55.9824808, -4.575155 55.981254)",,,,
100448071,Union Street,residential,False,True,183.915,"LINESTRING (-4.5709287 55.9855173, -4.5710971 55.983866)",,,,
101621433,Dalmonach Road,residential,False,False,86.966,"LINESTRING (-4.5709287 55.9855173, -4.5695306 55.9855156)",,,,
100448175,,residential,False,False,56.275000000000006,"LINESTRING (-4.5709287 55.9855173, -4.5716083 55.9855377, -4.5717946 55.9856074)",,,,
120003887,Clover Leaf Path,residential,False,False,27.585,"LINESTRING (-4.5779348 55.9831439, -4.5783773 55.98316)",,,,
120003887,Clover Leaf Path,residential,False,True,48.881,"LINESTRING (-4.5779348 55.9831439, -4.5771494 55.9831577)",,,,
100448185,Clover Leaf Path,residential,False,True,165.14000000000001,"LINESTRING (-4.5779348 55.9831439, -4.5779526 55.9829851, -4.5780412 55.9828363, -4.5784501 55.9826902, -4.5786767 55.9825056, -4.578854 55.9824064, -4.5793219 55.9824532, -4.5797036 55.9826145)",,,,
100448205,Kirkland Lane,residential,False,True,37.874,"LINESTRING (-4.5738811 55.9810855, -4.5732758 55.981122)",,,,
100448205,Kirkland Lane,residential,False,False,70.351,"LINESTRING (-4.5738811 55.9810855, -4.5740573 55.980902, -4.574065 55.9807906, -4.574065 55.9804777)",,,,
124348363,Glebe Gardens,residential,False,False,38.004,"LINESTRING (-4.5738811 55.9810855, -4.5741464 55.9811994, -4.5743319 55.9813141)",,,,
1175154807,,residential,False,False,36.26,"LINESTRING (-4.5738811 55.9810855, -4.5740754 55.9810268, -4.5741832 55.9809645, -4.5742263 55.9808512)",,,,
100448125,,tertiary,False,True,66.876,"LINESTRING (-4.5674463 55.9815347, -4.566698 55.9811029)",,30 mph,2,
