osmid,name,highway,oneway,reversed,length,geometry,maxspeed,width,lanes
27197187,Severn Road,residential,False,True,26.032,"LINESTRING (-2.7773246 51.4820502, -2.7775331 51.4818554)",,,
30473273,Charlton View,residential,False,False,74.489,"LINESTRING (-2.7773246 51.4820502, -2.776375 51.4817355)",,,
27197187,Severn Road,residential,False,False,77.892,"LINESTRING (-2.7765986 51.4830782, -2.7765127 51.4832011, -2.7765026 51.4832132, -2.7764895 51.4832243, -2.776462 51.4832426, -2.7763668 51.4832974, -2.7763324 51.4833205, -2.7763015 51.4833426, -2.7762855 51.4833577, -2.7762671 51.4833761, -2.7762466 51.4834043, -2.7762322 51.4834282, -2.776197 51.4834867, -2.7761856 51.4835124, -2.7761799 51.4835335, -2.7761783 51.4835521, -2.7761785 51.4835782, -2.7761815 51.4836043, -2.7761867 51.4836319, -2.7761943 51.4836519, -2.7762074 51.4836727, -2.7762258 51.4836939)",,,
27197187,Severn Road,residential,False,True,107.59899999999999,"LINESTRING (-2.7765986 51.4830782, -2.7766224 51.4830337, -2.7767874 51.4827254, -2.7769164 51.4825141, -2.7769505 51.4824582, -2.7771891 51.4821862)",,,
30472650,Queen's Avenue,residential,False,True,57.815,"LINESTRING (-2.7765986 51.4830782, -2.7765307 51.4830763, -2.7762989 51.4830015, -2.7760929 51.482932, -2.7760659 51.4829173, -2.7760451 51.4828984, -2.7760243 51.4828729, -2.7760071 51.4828465, -2.7759971 51.4828228, -2.7759911 51.4828019, -2.775987 51.482781)",,,
27197190,Severn Road,residential,False,True,31.877,"LINESTRING (-2.7785711 51.4808207, -2.7786389 51.4808777, -2.7786751 51.4809079, -2.7787045 51.4809402, -2.7787137 51.4809545, -2.7787201 51.4809676, -2.7787253 51.4809855, -2.7787273 51.481024, -2.7787272 51.4810791)",,,
27356744,Lower Down Road,residential,False,False,154.38299999999995,"LINESTRING (-2.7785711 51.4808207, -2.778395 51.4808095, -2.7782559 51.4808007, -2.7780148 51.4807798, -2.7777845 51.4807497, -2.7776342 51.4807234, -2.7772247 51.4806346, -2.7769301 51.4805678, -2.7768351 51.4805463, -2.7767703 51.4805277, -2.7767068 51.4805069, -2.7766617 51.4804934, -2.7766322 51.4804876, -2.7765999 51.4804821, -2.7765356 51.4804748, -2.776494 51.4804708, -2.7764301 51.4804656)",,,
27356744,Lower Down Road,residential,False,True,42.167,"LINESTRING (-2.7785711 51.4808207, -2.7788602 51.480843, -2.7790029 51.4808523, -2.7791758 51.4808651)",,,
27197218,Rippleside,residential,False,True,59.15100000000001,"LINESTRING (-2.7739326 51.4847104, -2.7738405 51.4843795, -2.7738405 51.4842405, -2.7738685 51.4841861)",,,
368008604,Avon Way,tertiary,False,False,212.11599999999999,"LINESTRING (-2.7739326 51.4847104, -2.7741399 51.484688, -2.774528 51.4846362, -2.7747939 51.4846022, -2.7754426 51.4845244, -2.7754868 51.4845194, -2.7756741 51.4844844, -2.7758307 51.484452, -2.7760824 51.4843844, -2.7761658 51.4843578, -2.776185 51.4843497, -2.77635 51.4842927, -2.7765015 51.4842297, -2.7766489 51.4841585, -2.7767756 51.4840879)",30 mph,,2
368008604,Avon Way,tertiary,False,True,151.97400000000002,"LINESTRING (-2.7739326 51.4847104, -2.7737097 51.4847262, -2.7735972 51.4847282, -2.7734857 51.484727, -2.7733986 51.4847231, -2.7732888 51.4847119, -2.7731693 51.4846965, -2.7730419 51.4846763, -2.7727441 51.4846193, -2.7725158 51.4845782, -2.7724209 51.4845603, -2.7723145 51.4845387, -2.7722591 51.4845274, -2.7721055 51.4844985, -2.7719975 51.48448, -2.7718012 51.4844472)",30 mph,,2
203290571,West Hill,tertiary,False,False,2.493,"LINESTRING (-2.782422 51.4817545, -2.7823978 51.4817711)",30 mph,,2
203288919,West Hill,tertiary,True,False,41.11,"LINESTRING (-2.782422 51.4817545, -2.782434 51.4817421, -2.7824948 51.481679, -2.7825295 51.4816283, -2.7825947 51.4815328, -2.7826047 51.4815182, -2.7826717 51.4814198)",30 mph,6,
30299753,West Hill,residential,True,False,23.651000000000003,"LINESTRING (-2.7827459 51.4808904, -2.7827285 51.480854, -2.7827086 51.4808232, -2.7826896 51.4808024, -2.7826587 51.4807809, -2.7826108 51.4807609, -2.7825292 51.4807465)",,,
203288919,West Hill,tertiary,True,False,19.868,"LINESTRING (-2.7827459 51.4808904, -2.7827734 51.480858, -2.7827987 51.4808417, -2.7828417 51.480824, -2.7829101 51.4808112, -2.782978 51.4808047)",30 mph,6,
389722570,Down Road,tertiary,True,False,3.704,"LINESTRING (-2.782978 51.4808047, -2.7830307 51.4808104)",30 mph,7,
27197316,West Hill,tertiary,False,False,10.322,"LINESTRING (-2.7828033 51.4814634, -2.7826717 51.4814198)",30 mph,9,
27174544,West Hill,tertiary,True,False,42.314,"LINESTRING (-2.7828033 51.4814634, -2.7826946 51.4815717, -2.7826171 51.4816449, -2.7825994 51.4816591, -2.7825243 51.4817099, -2.7824733 51.4817366, -2.782422 51.4817545)",30 mph,8,
27197316,West Hill,tertiary,False,True,10.322,"LINESTRING (-2.7826717 51.4814198, -2.7828033 51.4814634)",30 mph,9,
203288919,West Hill,tertiary,True,False,59.163,"LINESTRING (-2.7826717 51.4814198, -2.782694 51.4813345, -2.7827154 51.4812419, -2.782726 51.4811519, -2.7827369 51.4810597, -2.7827459 51.4808904)",30 mph,6,
27174752,Mendip Road,residential,False,True,69.611,"LINESTRING (-2.7831617 51.4821292, -2.7830567 51.4821296, -2.7830381 51.4821289, -2.7830198 51.4821273, -2.7829859 51.4821226, -2.7829199 51.4821062, -2.7828864 51.4820957, -2.7828532 51.482083, -2.7828277 51.4820698, -2.7827942 51.4820485, -2.7827669 51.4820277, -2.7825953 51.4818887, -2.7825082 51.4818239, -2.7824807 51.4818084, -2.7824566 51.4817959, -2.7823978 51.4817711)",,,
47418699,Slade Road,residential,False,False,69.143,"LINESTRING (-2.7707457 51.4837288, -2.7704531 51.4842755, -2.7704348 51.4843196)",,,
47418699,Slade Road,residential,False,True,64.381,"LINESTRING (-2.7707457 51.4837288, -2.7707695 51.4836771, -2.7707923 51.4836253, -2.7708221 51.4835432, -2.7709297 51.4831617)",,,
27465030,Combe Fields,residential,False,False,25.482,"LINESTRING (-2.7736031 51.4851093, -2.7732356 51.4850972)",,,
27465030,Combe Fields,residential,False,True,25.482,"LINESTRING (-2.7732356 51.4850972, -2.7736031 51.4851093)",,,
30435243,Combe Fields,residential,False,False,7.152,"LINESTRING (-2.7732356 51.4850972, -2.7732271 51.4851613)",,,
27465030,Combe Fields,residential,False,False,150.68800000000002,"LINESTRING (-2.7732356 51.4850972, -2.7731745 51.4850921, -2.7731205 51.4850852, -2.7730147 51.4850703, -2.7724718 51.4849849, -2.7721198 51.4849315, -2.7719181 51.4849083, -2.7717937 51.484894, -2.7716741 51.4848854, -2.771567 51.484882, -2.7715031 51.4848814, -2.7714361 51.4848822, -2.7712946 51.4848873, -2.7710981 51.4848941)",,,
27465028,Combe Avenue,residential,False,False,56.976,"LINESTRING (-2.7710981 51.4848941, -2.7711048 51.4848359, -2.7711115 51.4848021, -2.7712202 51.4843876)",,,2
27465030,Combe Fields,residential,False,True,150.68800000000002,"LINESTRING (-2.7710981 51.4848941, -2.7712946 51.4848873, -2.7714361 51.4848822, -2.7715031 51.4848814, -2.771567 51.484882, -2.7716741 51.4848854, -2.7717937 51.484894, -2.7719181 51.4849083, -2.7721198 51.4849315, -2.7724718 51.4849849, -2.7730147 51.4850703, -2.7731205 51.4850852, -2.7731745 51.4850921, -2.7732356 51.4850972)",,,
27197173,Channel View Road,residential,False,True,84.017,"LINESTRING (-2.7783787 51.4823599, -2.7794287 51.4827385)",,,
368008604,Avon Way,tertiary,False,False,34.709,"LINESTRING (-2.7783787 51.4823599, -2.778567 51.4821627, -2.7786426 51.4820947)",30 mph,,2
368008604,Avon Way,tertiary,False,True,34.879000000000005,"LINESTRING (-2.7783787 51.4823599, -2.7783138 51.4824309, -2.7781295 51.4826325)",30 mph,,2
158477236,Channel View Crescent,residential,False,False,156.726,"LINESTRING (-2.7805518 51.4816693, -2.7805918 51.4817723, -2.7806004 51.4818311, -2.7805967 51.4819023, -2.7805824 51.4819897, -2.7805489 51.4820716, -2.7805247 51.4821129, -2.7804974 51.4821518, -2.780455 51.4822018, -2.7804115 51.482248, -2.78036 51.4822927, -2.7803351 51.4823155, -2.7802599 51.4823677, -2.7801868 51.4824102, -2.7801283 51.4824404, -2.7800459 51.4824728, -2.7799566 51.4824992, -2.7797901 51.4825431, -2.7797335 51.482558, -2.7796518 51.482583, -2.7795843 51.4826096, -2.7795369 51.4826369, -2.7795149 51.4826524, -2.7794931 51.4826703, -2.7794287 51.4827385)",,,
368008604,Avon Way,tertiary,False,False,118.29700000000001,"LINESTRING (-2.7805518 51.4816693, -2.780915 51.4816154, -2.780969 51.4816124, -2.7810475 51.4816122, -2.7811156 51.4816143, -2.7811675 51.4816196, -2.7815381 51.4816547, -2.7817052 51.4816704, -2.7817999 51.4816841, -2.781831 51.4816923, -2.7818484 51.4816984, -2.7818722 51.4817065, -2.7819115 51.4817269, -2.7819482 51.4817538, -2.7819773 51.4817775, -2.7820139 51.4818152, -2.782084 51.4818856)",30 mph,,2
368008604,Avon Way,tertiary,False,True,143.38699999999997,"LINESTRING (-2.7805518 51.4816693, -2.7791335 51.4818901, -2.7789675 51.4819193, -2.7788933 51.4819416, -2.7788245 51.4819703, -2.7787452 51.4820151, -2.7786914 51.4820552, -2.7786426 51.4820947)",30 mph,,2
27197187,Severn Road,residential,False,False,26.032,"LINESTRING (-2.7775331 51.4818554, -2.7773246 51.4820502)",,,
27197187,Severn Road,residential,False,True,119.83000000000001,"LINESTRING (-2.7775331 51.4818554, -2.7778036 51.4816587, -2.7781006 51.4814426, -2.7783495 51.4812769, -2.7787272 51.4810791)",,,
