osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry
26281819,,,Lough Beg Park,residential,,,False,True,174.61100000000002,"LINESTRING (-5.8920788 54.5150641, -5.8920229 54.5151186, -5.8919944 54.5151695, -5.8919831 54.5152289, -5.8920127 54.5153153, -5.8921769 54.5156477, -5.8922386 54.5157192, -5.8923059 54.5157786, -5.8926938 54.516058, -5.8927675 54.5161248, -5.8928125 54.5161876, -5.8928466 54.516263, -5.8928451 54.5163606, -5.8928606 54.5164872)"
559437881,1,,Lough Mourne Park,residential,30 mph,,False,False,55.385999999999996,"LINESTRING (-5.8920788 54.5150641, -5.8920357 54.5150343, -5.8919094 54.5149472, -5.8917597 54.5148439, -5.8916552 54.5147717, -5.8916194 54.514747, -5.8915265 54.5146829)"
26281851,,,Lough Moss Park,residential,30 mph,,False,False,37.652,"LINESTRING (-5.8928772 54.5146927, -5.8932388 54.5149584)"
26281819,,,Lough Beg Park,residential,,,False,True,66.041,"LINESTRING (-5.8928772 54.5146927, -5.8921645 54.5150232, -5.8920788 54.5150641)"
26281851,,,Lough Moss Park,residential,30 mph,,False,True,66.446,"LINESTRING (-5.8941882 54.5156812, -5.8939399 54.5154885, -5.8938555 54.5154227, -5.8935709 54.515203)"
41451304,,,Lough Derg Park,residential,30 mph,,False,True,51.543000000000006,"LINESTRING (-5.8941882 54.5156812, -5.8941411 54.5157018, -5.8939018 54.5158063, -5.8936642 54.5158981, -5.8936509 54.5159032, -5.8936915 54.5159261, -5.8937062 54.515936, -5.8937469 54.5159613)"
26282294,,,Marlborough Crescent,residential,,,False,True,47.225,"LINESTRING (-5.893122 54.5185589, -5.8931435 54.5188002, -5.893157 54.518845, -5.8932381 54.5189743)"
26282330,,,Marlborough Park,residential,,,False,False,54.19199999999999,"LINESTRING (-5.893122 54.5185589, -5.8926741 54.5185447, -5.8925041 54.5185365, -5.8923867 54.5185192, -5.8923118 54.5184813)"
26282294,,,Marlborough Crescent,residential,,,False,False,47.225,"LINESTRING (-5.8932381 54.5189743, -5.893157 54.518845, -5.8931435 54.5188002, -5.893122 54.5185589)"
26282312,,,Marlborough Crescent,residential,,,False,False,29.342,"LINESTRING (-5.8932381 54.5189743, -5.8930918 54.5190301, -5.8930619 54.5190641, -5.8930144 54.5191137, -5.8929972 54.5191803)"
26282312,,,Marlborough Crescent,residential,,,False,True,29.342,"LINESTRING (-5.8929972 54.5191803, -5.8930144 54.5191137, -5.8930619 54.5190641, -5.8930918 54.5190301, -5.8932381 54.5189743)"
26282353,,,Blenheim Park South,residential,,,False,False,91.668,"LINESTRING (-5.8921686 54.5183597, -5.8920862 54.5175367)"
26282348,,,Blenheim Park,residential,,,False,True,51.793000000000006,"LINESTRING (-5.8921686 54.5183597, -5.8921103 54.518354, -5.8917091 54.5183148, -5.8916557 54.5183095, -5.8913773 54.5182823)"
26282353,,,Blenheim Park South,residential,,,False,True,16.500999999999998,"LINESTRING (-5.8921686 54.5183597, -5.8922255 54.518424, -5.8923118 54.5184813)"
