osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,name,lanes,bridge,junction
828746242,A143,primary,30 mph,True,False,11.402,"LINESTRING (0.4385556 52.0844385, 0.4385249 52.0844394, 0.4384764 52.08445, 0.4384403 52.0844688, 0.4384206 52.0844883)",,,,roundabout
"[1077888618, 1077888619, 19195380, 19195285]",,unclassified,,False,"[False, True]",47.041000000000004,"LINESTRING (0.4419071 52.0817765, 0.441825 52.0818355, 0.4417562 52.081885, 0.4418476 52.0818939, 0.4420075 52.0820043, 0.4420908 52.08206)",,,yes,
92622367,,residential,,False,False,58.455000000000005,"LINESTRING (0.4283064 52.0803919, 0.4282976 52.0804695, 0.4282929 52.0805099, 0.4282698 52.0807127, 0.4282466 52.0809163)",Layer Road,,,
92622367,,residential,,False,False,59.763000000000005,"LINESTRING (0.4282466 52.0809163, 0.4282325 52.0810404, 0.4282242 52.0811125, 0.4281893 52.0814526)",Layer Road,,,
92622367,,residential,,False,True,58.455,"LINESTRING (0.4282466 52.0809163, 0.4282698 52.0807127, 0.4282929 52.0805099, 0.4282976 52.0804695, 0.4283064 52.0803919)",Layer Road,,,
92622370,,residential,,False,False,162.0,"LINESTRING (0.429533 52.0801299, 0.4292207 52.0815741)",Primrose Hill,,,
92622378,,residential,,False,False,45.175,"LINESTRING (0.4413634 52.0874134, 0.4407938 52.0876197)",,,,
55445935,A143,primary,30 mph,False,True,39.628,"LINESTRING (0.4407938 52.0876197, 0.4404317 52.0873413)",Wratting Road,,,
92622378,,residential,,False,True,45.175,"LINESTRING (0.4407938 52.0876197, 0.4413634 52.0874134)",,,,
92622892,,residential,,False,False,31.541,"LINESTRING (0.4338426 52.0842175, 0.4336239 52.0844673)",Downs Crescent,,,
"[902583213, 92622878]",,residential,,False,"[False, True]",121.239,"LINESTRING (0.4338426 52.0842175, 0.4341596 52.0843023, 0.4347574 52.0844623, 0.4348899 52.0842011, 0.4349878 52.0840066)",Downs Crescent,,,
92622892,,residential,,False,True,57.509,"LINESTRING (0.4338426 52.0842175, 0.4339774 52.0839457, 0.4340035 52.0837132)",Downs Crescent,,,
92622880,,residential,,False,False,69.125,"LINESTRING (0.4359896 52.0840931, 0.4349878 52.0840066)",Francis Close,,,
92622880,,residential,,False,True,69.125,"LINESTRING (0.4349878 52.0840066, 0.4359896 52.0840931)",Francis Close,,,
902583213,,residential,,False,False,78.384,"LINESTRING (0.4349878 52.0840066, 0.4350106 52.0837075, 0.4349832 52.0834917, 0.4349248 52.0833061)",Downs Crescent,,,
"[902583213, 92622878]",,residential,,False,"[False, True]",121.239,"LINESTRING (0.4349878 52.0840066, 0.4348899 52.0842011, 0.4347574 52.0844623, 0.4341596 52.0843023, 0.4338426 52.0842175)",Downs Crescent,,,
92622882,,residential,,False,False,48.914,"LINESTRING (0.4330056 52.0842456, 0.4336239 52.0844673)",Stephen Close,,,
92622882,,residential,,False,True,48.914,"LINESTRING (0.4336239 52.0844673, 0.4330056 52.0842456)",Stephen Close,,,
92622892,,residential,,False,True,31.541,"LINESTRING (0.4336239 52.0844673, 0.4338426 52.0842175)",Downs Crescent,,,
92622892,,residential,,False,False,64.21000000000001,"LINESTRING (0.4336239 52.0844673, 0.4335303 52.0845559, 0.4330534 52.0848037, 0.432949 52.084864)",Downs Crescent,,,
92622883,,residential,,False,False,34.954,"LINESTRING (0.4336534 52.0840272, 0.4336775 52.0837132)",,,,
92622883,,residential,,False,False,28.219,"LINESTRING (0.4336775 52.0837132, 0.4336877 52.0834595)",,,,
92622883,,residential,,False,True,34.954,"LINESTRING (0.4336775 52.0837132, 0.4336534 52.0840272)",,,,
638831322,,residential,,False,False,22.276,"LINESTRING (0.4336775 52.0837132, 0.4340035 52.0837132)",,,,
638831322,,residential,,False,True,22.276,"LINESTRING (0.4340035 52.0837132, 0.4336775 52.0837132)",,,,
92622892,,residential,,False,False,57.509,"LINESTRING (0.4340035 52.0837132, 0.4339774 52.0839457, 0.4338426 52.0842175)",Downs Crescent,,,
92622892,,residential,,False,True,62.55,"LINESTRING (0.4340035 52.0837132, 0.4339753 52.0834956, 0.4340758 52.0834215, 0.4344708 52.0833718)",Downs Crescent,,,
92622885,,residential,,False,False,58.316,"LINESTRING (0.4342354 52.0828677, 0.4344708 52.0833718)",Edmund Close,,,
92622885,,residential,,False,True,58.316,"LINESTRING (0.4344708 52.0833718, 0.4342354 52.0828677)",Edmund Close,,,
92622892,,residential,,False,True,31.871,"LINESTRING (0.4344708 52.0833718, 0.4349248 52.0833061)",Downs Crescent,,,
92622892,,residential,,False,False,62.55,"LINESTRING (0.4344708 52.0833718, 0.4340758 52.0834215, 0.4339753 52.0834956, 0.4340035 52.0837132)",Downs Crescent,,,
8020541,,tertiary,30 mph,False,False,55.519,"LINESTRING (0.4316452 52.0812062, 0.4317797 52.0807138)",,,,
8020541,,tertiary,30 mph,False,True,94.274,"LINESTRING (0.4316452 52.0812062, 0.4313909 52.0820395)",,,,
882015578,,residential,,False,True,37.216,"LINESTRING (0.4316452 52.0812062, 0.4311157 52.0811279)",Priory Avenue,,,
882015578,,residential,,False,False,23.293,"LINESTRING (0.4307848 52.0810776, 0.4311157 52.0811279)",Priory Avenue,,,
92622889,,residential,,False,True,41.954,"LINESTRING (0.4311157 52.0811279, 0.4309243 52.0814864)",Priory Avenue,,,
882015578,,residential,,False,False,37.216,"LINESTRING (0.4311157 52.0811279, 0.4316452 52.0812062)",Priory Avenue,,,
882015578,,residential,,False,True,23.293,"LINESTRING (0.4311157 52.0811279, 0.4307848 52.0810776)",Priory Avenue,,,
92622889,,residential,,False,False,41.954,"LINESTRING (0.4309243 52.0814864, 0.4311157 52.0811279)",Priory Avenue,,,
92622892,,residential,,False,False,31.871,"LINESTRING (0.4349248 52.0833061, 0.4344708 52.0833718)",Downs Crescent,,,
92622892,,residential,,False,True,48.106,"LINESTRING (0.4349248 52.0833061, 0.4349529 52.0832599, 0.4353829 52.0831983, 0.4354727 52.0831661, 0.4355269 52.0831314)",Downs Crescent,,,
902583213,,residential,,False,True,78.384,"LINESTRING (0.4349248 52.0833061, 0.4349832 52.0834917, 0.4350106 52.0837075, 0.4349878 52.0840066)",Downs Crescent,,,
92622892,,residential,,False,False,48.106,"LINESTRING (0.4355269 52.0831314, 0.4354727 52.0831661, 0.4353829 52.0831983, 0.4349529 52.0832599, 0.4349248 52.0833061)",Downs Crescent,,,
28433613,,tertiary,30 mph,False,False,154.74000000000004,"LINESTRING (0.432949 52.084864, 0.4337603 52.0853039, 0.4339167 52.0853931, 0.4341846 52.0855475, 0.434487 52.0857587, 0.4345184 52.0857869, 0.4345715 52.0858305)",Crowland Road,,,
28433613,,tertiary,30 mph,False,True,229.083,"LINESTRING (0.432949 52.084864, 0.4322624 52.0845149, 0.4319594 52.0843171, 0.4317373 52.0841003, 0.4315015 52.0838128, 0.4313172 52.0835018, 0.4311426 52.0831878)",Crowland Road,,,
92622892,,residential,,False,True,64.21,"LINESTRING (0.432949 52.084864, 0.4330534 52.0848037, 0.4335303 52.0845559, 0.4336239 52.0844673)",Downs Crescent,,,
92965966,,residential,,False,False,42.202,"LINESTRING (0.4408548 52.0865008, 0.4402822 52.0866431)",,,,
7397610,,residential,30 mph,False,False,59.012,"LINESTRING (0.4408548 52.0865008, 0.4406092 52.0860983, 0.4405515 52.0860039)",Jaywick Road,,,
7397610,,residential,30 mph,False,True,48.767,"LINESTRING (0.4408548 52.0865008, 0.440943 52.0866415, 0.4410255 52.0867805, 0.44112 52.0868285, 0.4412009 52.0868696)",Jaywick Road,,,
92965995,,residential,,False,True,49.152,"LINESTRING (0.4408548 52.0865008, 0.4410239 52.0864511, 0.4411971 52.0863318, 0.4412777 52.0862763, 0.441378 52.0862072)",Wortham Place,,,
92965966,,residential,,False,True,42.202,"LINESTRING (0.4402822 52.0866431, 0.4408548 52.0865008)",,,,
92965995,,residential,,False,False,49.152,"LINESTRING (0.441378 52.0862072, 0.4412777 52.0862763, 0.4411971 52.0863318, 0.4410239 52.0864511, 0.4408548 52.0865008)",Wortham Place,,,
"[1077888618, 1077888619, 19195380, 19195285]",,unclassified,,False,"[False, True]",47.041,"LINESTRING (0.4420908 52.08206, 0.4420075 52.0820043, 0.4418476 52.0818939, 0.4417562 52.081885, 0.441825 52.0818355, 0.4419071 52.0817765)",,,yes,
"[4760380, 243616030]",A143,primary,30 mph,False,True,139.42100000000002,"LINESTRING (0.4420908 52.08206, 0.4419042 52.0821748, 0.4416659 52.0822909, 0.4413254 52.0824611, 0.4410444 52.0826521, 0.4407917 52.0828895, 0.44073 52.0829753)","['Ehringshausen Way', ""Lord's Croft Lane""]",,,
7986162,,residential,,False,True,133.854,"LINESTRING (0.4403178 52.0805481, 0.439762 52.0802387, 0.4400065 52.0800634, 0.440231 52.0798923, 0.4404025 52.0796735, 0.4404431 52.0796309)",Helions Walk,,,
92622375,,unclassified,,False,True,90.176,"LINESTRING (0.4387468 52.082579, 0.4386192 52.0827206, 0.4382755 52.0831021, 0.438089 52.0832817)",Market Hill,,,
4760385,,residential,,False,False,209.056,"LINESTRING (0.4372264 52.0828907, 0.4371662 52.0828808, 0.436947 52.082887, 0.4367197 52.0828266, 0.4362128 52.0827265, 0.436125 52.0827121, 0.4359598 52.0826849, 0.4358447 52.082666, 0.4354008 52.082593, 0.4344647 52.0824321, 0.434287 52.0824005)",Camps Road,,,
4760385,,residential,,False,True,74.735,"LINESTRING (0.4372264 52.0828907, 0.4372743 52.0829182, 0.4372944 52.0829607, 0.4373229 52.0829869, 0.4373821 52.0830182, 0.438089 52.0832817)",Camps Road,,,
33787945,,residential,,False,True,106.518,"LINESTRING (0.4372264 52.0828907, 0.4373479 52.0828167, 0.4373593 52.0827553, 0.4372796 52.0823587, 0.4371537 52.0821907, 0.4369714 52.0820173)",Mill Road,,,
92622883,,residential,,False,True,28.219,"LINESTRING (0.4336877 52.0834595, 0.4336775 52.0837132)",,,,
157264917,A1307,primary,30 mph,False,True,11.545,"LINESTRING (0.4349121 52.0859532, 0.4348119 52.0860368)",Withersfield Road,,,
157264917,A1307,primary,30 mph,False,False,60.583,"LINESTRING (0.4349121 52.0859532, 0.4350335 52.0858519, 0.4352349 52.0856626, 0.4354245 52.0855089)",Withersfield Road,,,
1057612496,,tertiary,30 mph,True,False,29.109,"LINESTRING (0.4349121 52.0859532, 0.4348511 52.0859648, 0.4347847 52.0859537, 0.4346365 52.0858605, 0.4345715 52.0858305)",Crowland Road,,,
28433613,,tertiary,30 mph,False,True,154.74,"LINESTRING (0.4345715 52.0858305, 0.4345184 52.0857869, 0.434487 52.0857587, 0.4341846 52.0855475, 0.4339167 52.0853931, 0.4337603 52.0853039, 0.432949 52.084864)",Crowland Road,,,
1057612495,,tertiary,30 mph,True,False,28.516,"LINESTRING (0.4345715 52.0858305, 0.434597 52.0858717, 0.43466 52.0859355, 0.4348119 52.0860368)",Crowland Road,,,
