osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,name,bridge,junction
4742485,False,,residential,,True,137.83100000000002,"LINESTRING (1.3324677 51.9634352, 1.3325617 51.9634129, 1.3328016 51.9633559, 1.3329955 51.9633109, 1.3330451 51.963301, 1.3330933 51.963299, 1.3331256 51.9633039, 1.3331564 51.9633136, 1.3331838 51.9633295, 1.3332015 51.9633472, 1.3332052 51.9633673, 1.3332037 51.9633917, 1.3331963 51.9634153, 1.3331792 51.9634411, 1.3330339 51.9636316, 1.333024 51.9636456, 1.332875 51.9638567, 1.332843 51.9638976, 1.3328183 51.9639205, 1.332796 51.9639461, 1.3327788 51.9639766, 1.3327706 51.9640052, 1.3327692 51.9640331)",Oak Close,,
6151228,False,,residential,,False,81.71399999999998,"LINESTRING (1.3324677 51.9634352, 1.3323769 51.9634577, 1.3323506 51.9634663, 1.3323304 51.9634778, 1.3323116 51.9634949, 1.3323046 51.9635135, 1.3323063 51.963534, 1.3323146 51.9635531, 1.3323294 51.9635704, 1.3324886 51.9637551, 1.3326221 51.9639102, 1.3326451 51.9639291, 1.3326648 51.9639423, 1.3326902 51.9639567, 1.3327155 51.9639705, 1.3327393 51.9639897, 1.3327563 51.9640124, 1.3327692 51.9640331)",Oak Close,,
6151228,False,,residential,,True,40.658,"LINESTRING (1.3324677 51.9634352, 1.3324081 51.9633329, 1.3322525 51.9630945)",Oak Close,,
6151228,False,,residential,,True,18.745,"LINESTRING (1.3329121 51.9641762, 1.3328042 51.9640801, 1.3327844 51.9640546, 1.3327692 51.9640331)",Oak Close,,
4742487,False,,residential,,False,33.585,"LINESTRING (1.3331436 51.9646108, 1.3333741 51.9646969, 1.3335685 51.9647612)",,,
4273060,False,,residential,,False,231.04700000000003,"LINESTRING (1.3335685 51.9647612, 1.3345761 51.9634176, 1.3349372 51.9628628)",Wadgate Road,,
4273060,False,,residential,,True,21.635,"LINESTRING (1.3335685 51.9647612, 1.3334619 51.9648681, 1.3333978 51.9649248)",Wadgate Road,,
4742487,False,,residential,,True,33.585,"LINESTRING (1.3335685 51.9647612, 1.3333741 51.9646969, 1.3331436 51.9646108)",,,
4730270,False,,tertiary,30 mph,True,5.822,"LINESTRING (1.3332821 51.9672219, 1.3332223 51.9672591)",Grange Farm Avenue,,
4730270,False,,tertiary,30 mph,False,68.578,"LINESTRING (1.3332821 51.9672219, 1.3335074 51.9670976, 1.3340277 51.9668104)",Grange Farm Avenue,,
4742490,False,,residential,,False,125.77000000000002,"LINESTRING (1.3332821 51.9672219, 1.333165 51.967141, 1.3331083 51.9671018, 1.3330572 51.9670808, 1.3330133 51.9670737, 1.33293 51.967079, 1.332698 51.9671393, 1.332599 51.9671691, 1.3325211 51.967196, 1.3324633 51.9672191, 1.3322459 51.9673219, 1.3321929 51.9673494, 1.3321543 51.9673714, 1.3320805 51.9674165, 1.331922 51.9675151, 1.331896 51.9675273, 1.3318735 51.9675358, 1.3318519 51.9675429, 1.3318271 51.9675475, 1.3317978 51.9675489)",Hall Pond Way,,
4742499,False,,residential,,True,115.03399999999999,"LINESTRING (1.3301451 51.96542, 1.3296546 51.9655649, 1.3296901 51.9656065, 1.3298954 51.9658474, 1.3299211 51.965883, 1.3299428 51.9659081, 1.3299684 51.9659284, 1.3299993 51.965949, 1.3300355 51.9659674, 1.3300731 51.9659832, 1.3301056 51.9659929, 1.3301426 51.9660022, 1.3303005 51.9660342, 1.3303823 51.9660502)",Shotley Close,,
4742507,False,,residential,,False,77.86399999999999,"LINESTRING (1.3294156 51.9616567, 1.3295465 51.961627, 1.3296832 51.9615932, 1.329939 51.9615348, 1.3301341 51.9614895, 1.3304788 51.9614095)",Yeoman Road,,
39810048,False,,tertiary,30 mph,False,155.459,"LINESTRING (1.3294156 51.9616567, 1.3292419 51.9613966, 1.3291213 51.961207, 1.3290217 51.9610399, 1.3288196 51.9606873, 1.3287065 51.9605087, 1.3286057 51.960351)",Grange Road,,
39810048,False,,tertiary,30 mph,True,119.53399999999999,"LINESTRING (1.3294156 51.9616567, 1.330107 51.9625485, 1.33021 51.9626075)",Grange Road,,
4730270,False,,tertiary,30 mph,False,5.822,"LINESTRING (1.3332223 51.9672591, 1.3332821 51.9672219)",Grange Farm Avenue,,
