osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,width,maxspeed
41659640,False,,,Carrer de Viriato,residential,False,51.91,,"LINESTRING (-0.7700913 38.3844648, -0.7702566 38.3849133)",,
41659640,False,,,Carrer de Viriato,residential,True,47.001,,"LINESTRING (-0.7700913 38.3844648, -0.7699417 38.3840587)",,
41677669,True,,,calle Luis Calpena,residential,False,112.524,,"LINESTRING (-0.7700913 38.3844648, -0.7688728 38.3847991)",,
41676170,True,,,calle Valencia,residential,False,52.562,,"LINESTRING (-0.7683182 38.3849554, -0.7685169 38.3854017)",,
367342064,True,,,calle Hernán Cortés,residential,False,95.528,,"LINESTRING (-0.7683182 38.3849554, -0.7672875 38.3852475)",,
41677671,True,,,carrer la Font,residential,False,46.865,,"LINESTRING (-0.7672875 38.3852475, -0.7671059 38.3848508)",,
367342064,True,,,calle Hernán Cortés,residential,False,60.593,,"LINESTRING (-0.7672875 38.3852475, -0.7668836 38.3853497, -0.7666385 38.3854399)",,
41659641,False,,,calle del Cid,residential,False,39.177,,"LINESTRING (-0.7687369 38.3885016, -0.7683145 38.3886221)",,
41659641,False,,,calle del Cid,residential,True,50.45,,"LINESTRING (-0.7687369 38.3885016, -0.7692804 38.3883455)",,
43152660,False,,,calle Covadonga,residential,False,47.935,,"LINESTRING (-0.7687369 38.3885016, -0.768556 38.3880945)",,
41677671,True,,,carrer la Font,residential,False,71.554,,"LINESTRING (-0.7682438 38.3873923, -0.7679716 38.3867852)",,
43105937,True,,,Carrer d'Alacant,residential,False,38.279,,"LINESTRING (-0.7682438 38.3873923, -0.7678275 38.387502)",,
43152660,False,,,calle Covadonga,residential,True,82.687,,"LINESTRING (-0.7682438 38.3873923, -0.768556 38.3880945)",,
45074733,True,,CV-8420,calle Emilio Castelar,tertiary,False,8.118,,"LINESTRING (-0.7671059 38.3848508, -0.7671935 38.384826)",,
43017042,True,,,calle San José,residential,False,46.974,,"LINESTRING (-0.7666726 38.3859108, -0.7667172 38.3863318)",,
43024951,True,,,calle Jorge Juan,residential,False,61.166000000000004,,"LINESTRING (-0.7666726 38.3859108, -0.7664918 38.3859156, -0.7659712 38.3859027)",,
41677671,True,,,carrer la Font,residential,False,51.681,,"LINESTRING (-0.76748 38.3856871, -0.7672875 38.3852475)",,
41677672,True,,,calle maestro Segura,residential,False,74.64,,"LINESTRING (-0.76748 38.3856871, -0.7666726 38.3859108)",,
41676170,True,,,calle Valencia,residential,False,50.209,,"LINESTRING (-0.7685169 38.3854017, -0.7687068 38.385828)",,
41677673,True,,,calle San Alfonso,residential,False,95.786,,"LINESTRING (-0.7685169 38.3854017, -0.76748 38.3856871)",,
41677671,True,,,carrer la Font,residential,False,50.478,,"LINESTRING (-0.7676716 38.3861155, -0.76748 38.3856871)",,
41678182,True,,,calle Carlos I,residential,False,95.724,,"LINESTRING (-0.7676716 38.3861155, -0.7687068 38.385828)",,
41676170,True,,,calle Valencia,residential,False,38.843,,"LINESTRING (-0.7687068 38.385828, -0.7688537 38.3861578)",,
41678182,True,,,calle Carlos I,residential,False,51.473,,"LINESTRING (-0.7687068 38.385828, -0.7692618 38.3856698)",,
41678235,True,,,calle general marqués de La Romana,residential,False,109.59,,"LINESTRING (-0.7690692 38.3852374, -0.7702566 38.3849133)",,
367342063,True,,,La Glorieta,residential,False,51.656,,"LINESTRING (-0.7690692 38.3852374, -0.7688728 38.3847991)",,
41659640,False,,,Carrer de Viriato,residential,False,91.655,,"LINESTRING (-0.7702566 38.3849133, -0.7705484 38.3857052)",,
41659640,False,,,Carrer de Viriato,residential,True,51.91,,"LINESTRING (-0.7702566 38.3849133, -0.7700913 38.3844648)",,
41678235,True,,,calle general marqués de La Romana,residential,False,83.93,,"LINESTRING (-0.7702566 38.3849133, -0.7711654 38.3846638)",,
41679263,True,,,calle Ruperto Chapí,residential,False,1.76,,"LINESTRING (-0.7711654 38.3846638, -0.7711666 38.3846796)",2.5,
30335233,True,,CV-8420,calle cardenal Cisneros,tertiary,False,126.152,,"LINESTRING (-0.7709626 38.3839208, -0.7724046 38.384018)",,
41679263,True,,,calle Ruperto Chapí,residential,False,66.132,,"LINESTRING (-0.7709626 38.3839208, -0.7711212 38.3845024)",2.5,
41679264,False,,,calle Jaime Balmes,residential,False,113.659,,"LINESTRING (-0.7725246 38.3847799, -0.7712883 38.385105)",,
43106645,True,,,calle Felipe II,residential,False,41.461,,"LINESTRING (-0.7725246 38.3847799, -0.7725902 38.3851492)",,
41679263,True,,,calle Ruperto Chapí,residential,False,42.662,,"LINESTRING (-0.7712883 38.385105, -0.7713986 38.3854788)",2.5,
41679264,False,,,calle Jaime Balmes,residential,True,113.659,,"LINESTRING (-0.7712883 38.385105, -0.7725246 38.3847799)",,
41679263,True,,,calle Ruperto Chapí,residential,False,48.477,,"LINESTRING (-0.7711666 38.3846796, -0.7712883 38.385105)",2.5,
