osmid,name,highway,oneway,reversed,length,geometry,ref
254298184,Calle Ledanca,residential,False,True,96.475,"LINESTRING (-2.8683669 40.7588455, -2.8684486 40.7589297, -2.8685135 40.7590027, -2.8685215 40.7590118, -2.8685963 40.7591581, -2.8686766 40.7593423, -2.8687135 40.7594851, -2.8687131 40.7596529)",
254298186,,residential,False,False,39.14,"LINESTRING (-2.8683669 40.7588455, -2.8685093 40.7587623, -2.8686308 40.7587082, -2.8687702 40.7586811)",
254298186,,residential,False,True,39.14,"LINESTRING (-2.8687702 40.7586811, -2.8686308 40.7587082, -2.8685093 40.7587623, -2.8683669 40.7588455)",
254298184,Calle Ledanca,residential,False,True,69.915,"LINESTRING (-2.8686002 40.7601036, -2.8683147 40.760694)",
254298187,Calle Horno,residential,False,False,19.961,"LINESTRING (-2.8686002 40.7601036, -2.8688277 40.7601539)",
254298184,Calle Ledanca,residential,False,False,51.274,"LINESTRING (-2.8686002 40.7601036, -2.8686809 40.7599062, -2.8687131 40.7596529)",
254298187,Calle Horno,residential,False,False,12.766,"LINESTRING (-2.8691347 40.7602349, -2.8692615 40.760172)",
254298187,Calle Horno,residential,False,True,27.381,"LINESTRING (-2.8691347 40.7602349, -2.8688277 40.7601539)",
254298188,Calle Monjas Bernardas,residential,False,False,55.35,"LINESTRING (-2.8691347 40.7602349, -2.8688988 40.7606995)",
254298187,Calle Horno,residential,False,True,12.766,"LINESTRING (-2.8692615 40.760172, -2.8691347 40.7602349)",
338282059,Avenida de la Constitución,secondary,False,True,23.906,"LINESTRING (-2.8692615 40.760172, -2.8692329 40.7599581)",CM-2011
338282059,Avenida de la Constitución,secondary,False,False,64.849,"LINESTRING (-2.8692615 40.760172, -2.86932 40.76061, -2.8693335 40.7607526)",CM-2011
254298182,Calle del Rubio,residential,False,False,21.7,"LINESTRING (-2.8687346 40.7610154, -2.8684944 40.7609448)",
254298188,Calle Monjas Bernardas,residential,False,True,37.751,"LINESTRING (-2.8687346 40.7610154, -2.8688988 40.7606995)",
254298182,Calle del Rubio,residential,False,True,39.738,"LINESTRING (-2.8687346 40.7610154, -2.8689075 40.7610765, -2.8691468 40.7611881)",
338282056,Calle Jacinto Mejías,residential,False,False,3.458,"LINESTRING (-2.8684167 40.7611634, -2.8684275 40.7611334)",
254298189,Calle Huertas Altas,residential,False,False,93.539,"LINESTRING (-2.8684167 40.7611634, -2.8679411 40.761074, -2.8677803 40.7607627, -2.8677088 40.7606382)",
"[338282056, 254298180]","['Plaza de San Felipe', 'Calle Jacinto Mejías']",residential,False,True,85.99799999999999,"LINESTRING (-2.8684167 40.7611634, -2.868292 40.7615144, -2.868787 40.7616801)",
254298189,Calle Huertas Altas,residential,False,False,74.244,"LINESTRING (-2.8677088 40.7606382, -2.867648 40.7605706, -2.8675444 40.7604596, -2.8675103 40.760406, -2.8674979 40.7603865, -2.8673374 40.7604622, -2.867238 40.7605102, -2.8671641 40.7605425, -2.8671409 40.760612)",
254298189,Calle Huertas Altas,residential,False,True,93.539,"LINESTRING (-2.8677088 40.7606382, -2.8677803 40.7607627, -2.8679411 40.761074, -2.8684167 40.7611634)",
254298190,Calle Santa Lucia,residential,False,False,38.052,"LINESTRING (-2.8677088 40.7606382, -2.8678997 40.7605012, -2.8680711 40.7604412)",
254298190,Calle Santa Lucia,residential,False,True,38.052,"LINESTRING (-2.8680711 40.7604412, -2.8678997 40.7605012, -2.8677088 40.7606382)",
338282057,Calle Santa Lucia,residential,False,False,26.354999999999997,"LINESTRING (-2.8680711 40.7604412, -2.8679705 40.7604086, -2.8678371 40.7602922)",
338282057,Calle Santa Lucia,residential,False,True,34.989000000000004,"LINESTRING (-2.8680711 40.7604412, -2.8681461 40.7605297, -2.8682017 40.7606029, -2.8682659 40.7606521, -2.8683147 40.760694)",
946811766,,residential,False,True,21.439,"LINESTRING (-2.8680711 40.7604412, -2.8681254 40.7603463, -2.8681556 40.7602599)",
254298188,Calle Monjas Bernardas,residential,False,False,37.751,"LINESTRING (-2.8688988 40.7606995, -2.8687346 40.7610154)",
254298188,Calle Monjas Bernardas,residential,False,True,55.35,"LINESTRING (-2.8688988 40.7606995, -2.8691347 40.7602349)",
254298191,,residential,False,False,37.085,"LINESTRING (-2.8688988 40.7606995, -2.8693335 40.7607526)",
254298191,,residential,False,True,37.085,"LINESTRING (-2.8693335 40.7607526, -2.8688988 40.7606995)",
338282059,Avenida de la Constitución,secondary,False,False,9.364,"LINESTRING (-2.8693335 40.7607526, -2.8693278 40.7608367)",CM-2011
338282059,Avenida de la Constitución,secondary,False,True,64.849,"LINESTRING (-2.8693335 40.7607526, -2.86932 40.76061, -2.8692615 40.760172)",CM-2011
525136708,,residential,False,True,19.587,"LINESTRING (-2.8702893 40.7581936, -2.8704604 40.7583129)",
254298195,Calle de San Miguel,residential,False,False,47.027,"LINESTRING (-2.8702893 40.7581936, -2.8701532 40.7583292, -2.8700067 40.75847, -2.8699496 40.7585292)",
