osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,tunnel
43734961,Calle Mula,residential,False,True,1.961,"LINESTRING (-1.246196 38.031093, -1.2461749 38.0310989)",,,,
198813406,Calle Chile,residential,False,False,78.058,"LINESTRING (-1.246196 38.031093, -1.2459094 38.0304283)",,,,
43734961,Calle Mula,residential,False,True,53.948,"LINESTRING (-1.2467878 38.0309585, -1.246196 38.031093)",,,,
43734971,Calle Perú,residential,False,False,81.353,"LINESTRING (-1.2467878 38.0309585, -1.2464605 38.0302738)",,,,
198813400,Calle San Agustín,residential,False,False,51.312,"LINESTRING (-1.2463354 38.0315427, -1.2461749 38.0310989)",,,,
198813400,Calle San Agustín,residential,False,True,49.137,"LINESTRING (-1.2463354 38.0315427, -1.2464904 38.0319674)",,,,
530649665,Calle San Ignacio,residential,False,False,64.132,"LINESTRING (-1.2463354 38.0315427, -1.2456313 38.031701)",,,,
43734961,Calle Mula,residential,False,False,44.537,"LINESTRING (-1.2456911 38.0312222, -1.2461749 38.0310989)",,,,
43734961,Calle Mula,residential,False,True,22.003,"LINESTRING (-1.2456911 38.0312222, -1.2454536 38.0312867)",,,,
43734978,Calle Argentina,residential,False,False,76.7,"LINESTRING (-1.2456911 38.0312222, -1.245398 38.0305722)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,False,47.173,"LINESTRING (-1.245398 38.0305722, -1.2448895 38.030712)",,,,
43734967,Calle Doctor Fernández Vera,residential,False,True,47.564,"LINESTRING (-1.245398 38.0305722, -1.2459094 38.0304283)",,,,
43734978,Calle Argentina,residential,False,False,65.353,"LINESTRING (-1.245398 38.0305722, -1.2451492 38.0300181)",,,,
43734978,Calle Argentina,residential,False,True,76.7,"LINESTRING (-1.245398 38.0305722, -1.2456911 38.0312222)",,,,
43734961,Calle Mula,residential,False,False,26.107,"LINESTRING (-1.2451698 38.0313585, -1.2454536 38.0312867)",,,,
43734961,Calle Mula,residential,False,True,30.886,"LINESTRING (-1.2451698 38.0313585, -1.2448298 38.0314322)",,,,
