osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,service,junction,bridge
"[188809072, 577578629]",2,,Kielecka,tertiary,50,False,False,400.135,"LINESTRING (19.8754456 51.0856651, 19.876747 51.0847294, 19.8792064 51.0829507)",,,
"[577572441, 188809078]",1,,Południowa,residential,50,False,False,223.67000000000002,"LINESTRING (19.8754456 51.0856651, 19.8754247 51.0854876, 19.8754229 51.0854343, 19.8754253 51.0853615, 19.8754774 51.0850133, 19.8754949 51.0849135, 19.8755089 51.0848653, 19.8755297 51.084823, 19.8755524 51.0847884, 19.8758352 51.0844299, 19.8759185 51.0843121, 19.8760004 51.0841843, 19.8760616 51.084066, 19.8760975 51.0839896, 19.8761347 51.0839343, 19.8761824 51.0838826, 19.8762223 51.083839, 19.8762783 51.0837609)",,,
188809080,,,,residential,,False,True,71.684,"LINESTRING (19.8792064 51.0829507, 19.8785793 51.0826442, 19.8784945 51.0826088, 19.8784373 51.0825911, 19.8783721 51.0825843)",,,
"[188809072, 577578629]",2,,Kielecka,tertiary,50,False,True,400.135,"LINESTRING (19.8792064 51.0829507, 19.876747 51.0847294, 19.8754456 51.0856651)",,,
188809079,1,,Stodolniana,residential,50,False,False,152.008,"LINESTRING (19.8744095 51.0844403, 19.8744627 51.0844389, 19.8745004 51.0844327, 19.8745331 51.0844194, 19.8746628 51.0843427, 19.8747331 51.0843041, 19.8747967 51.0842762, 19.8750494 51.0841851, 19.8752479 51.0841136, 19.8754263 51.084048, 19.875699 51.0839375, 19.8758438 51.0838854, 19.8759631 51.0838476, 19.8761534 51.0837957, 19.8762783 51.0837609)",,,
"[839248332, 577572437, 577303863]",2,,Kościelna,residential,50,False,False,182.91699999999997,"LINESTRING (19.8744095 51.0844403, 19.8744056 51.0845448, 19.8743676 51.0852168, 19.8743569 51.085407, 19.8743502 51.0857269, 19.8743528 51.0858621, 19.8743594 51.0859388, 19.8743734 51.086023, 19.8743835 51.0860838)",,,
577572437,2,,Kościelna,residential,50,False,True,145.718,"LINESTRING (19.8744095 51.0844403, 19.8744135 51.0843555, 19.874462 51.0832012, 19.8744655 51.0831303)",,,
839248332,2,,Kościelna,residential,50,False,False,14.269,"LINESTRING (19.8743835 51.0860838, 19.8744879 51.0861941)",,,
188809076,1,,Zachodnia,residential,50,False,False,92.005,"LINESTRING (19.8743835 51.0860838, 19.8742832 51.0860924, 19.873899 51.0861265, 19.8738198 51.0861317, 19.8737608 51.086132, 19.8736276 51.0861268, 19.8735636 51.0861263, 19.873505 51.08613, 19.8731427 51.0861722, 19.8731353 51.0861731, 19.8730795 51.0861803)",,,
"[839248332, 577572437, 577303863]",2,,Kościelna,residential,50,False,True,182.91699999999997,"LINESTRING (19.8743835 51.0860838, 19.8743734 51.086023, 19.8743594 51.0859388, 19.8743528 51.0858621, 19.8743502 51.0857269, 19.8743569 51.085407, 19.8743676 51.0852168, 19.8744056 51.0845448, 19.8744095 51.0844403)",,,
