osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,junction,access,bridge
"[733977203, 1107105998]",False,,Piotra Skargi,"['residential', 'living_street']",,False,81.68299999999999,"LINESTRING (16.0974061 51.6632382, 16.0976402 51.6635695, 16.0977882 51.6637789, 16.0978815 51.663911)",,,,
812830818,False,,Młyńska,living_street,,False,18.727,"LINESTRING (16.0946511 51.6638387, 16.0944348 51.6637369)",,,,
142480162,True,,Młyńska,living_street,,False,82.923,"LINESTRING (16.0946511 51.6638387, 16.0947946 51.6641042, 16.0950331 51.6645458)",,,,
142480077,True,,Polska,living_street,,False,67.056,"LINESTRING (16.0963228 51.6634931, 16.095395 51.6636733)",,,,
404592941,False,,Polska,living_street,,True,79.913,"LINESTRING (16.0963228 51.6634931, 16.0974061 51.6632382)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,False,55.205,"LINESTRING (16.0963228 51.6634931, 16.0960229 51.6630328)",,,,
96139050,False,,Hugona Kołłątaja,living_street,,True,80.85,"LINESTRING (16.0963228 51.6634931, 16.0964859 51.6638617, 16.0966442 51.6641923)",,,,
733977203,False,,Piotra Skargi,residential,,False,66.378,"LINESTRING (16.0970509 51.6626834, 16.0974061 51.6632382)",,,,
733977203,False,,Piotra Skargi,residential,,True,37.844,"LINESTRING (16.0970509 51.6626834, 16.0969139 51.6624702, 16.0968878 51.6624274, 16.0968461 51.6623677)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,True,7.949,"LINESTRING (16.0959836 51.6629656, 16.0960229 51.6630328)",,,,
142480639,True,,Piotra Skargi,living_street,,False,80.024,"LINESTRING (16.0959836 51.6629656, 16.0960571 51.6629462, 16.096984 51.6627011, 16.0970509 51.6626834)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,False,39.052,"LINESTRING (16.0959836 51.6629656, 16.095838 51.6627633, 16.0957569 51.6626438)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,False,7.949,"LINESTRING (16.0960229 51.6630328, 16.0959836 51.6629656)",,,,
1106448491,False,,Hugona Kołłątaja,living_street,,True,55.205,"LINESTRING (16.0960229 51.6630328, 16.0963228 51.6634931)",,,,
142480838,False,,,living_street,,True,115.917,"LINESTRING (16.0960229 51.6630328, 16.0959392 51.6630497, 16.0959317 51.6630515, 16.0958056 51.6630812, 16.0955089 51.6631509, 16.095149 51.6632356, 16.0953766 51.6636479, 16.095395 51.6636733)",,,,
142480077,True,,Polska,living_street,,False,54.505,"LINESTRING (16.095395 51.6636733, 16.0946511 51.6638387)",,,,
142480838,False,,,living_street,,False,115.917,"LINESTRING (16.095395 51.6636733, 16.0953766 51.6636479, 16.095149 51.6632356, 16.0955089 51.6631509, 16.0958056 51.6630812, 16.0959317 51.6630515, 16.0959392 51.6630497, 16.0960229 51.6630328)",,,,
627878477,True,,Długa,living_street,,False,90.89,"LINESTRING (16.0966442 51.6641923, 16.0978815 51.663911)",,,,
96139050,False,,Hugona Kołłątaja,living_street,,False,80.85,"LINESTRING (16.0966442 51.6641923, 16.0964859 51.6638617, 16.0963228 51.6634931)",,,,
550008656,False,,Hugona Kołłątaja,living_street,,False,124.91899999999993,"LINESTRING (16.0966442 51.6641923, 16.0968577 51.6646006, 16.0968814 51.6646958, 16.0969365 51.6647859, 16.0970223 51.6649259, 16.0970268 51.6649339, 16.0970311 51.664942, 16.0970351 51.6649502, 16.0970369 51.664954, 16.0970389 51.6649584, 16.0970424 51.6649667, 16.0970456 51.664975, 16.0970486 51.6649833, 16.0970512 51.6649917, 16.0970536 51.6650001, 16.0970558 51.6650085, 16.0970577 51.6650169, 16.0970593 51.6650254, 16.0970606 51.6650339, 16.0970616 51.6650424, 16.0970624 51.6650509, 16.0970629 51.6650595, 16.0970631 51.665068, 16.0970631 51.6650765, 16.0970618 51.6651392, 16.0970613 51.6651656, 16.0970614 51.6651697, 16.0970617 51.6651738, 16.0970622 51.6651779, 16.0970629 51.665182, 16.0970639 51.6651861, 16.0970651 51.6651901, 16.0970665 51.6651939, 16.0970683 51.6651981, 16.0970701 51.665202, 16.0970723 51.6652059, 16.0970746 51.6652098, 16.0970771 51.6652136, 16.0970799 51.6652173, 16.0970828 51.665221, 16.097086 51.6652246, 16.0970894 51.6652282, 16.0971256 51.6652652)",,,,
627878476,True,,Długa,living_street,,False,117.866,"LINESTRING (16.0950331 51.6645458, 16.0966442 51.6641923)",,,,
550008657,False,,Młyńska,living_street,,False,57.722,"LINESTRING (16.0950331 51.6645458, 16.0953143 51.6649476, 16.0953695 51.6650211)",,,,
