osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,tunnel,bridge
261235012,False,,,Grunwaldzka,residential,,True,295.489,"LINESTRING (16.1774557 54.1902101, 16.1772446 54.1909113, 16.1771718 54.1911371, 16.1771301 54.1912666, 16.1770472 54.1916013, 16.1770901 54.1916581, 16.1771814 54.1917082, 16.1775101 54.1918934, 16.1775869 54.1919557, 16.1777331 54.1920672, 16.1778794 54.1921788, 16.1780316 54.1922948, 16.1781778 54.1924063, 16.1782591 54.1924814, 16.1782795 54.1925122, 16.1782933 54.1925526, 16.1782878 54.1925879)",,,
24047492,False,,,Rzemieślnicza,residential,,False,355.398,"LINESTRING (16.1758708 54.1944187, 16.1757305 54.1943652, 16.1752931 54.1941986, 16.174998 54.1940812, 16.17436 54.1938272, 16.1737033 54.1935642, 16.1735057 54.193485, 16.1739649 54.1930841, 16.1740587 54.1930688, 16.1742688 54.1929073, 16.1744639 54.1927573, 16.1744818 54.1927642, 16.1745334 54.1927841, 16.1749136 54.1929187, 16.1749942 54.192924, 16.1753396 54.1930529)",,,
262760854,False,,,Niepodległości,residential,,False,245.388,"LINESTRING (16.1758708 54.1944187, 16.1759626 54.1943354, 16.1763722 54.1939634, 16.1764653 54.1938737, 16.1765473 54.1937885, 16.1765608 54.1937565, 16.1765644 54.1937191, 16.1765424 54.193644, 16.1764747 54.1935253, 16.176446 54.1934726, 16.1764286 54.1934215, 16.1764236 54.1933647, 16.1764386 54.1933161, 16.1771836 54.1926426, 16.1773459 54.1924958)",,,
397984812,False,2,,Jana z Kolna,residential,,True,118.772,"LINESTRING (16.1753094 54.1901614, 16.1752516 54.1902256, 16.1742844 54.1909417, 16.1742065 54.1910109)",,,
172084781,True,2,,Podgrodzie,residential,,False,31.930999999999997,"LINESTRING (16.1814606 54.1929138, 16.1816249 54.1928347, 16.1818397 54.1927314)",,,
1243135237,False,3,,Podgrodzie,residential,,True,35.729,"LINESTRING (16.1814606 54.1929138, 16.1810595 54.1929763, 16.1809261 54.1929845)",,,
24047462,False,,,Podgrodzie,residential,,True,79.383,"LINESTRING (16.1794824 54.192731, 16.1790641 54.1926706, 16.1784865 54.1926032, 16.1782878 54.1925879)",,,
252256630,False,,,Bogusława II,residential,,True,140.495,"LINESTRING (16.1794824 54.192731, 16.1795256 54.1926629, 16.1795782 54.1925799, 16.1799918 54.1923858, 16.1799672 54.1915938)",,,
252256634,False,,,Podgrodzie,residential,,False,98.296,"LINESTRING (16.1794824 54.192731, 16.1796184 54.1927566, 16.1805828 54.1929462, 16.1807406 54.1929725, 16.1809261 54.1929845)",,,
1040950330,False,2,,Jana z Kolna,residential,,True,10.241,"LINESTRING (16.1742065 54.1910109, 16.1741042 54.1910809)",,,
172138125,True,,,Spółdzielcza,residential,,False,55.842,"LINESTRING (16.1742065 54.1910109, 16.1743246 54.1910841, 16.1747955 54.1913762)",,,
397984812,False,2,,Jana z Kolna,residential,,False,118.772,"LINESTRING (16.1742065 54.1910109, 16.1742844 54.1909417, 16.1752516 54.1902256, 16.1753094 54.1901614)",,,
262760854,False,,,Niepodległości,residential,,True,245.38799999999998,"LINESTRING (16.1773459 54.1924958, 16.1771836 54.1926426, 16.1764386 54.1933161, 16.1764236 54.1933647, 16.1764286 54.1934215, 16.176446 54.1934726, 16.1764747 54.1935253, 16.1765424 54.193644, 16.1765644 54.1937191, 16.1765608 54.1937565, 16.1765473 54.1937885, 16.1764653 54.1938737, 16.1763722 54.1939634, 16.1759626 54.1943354, 16.1758708 54.1944187)",,,
