osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,maxspeed,junction
102213627,False,16. ulica,residential,False,75.79899999999999,"LINESTRING (18.6973643 45.0364092, 18.6973728 45.0363185, 18.6973579 45.0361857, 18.6973471 45.0360892, 18.697335 45.0359852, 18.6973174 45.0358677, 18.6973033 45.0357298)",,,,
454585007,True,,primary,False,3.728,"LINESTRING (18.6889602 45.0382915, 18.6890004 45.0383093)",2,M-14.2,,roundabout
454585007,True,,primary,False,14.332,"LINESTRING (18.6888926 45.0385092, 18.6888477 45.038504, 18.6888065 45.0384901, 18.6887726 45.0384685, 18.6887486 45.0384411)",2,M-14.2,,roundabout
856416708,True,Ugljara,primary,False,29.552,"LINESTRING (18.6888926 45.0385092, 18.6887908 45.0385442, 18.6886822 45.0385842, 18.6885463 45.0386092)",2,M-14.2,50,
454585007,True,,primary,False,11.864,"LINESTRING (18.6890241 45.0384643, 18.6889878 45.0384889, 18.6889425 45.0385044, 18.6888926 45.0385092)",2,M-14.2,,roundabout
454585007,True,,primary,False,10.631,"LINESTRING (18.6887486 45.0384411, 18.6887366 45.0384104, 18.688737 45.0383785, 18.68875 45.038348)",2,M-14.2,,roundabout
454585007,True,,primary,False,19.491,"LINESTRING (18.68875 45.038348, 18.6887775 45.0383188, 18.6888163 45.038297, 18.6888627 45.0382845, 18.6889122 45.0382826, 18.6889602 45.0382915)",2,M-14.2,,roundabout
864831916,True,2. ulica,primary,False,30.807,"LINESTRING (18.68875 45.038348, 18.6887466 45.0382931, 18.6887323 45.0382147, 18.6886816 45.0380762)",1,M-14.2,,
267732253,False,2. ulica,primary,True,72.493,"LINESTRING (18.6886816 45.0380762, 18.6886322 45.0379087, 18.6885688 45.0376575, 18.6885441 45.0375158, 18.6885298 45.0374335)",2,M-14.2,30,
459903088,True,2. ulica,primary,False,32.717999999999996,"LINESTRING (18.6886816 45.0380762, 18.6887682 45.03816, 18.6888221 45.0382116, 18.6888882 45.0382546, 18.6889602 45.0382915)",1,M-14.2,,
459903084,False,3. ulica,tertiary,False,107.096,"LINESTRING (18.6894355 45.0383315, 18.6898531 45.0382136, 18.6901874 45.0381204, 18.6907003 45.0379726)",,,,
849290982,True,3. ulica,tertiary,False,35.663,"LINESTRING (18.6894355 45.0383315, 18.6891206 45.0384204, 18.6890241 45.0384643)",,,,
459903085,True,Ugljara,primary,False,25.101,"LINESTRING (18.6885463 45.0386092, 18.6886596 45.0385488, 18.6887077 45.0385039, 18.6887486 45.0384411)",2,M-14.2,50,
454585007,True,,primary,False,19.032999999999998,"LINESTRING (18.6890004 45.0383093, 18.6890321 45.0383352, 18.6890514 45.0383666, 18.6890566 45.0384006, 18.6890472 45.0384342, 18.6890241 45.0384643)",2,M-14.2,,roundabout
459903090,True,3. ulica,tertiary,False,34.620999999999995,"LINESTRING (18.6890004 45.0383093, 18.6891178 45.0383333, 18.6892099 45.0383388, 18.6893121 45.0383384, 18.6894355 45.0383315)",,,,
292189045,False,,residential,True,50.04,"LINESTRING (18.6988882 45.0307799, 18.6986229 45.031189)",,,,
1222257392,False,,residential,False,84.445,"LINESTRING (18.6911601 45.0340572, 18.6913253 45.0348076)",,,,
