osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,tunnel
299448073,,,Via del Lazzaretto,residential,,False,True,69.435,"LINESTRING (12.0661522 45.5486584, 12.0660706 45.5489674, 12.0660818 45.5492775)",,,
299448073,,,Via del Lazzaretto,residential,,False,False,69.435,"LINESTRING (12.0660818 45.5492775, 12.0660706 45.5489674, 12.0661522 45.5486584)",,,
299448073,,,Via del Lazzaretto,residential,,False,True,97.565,"LINESTRING (12.0660818 45.5492775, 12.0661008 45.549981, 12.0662169 45.5501346)",,,
215454449,1,SP38,Piazza XX Settembre,tertiary,,True,False,9.461,"LINESTRING (12.0740328 45.5496159, 12.0740538 45.5496997)",,roundabout,
353663722,,,Via Tiziano Vecellio,residential,,False,False,42.158,"LINESTRING (12.0673811 45.5496883, 12.0673716 45.5495865, 12.0673378 45.5493104)",,,
150363892,,,Contrada Cà Matta,residential,,False,True,165.94299999999998,"LINESTRING (12.0708345 45.5498881, 12.0706359 45.5493574, 12.0705945 45.5493502, 12.0705479 45.5493538, 12.0704995 45.549359, 12.0701267 45.5493992, 12.0700948 45.5494059, 12.0700802 45.5494143, 12.0700511 45.5499207, 12.0700451 45.5499597)",,,
299448068,,,Piazza Castello,residential,,False,True,58.105,"LINESTRING (12.0708345 45.5498881, 12.0709065 45.550142, 12.0709453 45.5503109, 12.0709639 45.5504026)",,,
"[150363901, 299448069]",,,"['Via Spalti Sud', 'Piazza Castello']",residential,,True,False,107.125,"LINESTRING (12.0708345 45.5498881, 12.0709039 45.5498798, 12.071126 45.5498521, 12.0715475 45.5497909, 12.0716606 45.550146, 12.0716892 45.5502346)",,,
"[215454458, 64040858]","['1', '2']",SP38,Piazza XX Settembre,tertiary,,True,False,62.588,"LINESTRING (12.0727175 45.5500106, 12.0730009 45.5499827, 12.0730658 45.5499707, 12.0731558 45.5499488, 12.0732286 45.5499234, 12.0732756 45.5498898, 12.0734242 45.5497892)",,,
299448073,,,Via del Lazzaretto,residential,,False,False,97.565,"LINESTRING (12.0662169 45.5501346, 12.0661008 45.549981, 12.0660818 45.5492775)",,,
299448068,,,Piazza Castello,residential,,False,False,58.105,"LINESTRING (12.0709639 45.5504026, 12.0709453 45.5503109, 12.0709065 45.550142, 12.0708345 45.5498881)",,,
150363896,,,Contrada Sorgata,residential,,False,True,126.689,"LINESTRING (12.069937 45.5506308, 12.0699882 45.5509844, 12.0710746 45.5507953)",,,
299448066,,SP38,Piazza Castello,residential,,True,False,83.929,"LINESTRING (12.069937 45.5506308, 12.0704498 45.5505286, 12.0709639 45.5504026)",,,
150363895,,,Contrada Gatto,residential,,True,False,44.509,"LINESTRING (12.0710746 45.5507953, 12.0709639 45.5504026)",,,
150363896,,,Contrada Sorgata,residential,,False,False,126.689,"LINESTRING (12.0710746 45.5507953, 12.0699882 45.5509844, 12.069937 45.5506308)",,,
430004537,,,Via della Bova,living_street,,False,True,2.849,"LINESTRING (12.0729204 45.5510572, 12.0729156 45.5510318)",,,
430004538,,,Via della Bova,living_street,,True,False,19.973,"LINESTRING (12.0729204 45.5510572, 12.0728871 45.5508791)",,,
430004537,,,Via della Bova,living_street,,False,False,55.19,"LINESTRING (12.0729204 45.5510572, 12.0728687 45.551088, 12.072249 45.5512025)",,,
150363895,,,Contrada Gatto,residential,,True,False,40.373,"LINESTRING (12.0711627 45.5511531, 12.0710746 45.5507953)",,,
150363894,,,Contrada Dirondella,residential,,True,False,110.948,"LINESTRING (12.0711627 45.5511531, 12.071402 45.5511185, 12.071447 45.5510789, 12.0714642 45.5509508, 12.0714017 45.5505279, 12.0713478 45.5503089)",,,
26687073,2,SR515,Via G. Tempesta,primary,50,False,False,120.78000000000003,"LINESTRING (12.072249 45.5512025, 12.0722143 45.5510375, 12.0721785 45.5508606, 12.0721425 45.5506026, 12.0721092 45.5503205, 12.0721088 45.5503171, 12.0721049 45.5502114, 12.0720952 45.5501616, 12.0720877 45.5501229)",,,
26687073,2,SR515,Via G. Tempesta,primary,50,False,True,118.36699999999999,"LINESTRING (12.072249 45.5512025, 12.0722723 45.5516784, 12.0722745 45.5517228, 12.0722837 45.5519417, 12.0722827 45.5522666)",,,
430004537,,,Via della Bova,living_street,,False,True,55.19,"LINESTRING (12.072249 45.5512025, 12.0728687 45.551088, 12.0729204 45.5510572)",,,
150363895,,,Contrada Gatto,residential,,True,False,36.528999999999996,"LINESTRING (12.0712547 45.5514752, 12.0712047 45.5513111, 12.0711627 45.5511531)",,,
150364016,2,,Via Spalti Nord,residential,,True,False,265.644,"LINESTRING (12.0712547 45.5514752, 12.070988 45.5515089, 12.0698424 45.5516534, 12.0694287 45.551704, 12.0693556 45.5517104, 12.0693035 45.551711, 12.0692433 45.5517008, 12.0691958 45.5516841, 12.0691474 45.5516592, 12.0691145 45.5516247, 12.0690907 45.5515863, 12.0690789 45.5515409, 12.0689918 45.5507936)",,,
362600196,,,Via della Fonda,residential,,False,True,33.845,"LINESTRING (12.0672766 45.5524542, 12.0672247 45.552152)",,,
835341053,,,Via della Fonda,residential,,False,False,49.323,"LINESTRING (12.0672766 45.5524542, 12.0673207 45.5528967)",,,
"[835464240, 835341052, 123575975]",,,Via della Fonda,residential,,False,False,143.56999999999996,"LINESTRING (12.0672766 45.5524542, 12.0675382 45.5524432, 12.0682813 45.5524118, 12.0690209 45.5523806, 12.0691171 45.5523765)",,,
506479993,,SP38,Via dei Novale,secondary,,False,True,22.762,"LINESTRING (12.0779637 45.5492049, 12.077679 45.5492513)",,,
506479993,,SP38,Via dei Novale,secondary,,False,False,32.107,"LINESTRING (12.0772774 45.5493167, 12.077679 45.5492513)",,,
201910210,,,Via Roncato,residential,,True,False,168.107,"LINESTRING (12.0772774 45.5493167, 12.0772744 45.5492731, 12.0771719 45.5478692, 12.0771594 45.5478366, 12.0771328 45.5478148)",,,
506479993,,SP38,Via dei Novale,secondary,,False,True,33.333,"LINESTRING (12.0772774 45.5493167, 12.076904 45.5493788, 12.0768793 45.5493869, 12.0768677 45.5493956)",,,
