osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,maxspeed
114204106,True,,Via Leopardi,residential,False,62.382,"LINESTRING (17.8051392 40.5562163, 17.8052767 40.5567675)",,
114077017,True,,Via Giulio Bechi,residential,False,53.256,"LINESTRING (17.8040455 40.5565729, 17.8039393 40.5561008)",1,
114077014,True,,Via Arco Ferraro,residential,False,80.362,"LINESTRING (17.8040455 40.5565729, 17.8037163 40.5566742, 17.803166 40.5568482)",,
114204106,True,,Via Leopardi,residential,False,68.484,"LINESTRING (17.8052767 40.5567675, 17.8054339 40.5573717)",,
1044342795,False,,Via Basilio II,residential,False,52.696,"LINESTRING (17.8052767 40.5567675, 17.8046619 40.5568475)",,
1044342795,False,,Via Basilio II,residential,True,51.124,"LINESTRING (17.8052767 40.5567675, 17.8058744 40.5566956)",,
114077024,True,,Via Francesco Petrarca,residential,False,50.222,"LINESTRING (17.8046619 40.5568475, 17.8045602 40.5564025)",,
1044342795,False,,Via Basilio II,residential,True,52.696,"LINESTRING (17.8046619 40.5568475, 17.8052767 40.5567675)",,
114078008,True,,Piazza primo maggio,residential,False,52.108,"LINESTRING (17.8061126 40.5572855, 17.806207 40.5577486)",,
1044342794,False,,Via Giuseppe Trono,residential,False,67.949,"LINESTRING (17.8061126 40.5572855, 17.8069046 40.557179)",,
114077025,True,,Via Giuseppe Trono,residential,False,49.149,"LINESTRING (17.8042274 40.5575214, 17.8048011 40.557448)",,
114077017,True,,Via Giulio Bechi,residential,False,106.582,"LINESTRING (17.8042274 40.5575214, 17.8040545 40.5566198, 17.8040455 40.5565729)",1,
114077010,False,,Via Lucci,residential,True,52.164,"LINESTRING (17.8070169 40.5576403, 17.8069046 40.557179)",,
114204124,False,,Via Ionima,residential,False,51.746,"LINESTRING (17.8070169 40.5576403, 17.8076205 40.5575612)",,
114204124,False,,Via Ionima,residential,True,45.653,"LINESTRING (17.8070169 40.5576403, 17.8064849 40.5577124)",,
114077022,True,,Via della Posterla,residential,False,41.407,"LINESTRING (17.8064849 40.5577124, 17.8067869 40.5580057)",,
114204124,False,,Via Ionima,residential,False,45.653,"LINESTRING (17.8064849 40.5577124, 17.8070169 40.5576403)",,
114204124,False,,Via Ionima,residential,True,23.82,"LINESTRING (17.8064849 40.5577124, 17.806207 40.5577486)",,
114077025,True,,Via Giuseppe Trono,residential,False,125.147,"LINESTRING (17.8027693 40.5577201, 17.8042274 40.5575214)",,
114106809,True,,Via Dante Alighieri,residential,False,56.654,"LINESTRING (17.8027693 40.5577201, 17.8030703 40.5581754)",,
114077020,False,,Via Luigi di Savoia,residential,False,66.482,"LINESTRING (17.8049049 40.5579235, 17.8056807 40.5578232)",,
114077020,False,,Via Luigi di Savoia,residential,True,50.066,"LINESTRING (17.8049049 40.5579235, 17.8043213 40.5580018)",,
912037129,True,,Via Francesco Petrarca,residential,False,53.596,"LINESTRING (17.8049049 40.5579235, 17.8048011 40.557448)",,
114152220,True,,Vico dei Marino,residential,False,88.968,"LINESTRING (17.8056632 40.5579365, 17.8066108 40.5582856)",,
114152221,True,,Via Centrale Elettrica,residential,False,39.874,"LINESTRING (17.8056632 40.5579365, 17.8053962 40.5582322)",1,
114152216,True,,Via Duca Asparra,residential,False,34.496,"LINESTRING (17.8067869 40.5580057, 17.8066108 40.5582856)",,
114077022,True,,Via della Posterla,residential,False,94.168,"LINESTRING (17.8067869 40.5580057, 17.8070565 40.5582471, 17.8074865 40.5586648)",,
114077020,False,,Via Luigi di Savoia,residential,False,33.174,"LINESTRING (17.8039347 40.5580541, 17.8043213 40.5580018)",,
114077020,False,,Via Luigi di Savoia,residential,True,74.25999999999999,"LINESTRING (17.8039347 40.5580541, 17.8031331 40.5581666, 17.8030703 40.5581754)",,
114152221,True,,Via Centrale Elettrica,residential,False,63.331,"LINESTRING (17.8053962 40.5582322, 17.8049722 40.5587019)",1,
911619719,True,,Via degli Agnano,residential,False,58.805,"LINESTRING (17.8053962 40.5582322, 17.8049331 40.5580581, 17.8049049 40.5579235)",,
114152205,True,,Via degli Agnano,residential,False,50.449,"LINESTRING (17.806408 40.5586161, 17.8058746 40.5584121)",,
114152216,True,,Via Duca Asparra,residential,False,85.226,"LINESTRING (17.806408 40.5586161, 17.806075 40.5593396)",,
114157592,False,,Via Zara,residential,False,48.757,"LINESTRING (17.8029018 40.5587525, 17.803473 40.5588153)",,
114157595,True,,Via Virgilio,residential,False,68.346,"LINESTRING (17.8029018 40.5587525, 17.8029912 40.558213, 17.8030703 40.5581754)",1,
114077018,True,,Via Paduano,residential,False,73.315,"LINESTRING (17.80391 40.5587632, 17.8047267 40.5589862)",,
114077021,True,,Via Emanuele Filiberto,residential,False,78.876,"LINESTRING (17.80391 40.5587632, 17.8039325 40.5581181, 17.8039347 40.5580541)",1,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,80.554,"LINESTRING (17.8120862 40.5589615, 17.812317 40.5582586)",1,20
900147947,True,,Via Giacomo Puccini,unclassified,False,48.515,"LINESTRING (17.8120862 40.5589615, 17.8126591 40.5589918)",,
114077018,True,,Via Paduano,residential,False,63.912,"LINESTRING (17.8047267 40.5589862, 17.8054419 40.5591736)",,
114099498,True,,Via Giacomo Puccini,residential,False,48.955,"LINESTRING (17.8138024 40.5590623, 17.8143797 40.5591006)",,
114106777,True,,Via Paisiello,residential,False,81.068,"LINESTRING (17.8138024 40.5590623, 17.8138611 40.5583346)",1,
900147946,False,,Piazza 25 luglio,residential,False,17.104,"LINESTRING (17.8138024 40.5590623, 17.8137944 40.559216)",,
114077018,True,,Via Paduano,residential,False,56.579,"LINESTRING (17.8054419 40.5591736, 17.806075 40.5593396)",,
114152207,True,,Via Antonello Florenzo,residential,False,92.228,"LINESTRING (17.8054419 40.5591736, 17.8058746 40.5584121)",1,
114157595,True,,Via Virgilio,residential,False,49.486,"LINESTRING (17.8028221 40.5591934, 17.8029018 40.5587525)",1,
114152218,True,,Via Sasso,residential,False,22.385,"LINESTRING (17.8039083 40.5593787, 17.803653 40.5593248)",,
114077021,True,,Via Emanuele Filiberto,residential,False,68.441,"LINESTRING (17.8039083 40.5593787, 17.8039099 40.5587998, 17.80391 40.5587632)",1,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,99.843,"LINESTRING (17.8118125 40.559835, 17.8120862 40.5589615)",1,20
114106759,False,,Via Accademia Affumicati,residential,False,48.109,"LINESTRING (17.8118125 40.559835, 17.8123615 40.55995)",1,
608972943,False,,Via Guglielmo Marconi,secondary,True,23.266,"LINESTRING (17.8026387 40.5601408, 17.8029121 40.560166)",2,
"[1138010489, 114152201]",False,,"[""Piazzetta Maria d'Enghien"", 'Via Amatore Sciesa']",residential,False,137.32899999999998,"LINESTRING (17.8026387 40.5601408, 17.8030019 40.5594927, 17.803156 40.5594112, 17.8034035 40.5593567, 17.8035609 40.5593366, 17.803653 40.5593248)",,
131483180,False,,Via Muscogiuri,residential,True,87.455,"LINESTRING (17.8142095 40.5606894, 17.8137916 40.5610752, 17.8135544 40.5612984)",1,
131592589,True,,Via De Amicis,unclassified,False,49.529,"LINESTRING (17.8039005 40.5608244, 17.8033142 40.5608253)",1,
112793004,True,,Via Sighelgaita,residential,False,62.682,"LINESTRING (17.8039005 40.5608244, 17.8039182 40.560318, 17.8039208 40.5602609)",1,
112793007,True,,Via Contessa Beltrame,residential,False,113.379,"LINESTRING (17.8033142 40.5608253, 17.8033025 40.5618449)",1,
114078012,True,,Via Epifanio Ferdinando,unclassified,False,110.012,"LINESTRING (17.8114898 40.5607935, 17.8118125 40.559835)",1,20
