osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,bridge,maxspeed,junction,tunnel,width
213802069,True,,residential,False,70.149,"LINESTRING (9.1141168 45.4342146, 9.1140269 45.4342004, 9.1133535 45.4341006, 9.1132371 45.4340846)",,Via degli Artigiani,,,,,
213802072,True,,residential,False,64.765,"LINESTRING (9.1149097 45.4343866, 9.1148378 45.4343729, 9.1141897 45.4342286, 9.1141168 45.4342146)",,Via degli Artigiani,,,,,
214356351,True,,residential,False,66.188,"LINESTRING (9.1149097 45.4343866, 9.1148878 45.4344379, 9.1146611 45.4349557)",,Via Fiume,,,,,
32871077,True,,residential,False,90.912,"LINESTRING (9.1145335 45.4332902, 9.1151376 45.4325911)",,Via Armando Diaz,,,,,
177187264,True,,secondary,False,26.522,"LINESTRING (9.1079794 45.4343987, 9.1081635 45.4341982)",,Viale Liberazione,,,,,
32869840,True,,unclassified,False,22.291,"LINESTRING (9.1079794 45.4343987, 9.1078617 45.434362, 9.1077057 45.4343736)",,Via Leopoldo Bozzi,,,,,
213930818,False,,secondary,True,5.635,"LINESTRING (9.1087689 45.4339039, 9.1088093 45.4339459)",SP59,Via Vittorio Emanuele Secondo,,,,,
"[1203533466, 216265140]",False,,secondary,False,95.29199999999999,"LINESTRING (9.1087689 45.4339039, 9.108713 45.4338446, 9.1086734 45.4338032, 9.1083751 45.433481, 9.1083261 45.4334109, 9.108315 45.4333755, 9.1083024 45.4333353, 9.1082802 45.4332375, 9.1082774 45.4331767, 9.1082864 45.4331408)",SP59,Via Vittorio Emanuele Secondo,,50,,,
29979782,False,,secondary,False,158.26399999999998,"LINESTRING (9.1075275 45.4325759, 9.1073653 45.4324507, 9.1072035 45.4323031, 9.1070604 45.432144, 9.1069413 45.4319879, 9.1065463 45.4313783, 9.1065267 45.4313483)",SP59,Via Vittorio Emanuele Secondo,,50,,,
178169804,True,,residential,False,117.54400000000001,"LINESTRING (9.1075275 45.4325759, 9.1075461 45.4325625, 9.107615 45.4324842, 9.1080429 45.431637, 9.1080655 45.4315922)",,Via Giuseppe Garibaldi,,,,,
