osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
6586881,Zuidpolderlaan,residential,30,False,False,64.751,"LINESTRING (5.060518 52.5088303, 5.0612212 52.509165, 5.0612717 52.509189)",,
"[6586881, 6587143]",Zuidpolderlaan,residential,30,False,True,49.737,"LINESTRING (5.060518 52.5088303, 5.0603816 52.5087593, 5.0601872 52.5086049, 5.060162 52.5085615, 5.060138 52.5084651)",,
6586912,Stellingmolen,residential,30,False,True,187.26,"LINESTRING (5.060518 52.5088303, 5.0602361 52.5090133, 5.0601747 52.5090773, 5.0601597 52.5090989, 5.0601287 52.5091432, 5.0599977 52.5093308, 5.0599748 52.5094445, 5.0599642 52.5095258, 5.0598429 52.5096839, 5.0596754 52.5098888, 5.05895 52.50969)",,
280291486,Weerenstraat,residential,30,False,True,64.977,"LINESTRING (5.057182 52.5088423, 5.057518 52.5082949)",,
6586914,Langemeerstraat,residential,30,False,False,39.577,"LINESTRING (5.057182 52.5088423, 5.0572183 52.5088541, 5.0575738 52.5089695, 5.057698 52.5090098)",,
6586914,Langemeerstraat,residential,30,False,True,62.045,"LINESTRING (5.057182 52.5088423, 5.0566233 52.5086911, 5.0563421 52.5086187)",,
6586908,Schermerstraat,residential,30,False,True,35.584,"LINESTRING (5.0548564 52.5089272, 5.0543648 52.5088137)",,
113704745,Schermerstraat,residential,30,False,True,27.419,"LINESTRING (5.0548564 52.5089272, 5.0550079 52.5086985)",,
6586834,Schermerstraat,residential,30,False,True,63.467,"LINESTRING (5.0548564 52.5089272, 5.0548246 52.5089731, 5.05471 52.50916, 5.05422 52.50904)",,
6586757,William Pontstraat,residential,30,False,False,64.20700000000001,"LINESTRING (5.0514767 52.5089778, 5.0513657 52.5089959, 5.0512609 52.5090748, 5.05105 52.50946)",,
6586757,William Pontstraat,residential,30,False,True,161.66699999999997,"LINESTRING (5.0514767 52.5089778, 5.0518092 52.508569, 5.0518755 52.5084668, 5.0520085 52.5082618, 5.05212 52.50809, 5.0521301 52.5080641, 5.0523725 52.5077346, 5.052422 52.5076444)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,66.97999999999999,"LINESTRING (5.0514767 52.5089778, 5.0516893 52.5090555, 5.0519341 52.5091138, 5.05238 52.50922)",,
6586823,Beemsterstraat,residential,30,False,False,90.068,"LINESTRING (5.0560959 52.5089658, 5.05598 52.50914, 5.0559968 52.5091849, 5.05601 52.50922, 5.0562288 52.5092731, 5.056449 52.5093265, 5.0568342 52.5094199)",,
6586823,Beemsterstraat,residential,30,False,True,42.039,"LINESTRING (5.0560959 52.5089658, 5.0561634 52.5088707, 5.0563421 52.5086187)",,
280291488,Wormerstraat,residential,30,False,True,79.408,"LINESTRING (5.0560959 52.5089658, 5.0557283 52.5088733, 5.055688 52.5088632, 5.0550079 52.5086985)",,
6586914,Langemeerstraat,residential,30,False,False,22.56,"LINESTRING (5.057698 52.5090098, 5.058 52.5090957)",,
6586807,Beemsterstraat,residential,30,False,False,95.24699999999999,"LINESTRING (5.057698 52.5090098, 5.0575191 52.5092691, 5.0574198 52.509413, 5.0573251 52.5094977, 5.0572857 52.5095025, 5.0572216 52.5095104, 5.0568342 52.5094199)",,
6586914,Langemeerstraat,residential,30,False,True,39.577,"LINESTRING (5.057698 52.5090098, 5.0575738 52.5089695, 5.0572183 52.5088541, 5.057182 52.5088423)",,
6586767,Schermerstraat,residential,30,False,False,27.004,"LINESTRING (5.05422 52.50904, 5.0543648 52.5088137)",,
6586767,Schermerstraat,residential,30,False,True,63.873000000000005,"LINESTRING (5.05422 52.50904, 5.0540715 52.5092568, 5.0540558 52.5092797, 5.0538847 52.5095767)",,
6586834,Schermerstraat,residential,30,False,False,63.467,"LINESTRING (5.05422 52.50904, 5.05471 52.50916, 5.0548246 52.5089731, 5.0548564 52.5089272)",,
6586914,Langemeerstraat,residential,30,False,True,22.56,"LINESTRING (5.058 52.5090957, 5.057698 52.5090098)",,
6586904,Weerenstraat,residential,30,False,True,91.47,"LINESTRING (5.058 52.5090957, 5.058177 52.5088213, 5.0582987 52.5086328, 5.058494 52.50833)",,
6586914,Langemeerstraat,residential,30,False,False,40.309,"LINESTRING (5.058 52.5090957, 5.0581078 52.5091294, 5.0585299 52.5092612)",,
6586881,Zuidpolderlaan,residential,30,False,False,30.016,"LINESTRING (5.0612717 52.509189, 5.0616503 52.5093296)",,
6586796,Spinnekopmolen,residential,30,False,False,52.102000000000004,"LINESTRING (5.0612717 52.509189, 5.06143 52.50905, 5.06162 52.50889, 5.0617671 52.5088411)",,
6586881,Zuidpolderlaan,residential,30,False,True,64.751,"LINESTRING (5.0612717 52.509189, 5.0612212 52.509165, 5.060518 52.5088303)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,False,34.236,"LINESTRING (5.05238 52.50922, 5.0528547 52.5093264)",,
6586803,Sternmeerhof,residential,30,False,True,143.949,"LINESTRING (5.05238 52.50922, 5.0526377 52.5088047, 5.0527075 52.5087544, 5.0528574 52.508768, 5.0530861 52.5088357, 5.0531284 52.5088499, 5.0531248 52.5089162, 5.0529931 52.5091022, 5.0528547 52.5093264)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,66.98,"LINESTRING (5.05238 52.50922, 5.0519341 52.5091138, 5.0516893 52.5090555, 5.0514767 52.5089778)",,
6586914,Langemeerstraat,residential,30,False,True,40.309,"LINESTRING (5.0585299 52.5092612, 5.0581078 52.5091294, 5.058 52.5090957)",,
6586932,Broekgouwstraat,tertiary,30,False,False,166.81699999999998,"LINESTRING (5.0585299 52.5092612, 5.0581581 52.509673, 5.0580065 52.5098551, 5.0579979 52.5098654, 5.0576491 52.5102606, 5.0573668 52.5105838)",,
6586932,Broekgouwstraat,tertiary,30,False,True,121.86099999999999,"LINESTRING (5.0585299 52.5092612, 5.0589397 52.5087986, 5.059196 52.5085093, 5.0593145 52.5083747, 5.0593924 52.5082994)",,
6586881,Zuidpolderlaan,residential,30,False,True,30.016,"LINESTRING (5.0616503 52.5093296, 5.0612717 52.509189)",,
6586662,Weidemolen,residential,30,False,False,38.396,"LINESTRING (5.0616503 52.5093296, 5.06153 52.5094598, 5.0613789 52.5096328)",,
6586881,Zuidpolderlaan,residential,30,False,False,106.092,"LINESTRING (5.0616503 52.5093296, 5.062275 52.5095885, 5.0623597 52.5096254, 5.0629292 52.5098811)",,
6586930,Jacob Matijsen Osterlinghstraat,residential,30,False,True,34.236,"LINESTRING (5.0528547 52.5093264, 5.05238 52.50922)",,
