osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,maxspeed,width
365743942,,Olde Superior Avenue,unclassified,False,True,49.804,,"LINESTRING (-81.699398 41.4970013, -81.699074 41.4970735, -81.6990287 41.4970911, -81.6988465 41.4971677)",,
"[565423197, 11795101]",,West 2nd Street,unclassified,False,False,102.66,,"LINESTRING (-81.6931628 41.4976429, -81.6931779 41.4975201, -81.6932637 41.4968366, -81.6932779 41.4967237)",25 mph,
"[425386283, 11811366]",,West Prospect Avenue,tertiary,False,False,97.21900000000001,"['5', '6']","LINESTRING (-81.6931628 41.4976429, -81.6929991 41.4976317, -81.6927939 41.4976151, -81.6927477 41.4976158, -81.6927015 41.4976212, -81.6926631 41.4976306, -81.6926135 41.4976496, -81.6923499 41.4977798, -81.6922459 41.4978329, -81.6921098 41.4979039)",25,
425386283,,West Prospect Avenue,tertiary,False,True,135.726,6,"LINESTRING (-81.6931628 41.4976429, -81.6946277 41.4977457, -81.6947854 41.4977566)",25,
1053591849,,West Huron Road,tertiary,False,True,134.918,6,"LINESTRING (-81.6932779 41.4967237, -81.6948913 41.4968329)",25 mph,
"[565423197, 11795101]",,West 2nd Street,unclassified,False,True,102.66,,"LINESTRING (-81.6932779 41.4967237, -81.6932637 41.4968366, -81.6931779 41.4975201, -81.6931628 41.4976429)",25 mph,
1053591849,,West Huron Road,tertiary,False,False,249.797,6,"LINESTRING (-81.6932779 41.4967237, -81.6912234 41.4965664, -81.6906647 41.4965305, -81.6906135 41.4965269, -81.6905655 41.4965262, -81.690515 41.4965274, -81.6904764 41.4965325, -81.6904273 41.4965407, -81.6903614 41.496558, -81.6903028 41.4965774)",25 mph,
"[1061988326, 49685454, 11795358]",US 6;US 20,"['South Roadway', 'West Roadway']",primary,True,False,153.159,"['3', '2']","LINESTRING (-81.6944822 41.4992505, -81.6943631 41.49911, -81.6941204 41.498832, -81.6940981 41.4988072, -81.6940636 41.498782, -81.694023 41.4987611, -81.6939805 41.4987422, -81.6939445 41.4987319, -81.6938961 41.4987242, -81.6938378 41.4987201, -81.6937964 41.4987212, -81.6937453 41.4987267, -81.693702 41.4987357, -81.69364 41.4987587, -81.6932804 41.4989429, -81.6931177 41.4990263)",25 mph,
"[49685449, 996192591]",US 6;US 20;US 42;SR 3,West Superior Avenue,primary,False,True,95.803,"['7', '6']","LINESTRING (-81.6944822 41.4992505, -81.6946145 41.499183, -81.694964 41.4990045, -81.6953173 41.4988241, -81.6954327 41.4987652)",25 mph,
49685450,US 6;US 20,Rockwell Avenue,primary,True,False,79.559,3,"LINESTRING (-81.6934864 41.5007238, -81.6935944 41.5006704, -81.6941148 41.5004127, -81.6942834 41.5003293)",25 mph,
223360250,CR 9,Saint Clair Avenue Northeast,tertiary,False,True,174.446,,"LINESTRING (-81.6900736 41.5039362, -81.6902158 41.5038609, -81.6916763 41.5031126, -81.6918015 41.5030493)",25 mph,
376546323,,East 9th Street,primary,False,False,109.57699999999998,,"LINESTRING (-81.6900736 41.5039362, -81.6899581 41.5038084, -81.6895957 41.5034161, -81.6893946 41.5031878, -81.6893275 41.5031248)",25 mph,
376546323,,East 9th Street,primary,False,False,25.657,,"LINESTRING (-81.6893275 41.5031248, -81.68922 41.5030082, -81.6891585 41.502932)",25 mph,
376546323,,East 9th Street,primary,False,True,109.577,,"LINESTRING (-81.6893275 41.5031248, -81.6893946 41.5031878, -81.6895957 41.5034161, -81.6899581 41.5038084, -81.6900736 41.5039362)",25 mph,
11797973,,Rockwell Avenue,tertiary,True,False,176.94700000000003,,"LINESTRING (-81.6891585 41.502932, -81.6892819 41.502869, -81.6897803 41.5026166, -81.6902026 41.5024027, -81.6907744 41.502113, -81.690919 41.502041)",25 mph,
376546323,,East 9th Street,primary,False,False,90.09,,"LINESTRING (-81.6891585 41.502932, -81.688683 41.5024137, -81.6885425 41.502266)",25 mph,
376546323,,East 9th Street,primary,False,True,25.657,,"LINESTRING (-81.6891585 41.502932, -81.68922 41.5030082, -81.6893275 41.5031248)",25 mph,
223614084,,East 9th Street,primary,False,False,55.331,6,"LINESTRING (-81.6880843 41.5017352, -81.6877901 41.5014002, -81.6877179 41.5013201)",25 mph,
651637606,,East 9th Street,primary,False,True,70.289,6,"LINESTRING (-81.6880843 41.5017352, -81.6883723 41.5020637, -81.6884404 41.5021414, -81.6885425 41.502266)",25 mph,
223614084,,East 9th Street,primary,False,True,55.331,6,"LINESTRING (-81.6877179 41.5013201, -81.6877901 41.5014002, -81.6880843 41.5017352)",25 mph,
"[11800349, 459198590]",,Vincent Avenue,unclassified,False,True,176.972,,"LINESTRING (-81.6877179 41.5013201, -81.6878615 41.5012409, -81.6882724 41.5010361, -81.6888271 41.5008763, -81.6892336 41.5007627, -81.689588 41.5005871)",,
11809856,CR 9,Saint Clair Avenue Northeast,tertiary,False,False,213.382,,"LINESTRING (-81.6918015 41.5030493, -81.6919227 41.5029893, -81.6920554 41.5029188, -81.6926649 41.5026042, -81.6926838 41.5025945, -81.6929337 41.5024686, -81.6930264 41.5024211, -81.6934118 41.5022234, -81.6937459 41.5020532, -81.6939166 41.5019662)",,
222940889,,East 6th Street,unclassified,False,True,134.06,,"LINESTRING (-81.6918015 41.5030493, -81.6917018 41.5029334, -81.6914162 41.5026025, -81.6913826 41.5025636, -81.691351 41.502527, -81.6913171 41.5024888, -81.6909904 41.5021214, -81.690919 41.502041)",25 mph,
223360250,CR 9,Saint Clair Avenue Northeast,tertiary,False,False,174.44600000000003,,"LINESTRING (-81.6918015 41.5030493, -81.6916763 41.5031126, -81.6902158 41.5038609, -81.6900736 41.5039362)",25 mph,
222940889,,East 6th Street,unclassified,False,False,134.06,,"LINESTRING (-81.690919 41.502041, -81.6909904 41.5021214, -81.6913171 41.5024888, -81.691351 41.502527, -81.6913826 41.5025636, -81.6914162 41.5026025, -81.6917018 41.5029334, -81.6918015 41.5030493)",25 mph,
651607976,,East 6th Street,tertiary,False,True,89.247,,"LINESTRING (-81.690919 41.502041, -81.6908653 41.5019793, -81.6904405 41.5015112, -81.690317 41.501377)",25 mph,
651607978,,Rockwell Avenue,tertiary,True,False,161.358,,"LINESTRING (-81.690919 41.502041, -81.6910434 41.5019835, -81.6911418 41.5019331, -81.6913979 41.5018019, -81.6917679 41.5016123, -81.692016 41.501487, -81.6924164 41.5012793, -81.692521 41.501225)",25 mph,
"[11800349, 459198590]",,Vincent Avenue,unclassified,False,False,176.972,,"LINESTRING (-81.689588 41.5005871, -81.6892336 41.5007627, -81.6888271 41.5008763, -81.6882724 41.5010361, -81.6878615 41.5012409, -81.6877179 41.5013201)",,
"[651607977, 1070289393]",,East 6th Street,unclassified,False,False,106.77199999999999,,"LINESTRING (-81.689588 41.5005871, -81.6897167 41.5007264, -81.6901957 41.5012448, -81.690317 41.501377)",25 mph,
"[1070289394, 412054675]",,East 6th Street,unclassified,False,True,76.205,,"LINESTRING (-81.689588 41.5005871, -81.6893805 41.50036, -81.689361 41.500339, -81.6892651 41.4999612)",,
11809856,CR 9,Saint Clair Avenue Northeast,tertiary,False,False,125.926,,"LINESTRING (-81.6939166 41.5019662, -81.6940002 41.5019231, -81.6950164 41.5013997, -81.695163 41.501325)",,
11809856,CR 9,Saint Clair Avenue Northeast,tertiary,False,True,213.382,,"LINESTRING (-81.6939166 41.5019662, -81.6937459 41.5020532, -81.6934118 41.5022234, -81.6930264 41.5024211, -81.6929337 41.5024686, -81.6926838 41.5025945, -81.6926649 41.5026042, -81.6920554 41.5029188, -81.6919227 41.5029893, -81.6918015 41.5030493)",,
229823874,,West Mall Drive,unclassified,False,False,133.957,,"LINESTRING (-81.6939166 41.5019662, -81.6938263 41.5018671, -81.6937893 41.501828, -81.6936365 41.5016661, -81.6930479 41.501043, -81.6929919 41.5009805)",,
222940829,,Rockwell Avenue,tertiary,True,False,50.107,,"LINESTRING (-81.6929919 41.5009805, -81.6933327 41.5008036, -81.6933881 41.5007749, -81.6934864 41.5007238)",25 mph,
229823874,,West Mall Drive,unclassified,False,True,133.957,,"LINESTRING (-81.6929919 41.5009805, -81.6930479 41.501043, -81.6936365 41.5016661, -81.6937893 41.501828, -81.6938263 41.5018671, -81.6939166 41.5019662)",,
222940829,,Rockwell Avenue,tertiary,True,False,47.718,,"LINESTRING (-81.692521 41.501225, -81.6929919 41.5009805)",25 mph,
11805608,,East 3rd Street,unclassified,False,False,89.447,2,"LINESTRING (-81.692521 41.501225, -81.6920361 41.5006702, -81.6919235 41.5005568)",25 mph,
"[11804465, 122815143]",,"['High Avenue', 'East 2nd Street']",unclassified,False,False,157.84400000000002,2,"LINESTRING (-81.6908934 41.4981533, -81.6907971 41.4978059, -81.6907103 41.4975132, -81.6898198 41.4976549, -81.6897134 41.4976782)",25 mph,
"[746710131, 690557371]",,Prospect Avenue East,tertiary,False,False,105.59700000000001,"['4', '3']","LINESTRING (-81.6908934 41.4981533, -81.6915156 41.4980491, -81.6916937 41.4980199, -81.6919059 41.4979833, -81.69195 41.4979706, -81.6919922 41.4979554, -81.6921098 41.4979039)",,
746710131,,Prospect Avenue East,tertiary,False,True,80.866,3,"LINESTRING (-81.6908934 41.4981533, -81.6906508 41.4981926, -81.6899435 41.498304)",,
55552333,,West Lakeside Avenue,tertiary,True,False,28.449,,"LINESTRING (-81.6991801 41.501666, -81.699486 41.5015521)",,
11806120,,West 4th Street,residential,True,False,217.797,,"LINESTRING (-81.6991801 41.501666, -81.698211 41.5005829, -81.6981966 41.5005669, -81.698058 41.500412, -81.6977375 41.5000324)",,
"[1092600875, 1092600876, 651637637]",,West Lakeside Avenue,tertiary,False,True,80.228,,"LINESTRING (-81.6991801 41.501666, -81.6990359 41.5017359, -81.6989861 41.5017627, -81.6985209 41.5020033, -81.6983852 41.5020735)",,
1053591850,,West 9th Street,tertiary,False,True,17.976,4,"LINESTRING (-81.6986431 41.4971136, -81.6988465 41.4971677)",25 mph,
"[1053591849, 11804950]",,West Huron Road,tertiary,False,False,167.501,6,"LINESTRING (-81.6986431 41.4971136, -81.6983388 41.4970835, -81.6982803 41.4970793, -81.6980309 41.4970557, -81.6968289 41.4969696, -81.6967697 41.4969654, -81.6966431 41.4969563)",25 mph,
222069110,US 6;US 20;US 42;SR 3,West Superior Avenue,primary,False,True,164.18300000000002,4,"LINESTRING (-81.6986431 41.4971136, -81.6984673 41.4972212, -81.6979405 41.4975005, -81.6971888 41.4979006, -81.697037 41.4979684)",25 mph,
651556742,,West Prospect Avenue,tertiary,False,False,14.4,6,"LINESTRING (-81.6965423 41.4978699, -81.69637 41.4978591)",25,
"[565423199, 55553590, 11788663]",,West 6th Street,unclassified,False,False,101.937,,"LINESTRING (-81.6965423 41.4978699, -81.69655 41.497776, -81.6965851 41.4974584, -81.6966279 41.4970751, -81.6966431 41.4969563)",25 mph,
"[425386289, 651556742]",,West Prospect Avenue,tertiary,False,True,43.842,6,"LINESTRING (-81.6965423 41.4978699, -81.6968203 41.4978878, -81.6968624 41.4978931, -81.6969074 41.4979035, -81.6969551 41.4979189, -81.696996 41.497939, -81.697037 41.4979684)",25,
55552346,,West 3rd Street,tertiary,False,False,103.89299999999999,3,"LINESTRING (-81.6990844 41.5028473, -81.6989997 41.5027535, -81.6984777 41.5021758, -81.6983852 41.5020735)",,
"[11809360, 671586718]",,Huron Road East,tertiary,False,True,115.80600000000001,"['4', '2']","LINESTRING (-81.6880619 41.4977325, -81.6882751 41.497621, -81.688481 41.497522, -81.688825 41.4973432, -81.6890428 41.4972262, -81.6892079 41.4971429)",25 mph,
98561414,US 6;US 20,East Roadway,primary,True,False,69.361,3,"LINESTRING (-81.6924166 41.4995502, -81.6924217 41.4995566, -81.6927521 41.4999187, -81.6928859 41.5000655)",25 mph,
412054673,,East 6th Street,unclassified,False,False,13.337,,"LINESTRING (-81.6892651 41.4999612, -81.6892336 41.4998436)",,
"[1070289394, 412054675]",,East 6th Street,unclassified,False,False,76.205,,"LINESTRING (-81.6892651 41.4999612, -81.689361 41.500339, -81.6893805 41.50036, -81.689588 41.5005871)",,
1089092584,US 20,Euclid Avenue,primary,True,False,93.13499999999999,2,"LINESTRING (-81.6892651 41.4999612, -81.6894776 41.4999321, -81.6902546 41.4998257, -81.6903652 41.4998106)",25 mph,
99653010,,West Mall Drive,unclassified,True,False,216.433,,"LINESTRING (-81.6953772 41.5035761, -81.6953022 41.5034953, -81.6945975 41.5027289, -81.6940191 41.5020794, -81.6940068 41.5020648, -81.6939166 41.5019662)",,
"[1229679173, 1230263421]",,Lakeside Avenue East,tertiary,False,False,124.336,6,"LINESTRING (-81.6953772 41.5035761, -81.6957358 41.503402, -81.695886 41.5033287, -81.6964854 41.5030318, -81.696625 41.5029621)",25 mph,
651556742,,West Prospect Avenue,tertiary,False,True,14.4,6,"LINESTRING (-81.69637 41.4978591, -81.6965423 41.4978699)",25,
