osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,ref
10135681,South Morning Breeze Drive,residential,False,True,72.457,"LINESTRING (-112.009118 40.6510633, -112.009118 40.6511393, -112.0091239 40.6517149)",,,
10140026,West Niagara Way,residential,False,False,190.751,"LINESTRING (-112.009118 40.6510633, -112.009015 40.6510632, -112.0072018 40.6510623, -112.006944 40.6510468, -112.006858 40.6510416)",,,
10134047,West Red Lodge Circle,residential,False,False,120.95400000000001,"LINESTRING (-112.0082216 40.6517031, -112.0080657 40.6516779, -112.0078463 40.6516639, -112.0069521 40.6516687, -112.006868 40.6516842, -112.0067968 40.6516978)",,,
10135681,South Morning Breeze Drive,residential,False,False,73.616,"LINESTRING (-112.0091261 40.6530204, -112.009127 40.6529006, -112.009133 40.6524202, -112.0091349 40.6523584)",,,
"[10140723, 989157812, 989157813]",5415 South,primary,False,False,260.526,"LINESTRING (-112.0091261 40.6530204, -112.0087991 40.6530163, -112.0085543 40.6530052, -112.0083214 40.6529723, -112.0077999 40.6528422, -112.0075583 40.6528052, -112.0073592 40.6527927, -112.0069307 40.652792, -112.006278 40.6527881, -112.0060754 40.6527869)",5,40 mph,UT 173
10135681,South Morning Breeze Drive,residential,False,False,71.56099999999999,"LINESTRING (-112.0091349 40.6523584, -112.009132 40.6522938, -112.0091239 40.6517149)",,,
10135681,South Morning Breeze Drive,residential,False,True,73.616,"LINESTRING (-112.0091349 40.6523584, -112.009133 40.6524202, -112.009127 40.6529006, -112.0091261 40.6530204)",,,
"[10127256, 10139618]","['Silvertip Drive', 'Red Lodge Drive']",residential,False,"[False, True]",248.601,"LINESTRING (-112.0091349 40.6523584, -112.009023 40.6523581, -112.0083053 40.652356, -112.0079317 40.6522888, -112.0075165 40.6522375, -112.0069249 40.6522345, -112.0068886 40.6521047, -112.0068799 40.6519669, -112.0067968 40.6516978)",,,
10140489,Heath Avenue,residential,False,False,106.398,"LINESTRING (-112.008564 40.654896, -112.0077846 40.6541437)",,,
10140489,Heath Avenue,residential,False,True,81.225,"LINESTRING (-112.008564 40.654896, -112.0091874 40.6554527)",,,
10136850,West Cross Street,residential,False,False,78.814,"LINESTRING (-112.0086516 40.656108, -112.0093918 40.6556755)",,,
10144870,South Charlotte Avenue,residential,False,False,410.0009999999999,"LINESTRING (-112.0086516 40.656108, -112.0064031 40.6539381, -112.0063414 40.6538666, -112.0062844 40.6537846, -112.0061822 40.6536138, -112.0061311 40.6534854, -112.0060938 40.6533253, -112.0060819 40.6532117, -112.0060746 40.6530611)",,,
10136850,West Cross Street,residential,False,True,78.814,"LINESTRING (-112.0093918 40.6556755, -112.0086516 40.656108)",,,
10140489,Heath Avenue,residential,False,False,30.184,"LINESTRING (-112.0093918 40.6556755, -112.0091874 40.6554527)",,,
10137150,4820 West,residential,False,False,80.167,"LINESTRING (-112.0059224 40.6571338, -112.0059341 40.6564129)",,,
10144984,5175 South,residential,False,True,204.107,"LINESTRING (-112.0059224 40.6571338, -112.0035028 40.6571265)",,,
10137149,4820 West,residential,False,False,30.490000000000002,"LINESTRING (-112.0060746 40.6530611, -112.006074 40.6529275, -112.0060754 40.6527869)",,,
10144870,South Charlotte Avenue,residential,False,True,410.001,"LINESTRING (-112.0060746 40.6530611, -112.0060819 40.6532117, -112.0060938 40.6533253, -112.0061311 40.6534854, -112.0061822 40.6536138, -112.0062844 40.6537846, -112.0063414 40.6538666, -112.0064031 40.6539381, -112.0086516 40.656108)",,,
33834709,5400 South,residential,False,False,122.16499999999999,"LINESTRING (-112.0060746 40.6530611, -112.0056732 40.653002, -112.0054655 40.6529872, -112.0051462 40.6529887, -112.0049434 40.6530222, -112.0047627 40.6530893, -112.004714 40.6531578)",,,
