osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,lanes
16255518,Knox Street,tertiary,False,False,54.599,"LINESTRING (-83.888331 36.866523, -83.8877744 36.8667299)",,,,
109677422,Court Square,secondary,True,False,61.438,"LINESTRING (-83.888331 36.866523, -83.888442 36.8667, -83.888481 36.866737, -83.888527 36.866765, -83.888583 36.866788, -83.888632 36.866793, -83.888682 36.866788, -83.888831 36.866737)",KY 6,,roundabout,
16255419,Goodman Lane,residential,False,True,62.166,"LINESTRING (-83.8943938 36.862733, -83.8943608 36.862587, -83.8942776 36.8624372, -83.8941944 36.8623563, -83.89407 36.862255)",,,,
109677432,Daniel Boone Drive,secondary,False,True,35.907,"LINESTRING (-83.8844691 36.866762, -83.884856 36.86667)",KY 11,,,
109677432,Daniel Boone Drive,secondary,False,False,76.786,"LINESTRING (-83.8844691 36.866762, -83.884023 36.866868, -83.88364 36.866954)",KY 11,,,
638353361,Daniel Boone Drive,secondary,False,False,34.272,"LINESTRING (-83.885224 36.8665788, -83.884856 36.86667)",KY 11,,,
638353361,Daniel Boone Drive,secondary,False,True,84.314,"LINESTRING (-83.885224 36.8665788, -83.885304 36.866559, -83.885461 36.866516, -83.885761 36.866424, -83.886044 36.866324, -83.886105 36.866301)",KY 11,,,
16253764,West Knox Street,residential,False,True,27.722,"LINESTRING (-83.889606 36.8660213, -83.889883 36.8659071)",,,,
16253764,West Knox Street,residential,False,False,63.696999999999996,"LINESTRING (-83.889606 36.8660213, -83.889449 36.866086, -83.888973 36.866289)",,,,
860868329,Jail Street,residential,False,False,103.38300000000001,"LINESTRING (-83.889606 36.8660213, -83.8898205 36.8664165, -83.8900534 36.8668793)",,,,
