osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
17426818,State Street,tertiary,False,False,140.998,"LINESTRING (-87.5201921 41.6206157, -87.5201684 41.6205744, -87.5201517 41.6205321, -87.5200861 41.6202708, -87.5200312 41.6200518, -87.5200285 41.6200412, -87.520003 41.619956, -87.5199668 41.6198858, -87.5199145 41.6198147, -87.5198675 41.6197725, -87.5197348 41.6196923, -87.5196255 41.6196482, -87.519568 41.619625, -87.5194344 41.6195751)",,,
161493171,Willow Court,tertiary,False,False,46.002,"LINESTRING (-87.5201921 41.6206157, -87.5200674 41.6206307, -87.5199655 41.6206327, -87.5199172 41.6206277, -87.5198635 41.6206167, -87.5196677 41.6205405)",,,
161493167,Rimbach Street,residential,False,True,145.91700000000003,"LINESTRING (-87.5218867 41.6182522, -87.522194 41.6183679, -87.5223591 41.6184252, -87.5225882 41.6185106, -87.5229229 41.6186283, -87.5229797 41.6186489, -87.5232741 41.6187556, -87.5234658 41.6188251)",2,20 mph,
435365105,Hohman Avenue,secondary,False,False,63.95099999999999,"LINESTRING (-87.5218867 41.6182522, -87.5220239 41.6180116, -87.5220582 41.617899, -87.5220683 41.6177901, -87.5220714 41.6177012)",,,
"[435365105, 435365101]",Hohman Avenue,secondary,False,True,34.578,"LINESTRING (-87.5218867 41.6182522, -87.5218674 41.6182861, -87.5217126 41.6185346)",5,,
237899577,Sibley Boulevard,secondary,False,False,100.49799999999999,"LINESTRING (-87.5263264 41.6209205, -87.5269398 41.6209218, -87.5275354 41.6209234)",,,
"[237899577, 435365107]",Sibley Boulevard,secondary,False,True,107.22499999999998,"LINESTRING (-87.5263264 41.6209205, -87.5261762 41.6209205, -87.5260582 41.6209145, -87.5259442 41.6209004, -87.5257913 41.6208724, -87.5257055 41.6208458, -87.5256357 41.6208242, -87.5256 41.62081, -87.5254144 41.620736, -87.5251363 41.6206042)",3,,
162016807,Douglas Avenue,residential,True,False,195.238,"LINESTRING (-87.5263163 41.6191647, -87.5263264 41.6209205)",,,
"[1217422770, 367367203]",Memorial Drive,residential,False,False,99.346,"LINESTRING (-87.5263163 41.6191647, -87.5257189 41.6191665, -87.5255979 41.6191669, -87.525229 41.619168, -87.5251348 41.6191288)",,,
367367203,Memorial Drive,residential,False,True,100.9,"LINESTRING (-87.5263163 41.6191647, -87.5269271 41.6191628, -87.5275301 41.6191609)",,,
162016807,Douglas Avenue,residential,True,False,202.846,"LINESTRING (-87.5263314 41.6173405, -87.5263163 41.6191647)",,,
24096980,153rd Street,residential,False,False,99.19,"LINESTRING (-87.5263314 41.6173405, -87.5269139 41.617339, -87.5275246 41.6173375)",,,
24096980,153rd Street,residential,False,True,99.265,"LINESTRING (-87.5263314 41.6173405, -87.525724 41.617342, -87.5251373 41.6173435)",,,
162016807,Douglas Avenue,residential,True,False,200.719,"LINESTRING (-87.5263248 41.6155354, -87.5263314 41.6173405)",,,
367367198,Pulaski Road,tertiary,False,False,98.503,"LINESTRING (-87.5263248 41.6155354, -87.5257188 41.6155378, -87.5251399 41.6155388)",,,
367367198,Pulaski Road,tertiary,False,True,99.29400000000001,"LINESTRING (-87.5263248 41.6155354, -87.5269009 41.6155331, -87.5275192 41.6155308)",,,
365039566,155th Street,residential,False,False,150.58,"LINESTRING (-87.5275245 41.6138373, -87.5257132 41.6138401)",,,
24088267,Forsythe Avenue,residential,False,False,73.598,"LINESTRING (-87.5275245 41.6138373, -87.5275226 41.6133893, -87.5275148 41.6131755)",,,
24088267,Forsythe Avenue,residential,False,True,93.894,"LINESTRING (-87.5275245 41.6138373, -87.5275263 41.6142663, -87.5275281 41.6146817)",,,
367367198,Pulaski Road,tertiary,False,False,99.29400000000001,"LINESTRING (-87.5275192 41.6155308, -87.5269009 41.6155331, -87.5263248 41.6155354)",,,
582837829,Forsythe Avenue,residential,True,False,51.327,"LINESTRING (-87.5275192 41.6155308, -87.5275786 41.6154383, -87.5275759 41.6151816, -87.5275298 41.6150853)",,,
