osmid,highway,oneway,reversed,length,name,geometry,lanes,junction,bridge,maxspeed
234984597,residential,False,False,236.748,Јаше Продановића,"LINESTRING (21.1043005 44.1896935, 21.1038309 44.189843, 21.1031713 44.1900051, 21.1028269 44.1900598, 21.1025342 44.1900695, 21.1022251 44.1900729, 21.1020005 44.1900551, 21.1014559 44.1899175)",,,,
234984597,residential,False,True,236.748,Јаше Продановића,"LINESTRING (21.1014559 44.1899175, 21.1020005 44.1900551, 21.1022251 44.1900729, 21.1025342 44.1900695, 21.1028269 44.1900598, 21.1031713 44.1900051, 21.1038309 44.189843, 21.1043005 44.1896935)",,,,
234984602,residential,False,False,128.217,,"LINESTRING (21.1014559 44.1899175, 21.1018047 44.1891534, 21.1019721 44.1888256)",,,,
1096367275,tertiary,False,False,120.108,Станоја Главаша,"LINESTRING (21.0993193 44.1811888, 21.0994853 44.1811672, 21.0996526 44.1811471, 21.1005005 44.1811048, 21.1005941 44.1811002, 21.1007219 44.1810864, 21.1008129 44.1810672)",,,,
234995297,residential,False,True,236.327,Хајдук Вељка,"LINESTRING (21.1010566 44.182229, 21.101 44.1825141, 21.1009926 44.1825336, 21.1009734 44.1825466, 21.1009479 44.1825542, 21.1007365 44.1825705, 21.1005259 44.182612, 21.1004558 44.1826272, 21.1003849 44.182655, 21.1000539 44.1828656, 21.0997592 44.1830902, 21.0994033 44.1833574, 21.0992561 44.1834687, 21.0992096 44.1834899, 21.0991792 44.1834954, 21.0991361 44.1834966, 21.0990897 44.1834905, 21.0989841 44.1834554)",,,,
234995338,residential,False,False,60.653,Краља Петра првог,"LINESTRING (21.1010566 44.182229, 21.1016425 44.182242, 21.1017025 44.182241, 21.1017582 44.1822338, 21.1018116 44.1822179)",,,,
234995297,residential,False,False,236.327,Хајдук Вељка,"LINESTRING (21.0989841 44.1834554, 21.0990897 44.1834905, 21.0991361 44.1834966, 21.0991792 44.1834954, 21.0992096 44.1834899, 21.0992561 44.1834687, 21.0994033 44.1833574, 21.0997592 44.1830902, 21.1000539 44.1828656, 21.1003849 44.182655, 21.1004558 44.1826272, 21.1005259 44.182612, 21.1007365 44.1825705, 21.1009479 44.1825542, 21.1009734 44.1825466, 21.1009926 44.1825336, 21.101 44.1825141, 21.1010566 44.182229)",,,,
234995348,residential,False,True,96.273,Мирослава Антића,"LINESTRING (21.0989841 44.1834554, 21.0989696 44.1834946, 21.0989635 44.1835259, 21.0989622 44.1835523, 21.0989672 44.1839661, 21.0989748 44.1840861, 21.0989936 44.184319)",,,,
234984616,residential,False,False,153.726,Кнеза Милоша,"LINESTRING (21.1029489 44.1838607, 21.1029539 44.1839583, 21.1029734 44.1843215, 21.1029442 44.1848035, 21.1028369 44.1852356)",,,,
"[234984616, 234995338]",residential,False,True,213.738,"['Кнеза Милоша', 'Краља Петра првог']","LINESTRING (21.1029489 44.1838607, 21.1029393 44.1836719, 21.1027646 44.182978, 21.1027308 44.1829194, 21.1026908 44.1828676, 21.1025173 44.1827304, 21.1020984 44.1824218, 21.1018671 44.1822591, 21.1018116 44.1822179)",,,,
234995299,residential,False,False,320.475,Светог Саве,"LINESTRING (21.1029489 44.1838607, 21.1024149 44.1839831, 21.1021199 44.1840058, 21.1012744 44.1840424, 21.1000853 44.1841863, 21.0995811 44.1842687, 21.0989936 44.184319)",,,,
234995299,residential,False,True,320.475,Светог Саве,"LINESTRING (21.0989936 44.184319, 21.0995811 44.1842687, 21.1000853 44.1841863, 21.1012744 44.1840424, 21.1021199 44.1840058, 21.1024149 44.1839831, 21.1029489 44.1838607)",,,,
234995348,residential,False,False,96.27300000000001,Мирослава Антића,"LINESTRING (21.0989936 44.184319, 21.0989748 44.1840861, 21.0989672 44.1839661, 21.0989622 44.1835523, 21.0989635 44.1835259, 21.0989696 44.1834946, 21.0989841 44.1834554)",,,,
234995348,residential,False,True,109.31700000000001,Мирослава Антића,"LINESTRING (21.0989936 44.184319, 21.0990566 44.1846493, 21.099079 44.184789, 21.0990835 44.1848779, 21.0990461 44.1852972)",,,,
234984616,residential,False,False,144.342,Кнеза Милоша,"LINESTRING (21.1028369 44.1852356, 21.1028078 44.1853728, 21.1026325 44.1858792, 21.1025545 44.1860748, 21.1024669 44.1862005, 21.1023053 44.1863282, 21.1022626 44.1863911, 21.1022346 44.1864382)",,,,
234984616,residential,False,True,153.726,Кнеза Милоша,"LINESTRING (21.1028369 44.1852356, 21.1029442 44.1848035, 21.1029734 44.1843215, 21.1029539 44.1839583, 21.1029489 44.1838607)",,,,
234995322,residential,False,False,295.231,Светозара Марковића,"LINESTRING (21.1028369 44.1852356, 21.1016348 44.1852349, 21.1006809 44.1852941, 21.0993111 44.1853019, 21.099138 44.1852987)",,,,
234995322,residential,False,True,7.33,Светозара Марковића,"LINESTRING (21.0990461 44.1852972, 21.099138 44.1852987)",,,,
234995348,residential,False,False,109.31700000000001,Мирослава Антића,"LINESTRING (21.0990461 44.1852972, 21.0990835 44.1848779, 21.099079 44.184789, 21.0990566 44.1846493, 21.0989936 44.184319)",,,,
234995322,residential,False,False,7.33,Светозара Марковића,"LINESTRING (21.099138 44.1852987, 21.0990461 44.1852972)",,,,
234995322,residential,False,True,295.231,Светозара Марковића,"LINESTRING (21.099138 44.1852987, 21.0993111 44.1853019, 21.1006809 44.1852941, 21.1016348 44.1852349, 21.1028369 44.1852356)",,,,
234995333,residential,False,True,120.125,Максима Горког,"LINESTRING (21.099138 44.1852987, 21.0991742 44.18556, 21.099199 44.1857434, 21.0991605 44.1859346, 21.0989294 44.1863425)",,,,
234995321,residential,False,False,9.294,Патријарха Димитрија,"LINESTRING (21.0988131 44.1863369, 21.0989294 44.1863425)",,,,
234995349,residential,False,False,84.68299999999999,Максима Горког,"LINESTRING (21.0988131 44.1863369, 21.0988132 44.1865063, 21.0988799 44.1867506, 21.0989205 44.1868691, 21.0990315 44.1870755)",,,,
234995321,residential,False,True,9.294,Патријарха Димитрија,"LINESTRING (21.0989294 44.1863425, 21.0988131 44.1863369)",,,,
234995321,residential,False,False,220.868,Патријарха Димитрија,"LINESTRING (21.0989294 44.1863425, 21.0991984 44.1863624, 21.0996908 44.1863576, 21.1005873 44.1862288, 21.1008724 44.1861924, 21.1009705 44.1861941, 21.101072 44.1862067, 21.1011395 44.1862239, 21.1012117 44.186252, 21.101283 44.1862912, 21.1014286 44.1863942, 21.1014667 44.1864124, 21.1015109 44.1864249, 21.1015709 44.1864313)",,,,
234995333,residential,False,False,120.125,Максима Горког,"LINESTRING (21.0989294 44.1863425, 21.0991605 44.1859346, 21.099199 44.1857434, 21.0991742 44.18556, 21.099138 44.1852987)",,,,
234995321,residential,False,False,53.391999999999996,Патријарха Димитрија,"LINESTRING (21.1015709 44.1864313, 21.1018356 44.186421, 21.1019589 44.1864104, 21.1020501 44.1864095, 21.1021118 44.1864152, 21.1022346 44.1864382)",,,,
234995321,residential,False,True,220.868,Патријарха Димитрија,"LINESTRING (21.1015709 44.1864313, 21.1015109 44.1864249, 21.1014667 44.1864124, 21.1014286 44.1863942, 21.101283 44.1862912, 21.1012117 44.186252, 21.1011395 44.1862239, 21.101072 44.1862067, 21.1009705 44.1861941, 21.1008724 44.1861924, 21.1005873 44.1862288, 21.0996908 44.1863576, 21.0991984 44.1863624, 21.0989294 44.1863425)",,,,
234995341,residential,False,True,220.777,Београдска,"LINESTRING (21.1015709 44.1864313, 21.1015432 44.1864895, 21.1014882 44.1865361, 21.1014232 44.1865779, 21.1013556 44.1866088, 21.1012779 44.1866349, 21.1005408 44.186806, 21.1004335 44.1868206, 21.1003381 44.186826, 21.1000762 44.186826, 21.0999807 44.1868357, 21.099903 44.1868527, 21.0996985 44.1868981, 21.0990315 44.1870755)",,,,
234995349,residential,False,False,97.537,Максима Горког,"LINESTRING (21.0990315 44.1870755, 21.0992751 44.1879351)",,,,
