osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,junction
35785329,False,,Кестенова,residential,,True,80.99000000000001,"LINESTRING (22.0977002 44.0808699, 22.0977202 44.0812424, 22.0977309 44.0815979)",
35785329,False,,Кестенова,residential,,True,69.746,"LINESTRING (22.0976339 44.07955, 22.0976429 44.0798324, 22.0976618 44.0801769)",
140681445,False,,Шистекова,unclassified,,False,83.863,"LINESTRING (22.0976339 44.07955, 22.0970707 44.0795689, 22.096585 44.0795823)",
140681445,False,,Шистекова,unclassified,,True,79.934,"LINESTRING (22.0976339 44.07955, 22.0984237 44.0795185, 22.0986135 44.0794545)",
35785329,False,,Кестенова,residential,,True,77.119,"LINESTRING (22.0976618 44.0801769, 22.0977002 44.0808699)",
35785329,False,,Кестенова,residential,,False,69.746,"LINESTRING (22.0976618 44.0801769, 22.0976429 44.0798324, 22.0976339 44.07955)",
35785330,True,,,residential,,False,82.09899999999999,"LINESTRING (22.0976618 44.0801769, 22.0985512 44.0801502, 22.0986888 44.0801483)",
34562850,False,,Ђорђа Вајферта,residential,,False,72.693,"LINESTRING (22.0986888 44.0801483, 22.098742 44.0798126, 22.0987523 44.0796397, 22.0987174 44.0794991)",
34562850,False,,Ђорђа Вајферта,residential,,True,80.379,"LINESTRING (22.0986888 44.0801483, 22.098658 44.0804327, 22.0986267 44.0806579, 22.0985896 44.0808675)",
35785329,False,,Кестенова,residential,,True,44.451,"LINESTRING (22.0977309 44.0815979, 22.0977543 44.0819973)",
35785329,False,,Кестенова,residential,,False,80.99000000000001,"LINESTRING (22.0977309 44.0815979, 22.0977202 44.0812424, 22.0977002 44.0808699)",
35785331,False,,,residential,,True,121.11,"LINESTRING (22.0977309 44.0815979, 22.0972401 44.0816127, 22.0966814 44.0816361, 22.0962163 44.0816466)",
35558164,False,,Иве Лоле Рибара,residential,,False,43.053,"LINESTRING (22.0962163 44.0816466, 22.0962484 44.0820331)",
35558164,False,,Иве Лоле Рибара,residential,,True,82.398,"LINESTRING (22.0962163 44.0816466, 22.0961954 44.0813444, 22.0961649 44.0809065)",
35785331,False,,,residential,,False,121.11,"LINESTRING (22.0962163 44.0816466, 22.0966814 44.0816361, 22.0972401 44.0816127, 22.0977309 44.0815979)",
35785329,False,,Кестенова,residential,,False,44.451,"LINESTRING (22.0977543 44.0819973, 22.0977309 44.0815979)",
35785332,False,,,residential,,False,120.352,"LINESTRING (22.0977543 44.0819973, 22.0962484 44.0820331)",
35785332,False,,,residential,,True,78.527,"LINESTRING (22.0977543 44.0819973, 22.0986443 44.0819748, 22.0987368 44.0819724)",
35785332,False,,,residential,,True,81.209,"LINESTRING (22.0987368 44.0819724, 22.0997534 44.081963)",
34562850,False,,Ђорђа Вајферта,residential,,False,123.95,"LINESTRING (22.0987368 44.0819724, 22.0985661 44.0811721, 22.0985896 44.0808675)",
35785332,False,,,residential,,False,78.527,"LINESTRING (22.0987368 44.0819724, 22.0986443 44.0819748, 22.0977543 44.0819973)",
35558170,False,,Ђуре Ђаковића,residential,,False,162.76600000000002,"LINESTRING (22.0986207 44.0788488, 22.0983711 44.0788177, 22.098178 44.0787857, 22.0977186 44.0787211, 22.097367 44.0786858, 22.0970832 44.0786477, 22.0968727 44.0786239, 22.0967434 44.0786001, 22.0966215 44.0785728)",
35785345,False,,Милана Васића Перице,residential,,True,289.71,"LINESTRING (22.1030802 44.0781492, 22.1032558 44.0780335, 22.1033297 44.0779758, 22.1033953 44.0779264, 22.1038715 44.0775902, 22.1045526 44.0771143, 22.1049128 44.0768437, 22.1050807 44.0766641, 22.1051066 44.0765918, 22.1051225 44.0765473, 22.1053371 44.0761631)",
"[448149632, 449752605]",False,,Милана Васића Перице,residential,50,False,366.433,"LINESTRING (22.1030802 44.0781492, 22.1027563 44.0782954, 22.1020106 44.078616, 22.1013104 44.0788809, 22.1010111 44.0789776, 22.1002769 44.0790707, 22.1000951 44.0790957, 22.0991424 44.0792434, 22.0989587 44.0793125, 22.0988691 44.0793497)",
"[35785344, 454867609, 449752604]",False,,Мајданпечка,residential,50,False,209.52599999999995,"LINESTRING (22.1030802 44.0781492, 22.1027421 44.0779625, 22.1026077 44.0778876, 22.1024379 44.0778015, 22.1023316 44.0777491, 22.1021735 44.0776707, 22.102065 44.0776084, 22.1019087 44.0775165, 22.1017127 44.0774016, 22.1016222 44.0773415, 22.1015371 44.0772744, 22.1014238 44.0771678, 22.1013111 44.0770564, 22.1011685 44.0768869)",
35785345,False,,Милана Васића Перице,residential,,False,289.71,"LINESTRING (22.1053371 44.0761631, 22.1051225 44.0765473, 22.1051066 44.0765918, 22.1050807 44.0766641, 22.1049128 44.0768437, 22.1045526 44.0771143, 22.1038715 44.0775902, 22.1033953 44.0779264, 22.1033297 44.0779758, 22.1032558 44.0780335, 22.1030802 44.0781492)",
