osmid,name,highway,oneway,reversed,length,geometry,ref,junction
154250316,Rua do Passal,tertiary,True,False,46.774,"LINESTRING (-8.4395591 40.6255146, -8.4397204 40.6255154, -8.4398893 40.6255164, -8.440113 40.6255254)",,
154250300,Rua do Passal,tertiary,False,True,51.707,"LINESTRING (-8.444213 40.6267331, -8.443685 40.6264972)",,
154250300,Rua do Passal,tertiary,False,False,95.43700000000001,"LINESTRING (-8.444213 40.6267331, -8.4443249 40.6267624, -8.4446122 40.6268324, -8.4448179 40.6268748, -8.4450024 40.6268984, -8.4453127 40.6269065)",,
390499116,Viela do Cruzeiro,residential,False,True,89.281,"LINESTRING (-8.4414202 40.6265853, -8.4414942 40.6266162, -8.4419523 40.6272681)",,
156095851,Praça de São Pedro,residential,True,False,109.533,"LINESTRING (-8.4429981 40.6268271, -8.4432575 40.6268322, -8.4436868 40.6268358, -8.4439659 40.6268412, -8.4441066 40.6268412, -8.4441567 40.6268267, -8.4441805 40.6267869, -8.444213 40.6267331)",,
390499117,Rua da Esperança,residential,False,True,179.008,"LINESTRING (-8.4429981 40.6268271, -8.4430205 40.6268929, -8.4430982 40.6271886, -8.4431853 40.6275266, -8.4433986 40.6283385, -8.4434166 40.6284052)",,
390499117,Rua da Esperança,residential,False,False,179.00799999999998,"LINESTRING (-8.4434166 40.6284052, -8.4433986 40.6283385, -8.4431853 40.6275266, -8.4430982 40.6271886, -8.4430205 40.6268929, -8.4429981 40.6268271)",,
503385850,Rua do Cruzeiro,residential,False,False,38.028,"LINESTRING (-8.4394674 40.6285927, -8.4391214 40.6288118)",,
390499113,Travessa da Escola,residential,False,True,228.49300000000002,"LINESTRING (-8.4394674 40.6285927, -8.4397036 40.628596, -8.4402193 40.6286314, -8.4405384 40.6286527, -8.4408833 40.6286714, -8.4411251 40.6286978, -8.4412477 40.6287465, -8.4414349 40.6288148, -8.4415317 40.6288292, -8.4417186 40.628841, -8.4419541 40.6288919, -8.4420993 40.6289529)",,
503385850,Rua do Cruzeiro,residential,False,True,256.322,"LINESTRING (-8.4394674 40.6285927, -8.4395781 40.6285226, -8.4402898 40.6281436, -8.4411868 40.6276593, -8.4419523 40.6272681)",,
390499113,Travessa da Escola,residential,False,False,228.49300000000002,"LINESTRING (-8.4420993 40.6289529, -8.4419541 40.6288919, -8.4417186 40.628841, -8.4415317 40.6288292, -8.4414349 40.6288148, -8.4412477 40.6287465, -8.4411251 40.6286978, -8.4408833 40.6286714, -8.4405384 40.6286527, -8.4402193 40.6286314, -8.4397036 40.628596, -8.4394674 40.6285927)",,
390499118,Beco da Tiana,residential,False,True,121.64199999999998,"LINESTRING (-8.4403124 40.6295175, -8.4399985 40.6295899, -8.439743 40.6296347, -8.4395449 40.62966, -8.4394173 40.6296677, -8.4392469 40.6296381, -8.4390523 40.6295811, -8.4389162 40.6295603)",,
105667874,Rua do Ramal,residential,False,False,154.75400000000002,"LINESTRING (-8.4389162 40.6295603, -8.4388598 40.629649, -8.4387022 40.629793, -8.4385176 40.6299821, -8.4384546 40.6301127, -8.4384321 40.6302208, -8.4384861 40.6303333, -8.4386662 40.6306305, -8.4387382 40.6307971)",,
105667874,Rua do Ramal,residential,False,True,87.018,"LINESTRING (-8.4389162 40.6295603, -8.4389228 40.6295499, -8.4391119 40.6291447, -8.4391615 40.6290051, -8.4391525 40.6289016, -8.4391214 40.6288118)",,
390499118,Beco da Tiana,residential,False,False,121.642,"LINESTRING (-8.4389162 40.6295603, -8.4390523 40.6295811, -8.4392469 40.6296381, -8.4394173 40.6296677, -8.4395449 40.62966, -8.439743 40.6296347, -8.4399985 40.6295899, -8.4403124 40.6295175)",,
