osmid,name,highway,width,oneway,reversed,length,geometry,lanes,ref,maxspeed,bridge,junction
87216204,Rua do Botelho,residential,,True,False,106.134,"LINESTRING (-25.5201036 37.8209358, -25.5198546 37.8200018)",,,,,
584535466,Rua do Botelho,residential,,True,False,78.429,"LINESTRING (-25.5201036 37.8209358, -25.520307 37.821396, -25.5203116 37.8214507, -25.5202343 37.8216019)",,,,,
33454611,Rua da Praca,residential,,False,False,31.7,"LINESTRING (-25.5213819 37.8243841, -25.5215615 37.824579, -25.5215915 37.8246161)",,,,,
33454611,Rua da Praca,residential,,False,True,97.319,"LINESTRING (-25.5213819 37.8243841, -25.5208017 37.8237405, -25.5207565 37.8236902, -25.5207388 37.8236714)",,,,,
87216211,,residential,,True,False,65.013,"LINESTRING (-25.5213819 37.8243841, -25.5212416 37.8244232, -25.520652 37.8244599)",,,,,
235514221,Rua Do Conde Jacome Correia,residential,,True,False,125.494,"LINESTRING (-25.520652 37.8244599, -25.520675 37.8245058, -25.5211423 37.8254444, -25.5211749 37.8255102)",,,,,
87216207,Rua Gonçalo Bezerra,residential,,True,False,45.961000000000006,"LINESTRING (-25.5202343 37.8216019, -25.5205482 37.8218839, -25.5205772 37.821914)",,,,,
87216210,Travessa da Rua das Rosas,residential,,True,False,102.22899999999998,"LINESTRING (-25.5236589 37.8180773, -25.5237759 37.8184314, -25.5239336 37.8186493, -25.5241075 37.8189187)",,,50,,
156808772,Rua do Ouvidor,residential,,False,False,62.042,"LINESTRING (-25.5226376 37.8194307, -25.5233033 37.8192442)",,,50,,
543349522,Rua N. S. Das Dores,residential,,False,False,56.455,"LINESTRING (-25.5226376 37.8194307, -25.5228715 37.8199036)",,,,,
156808772,Rua do Ouvidor,residential,,False,True,96.075,"LINESTRING (-25.5226376 37.8194307, -25.5225142 37.8194646, -25.5215931 37.8196869)",,,50,,
544011397,Rua Sacuntala de Miranda,residential,,False,False,116.951,"LINESTRING (-25.5226376 37.8194307, -25.5225823 37.8193397, -25.5225049 37.8192122, -25.5224096 37.8190863, -25.5223171 37.8189807, -25.5222256 37.8188403, -25.5221238 37.8185812, -25.5220906 37.8184794)",2,,50,,
87216205,Rua da Salvação,residential,,True,False,107.07199999999999,"LINESTRING (-25.5219342 37.8206262, -25.5218536 37.820657, -25.5207494 37.8208446)",,,,,
156808007,Rua de São Sebastião,tertiary,,True,False,59.392,"LINESTRING (-25.5236017 37.8197235, -25.5233033 37.8192442)",1,,50,,
49520010,Rua Nossa Senhora da Conceicao,primary,,True,False,31.407,"LINESTRING (-25.5232827 37.8211868, -25.5229568 37.821303)",1,ER 1-1ª,50,,
87216203,Rua N. S. Das Dores,residential,,True,False,44.141,"LINESTRING (-25.5230004 37.8203271, -25.5231078 37.8207149)",,,,,
543349522,Rua N. S. Das Dores,residential,,False,True,48.433,"LINESTRING (-25.5230004 37.8203271, -25.5228715 37.8199036)",,,,,
87216205,Rua da Salvação,residential,,True,False,88.021,"LINESTRING (-25.5230004 37.8203271, -25.5221423 37.8205302, -25.5220425 37.8205591)",,,,,
87216205,Rua da Salvação,residential,,True,False,79.836,"LINESTRING (-25.5238609 37.8200959, -25.5230004 37.8203271)",,,,,
156808007,Rua de São Sebastião,tertiary,,True,False,47.255,"LINESTRING (-25.5238609 37.8200959, -25.5236017 37.8197235)",1,,50,,
87216203,Rua N. S. Das Dores,residential,,True,False,54.68600000000001,"LINESTRING (-25.5231078 37.8207149, -25.5231692 37.8208967, -25.5232666 37.8211477, -25.5232827 37.8211868)",,,,,
87216209,,living_street,,True,False,105.32000000000001,"LINESTRING (-25.5231078 37.8207149, -25.5237311 37.8205689, -25.5239707 37.8209168, -25.5239922 37.8209503)",,,,,
87216205,Rua da Salvação,residential,,True,False,57.624,"LINESTRING (-25.5207494 37.8208446, -25.5201036 37.8209358)",,,,,
87216201,,residential,,True,False,67.193,"LINESTRING (-25.5228715 37.8199036, -25.5236017 37.8197235)",,,,,
543349522,Rua N. S. Das Dores,residential,,False,False,48.433,"LINESTRING (-25.5228715 37.8199036, -25.5230004 37.8203271)",,,,,
543349522,Rua N. S. Das Dores,residential,,False,True,56.455,"LINESTRING (-25.5228715 37.8199036, -25.5226376 37.8194307)",,,,,
46919759,Rua da Praia,residential,,False,True,82.721,"LINESTRING (-25.523966 37.823446, -25.5234904 37.8228039)",,,,,
87216585,Rua Da Feira,residential,,False,True,34.948,"LINESTRING (-25.523966 37.823446, -25.5242872 37.8232605)",,,,,
87555840,Rua da Ribeira,residential,,True,False,221.99999999999997,"LINESTRING (-25.5185968 37.8218401, -25.5185347 37.8217552, -25.5184911 37.8216744, -25.5182121 37.8209684, -25.5180865 37.8206575, -25.5179947 37.82034, -25.5180126 37.8200629, -25.5180724 37.8199295)",,,,,
235330851,Rua Do Espirito Santo,residential,,False,False,103.06,"LINESTRING (-25.5185968 37.8218401, -25.5192326 37.8221458, -25.5195562 37.8223683)",,,,,
235330851,Rua Do Espirito Santo,residential,,False,True,149.747,"LINESTRING (-25.5185968 37.8218401, -25.5178022 37.8215461, -25.5172186 37.8212811, -25.5170797 37.8212281)",,,,,
87212762,,residential,,False,True,57.382000000000005,"LINESTRING (-25.517236 37.8188405, -25.5171552 37.8187238, -25.5168417 37.8184316)",,,,,
"[87354356, 87354357]",Rua Das Freiras,residential,,True,False,104.91300000000001,"LINESTRING (-25.517236 37.8188405, -25.5168791 37.8190494, -25.5168602 37.8190768, -25.5168509 37.8191115, -25.5169381 37.8196329)",,,,,
87212762,,residential,,False,False,57.382000000000005,"LINESTRING (-25.5168417 37.8184316, -25.5171552 37.8187238, -25.517236 37.8188405)",,,,,
917882846,,residential,,False,False,112.625,"LINESTRING (-25.5168417 37.8184316, -25.5158992 37.8190073, -25.5158204 37.8190429)",,,,,
584535471,Rua Das Freiras,residential,,False,True,14.124,"LINESTRING (-25.5170615 37.8210347, -25.5170485 37.8209081)",,,,,
584535471,Rua Das Freiras,residential,,False,False,21.564999999999998,"LINESTRING (-25.5170615 37.8210347, -25.5170662 37.8210878, -25.5170729 37.821163, -25.5170797 37.8212281)",,,,,
87216205,Rua da Salvação,residential,,True,False,12.09,"LINESTRING (-25.5220425 37.8205591, -25.5219342 37.8206262)",,,,,
586134927,,residential,,False,True,22.321,"LINESTRING (-25.5220425 37.8205591, -25.5219918 37.8203624)",,,,,
87354368,Rua Nova,residential,,True,False,75.852,"LINESTRING (-25.5172843 37.819652, -25.5176397 37.8197622, -25.5180724 37.8199295)",,,,,
584535468,,residential,,True,False,90.653,"LINESTRING (-25.5172843 37.819652, -25.5172762 37.818974, -25.517236 37.8188405)",,,,,
"[87555844, 87354365, 87555838]",,residential,,True,False,104.912,"LINESTRING (-25.5180724 37.8199295, -25.5182026 37.8199771, -25.5182925 37.8200067, -25.5183488 37.8200354, -25.5184051 37.8200851, -25.5185272 37.8202483, -25.5185594 37.8202748, -25.5186023 37.8202811, -25.5186543 37.8202736, -25.5190522 37.8201696)",,,,yes,
87369608,Rua Nova,residential,,False,False,50.171,"LINESTRING (-25.5170797 37.8212281, -25.5165643 37.8214226)",,,,,
235330851,Rua Do Espirito Santo,residential,,False,False,149.747,"LINESTRING (-25.5170797 37.8212281, -25.5172186 37.8212811, -25.5178022 37.8215461, -25.5185968 37.8218401)",,,,,
584535471,Rua Das Freiras,residential,,False,True,21.564999999999998,"LINESTRING (-25.5170797 37.8212281, -25.5170729 37.821163, -25.5170662 37.8210878, -25.5170615 37.8210347)",,,,,
87216585,Rua Da Feira,residential,,False,False,34.948,"LINESTRING (-25.5242872 37.8232605, -25.523966 37.823446)",,,,,
"[917871411, 917871412, 704503605, 704503604]",Ponte do Atlântico,residential,,False,False,229.725,"LINESTRING (-25.5242872 37.8232605, -25.5243849 37.8233813, -25.524404 37.82342, -25.5243998 37.823457, -25.5243636 37.8234872, -25.5242932 37.8235367, -25.5241294 37.823652, -25.5239071 37.8238319, -25.5236168 37.8240904, -25.5235905 37.8241139, -25.5234788 37.8242244, -25.5230166 37.8246519, -25.5228187 37.8248105)",2,,40,yes,
917871412,,residential,,False,True,74.944,"LINESTRING (-25.5242872 37.8232605, -25.5241975 37.8231408, -25.5238806 37.8226681)",,,,,
