osmid,oneway,lanes,highway,reversed,length,geometry,ref,junction,name,bridge,maxspeed,tunnel
258322167,False,,unclassified,True,66.214,"LINESTRING (-9.2987846 38.7718006, -9.2986294 38.7719427, -9.2985431 38.7720555, -9.2985708 38.7721881, -9.2985882 38.7723306)",,,Rua Raul de Almeida,,,
40860549,True,,unclassified,False,8.59,"LINESTRING (-9.2985976 38.7724075, -9.2985882 38.7723306)",,,,,,
40860554,True,,residential,False,31.237000000000002,"LINESTRING (-9.2985976 38.7724075, -9.2986771 38.7723682, -9.2989061 38.7722624)",,,Rua da Padeirinha,,,
40860553,False,,residential,True,29.243,"LINESTRING (-9.298252 38.7724314, -9.29792 38.7723849)",,,Largo da República,,,
208593140,False,,residential,False,11.221,"LINESTRING (-9.298252 38.7724314, -9.2982604 38.7725321)",,,Largo da República,,,
40860554,True,,residential,False,31.128,"LINESTRING (-9.298252 38.7724314, -9.2983553 38.7724529, -9.2984404 38.7724515, -9.2985976 38.7724075)",,,Rua da Padeirinha,,,
40860553,False,,residential,False,31.298,"LINESTRING (-9.297093 38.7725894, -9.2973469 38.7723893)",,,Largo da República,,,
40860553,False,,residential,True,25.522000000000002,"LINESTRING (-9.297093 38.7725894, -9.2970718 38.7727369, -9.2970603 38.7728175)",,,Largo da República,,,
183596316,True,,residential,False,45.833999999999996,"LINESTRING (-9.297093 38.7725894, -9.2967669 38.7725639, -9.2966179 38.7725582, -9.2965663 38.7725548)",,,Rua José Relvas,,,
40860553,False,,residential,True,31.298,"LINESTRING (-9.2973469 38.7723893, -9.297093 38.7725894)",,,Largo da República,,,
40860553,False,,residential,False,50.827,"LINESTRING (-9.2973469 38.7723893, -9.297608 38.7723393, -9.2977519 38.7723603, -9.29792 38.7723849)",,,Largo da República,,,
"[1227341570, 53276780]",False,,residential,True,115.751,"LINESTRING (-9.2973469 38.7723893, -9.2973214 38.7723608, -9.2972514 38.7718117, -9.2973607 38.7717747, -9.2975504 38.7717685, -9.2978237 38.7717817)",,,"['Rua Sacadura Cabral', 'Rua Doutor Magalhães de Lima']",,,
40860557,False,,residential,False,25.564,"LINESTRING (-9.3001049 38.7716138, -9.2999359 38.7714254)",,,Praceta Ricardo Jorge Veiga da Silva Peito,,,
40860554,True,,residential,False,71.023,"LINESTRING (-9.3001049 38.7716138, -9.300711 38.7712609, -9.3007613 38.7712316)",,,Rua da Padeirinha,,,
40860555,False,,residential,False,49.737,"LINESTRING (-9.2996469 38.7723738, -9.300217 38.7723236)",,,Travessa do Bandarra,,,
203595973,False,,residential,False,6.087,"LINESTRING (-9.2996469 38.7723738, -9.2995886 38.7723433)",,,Travessa do Bandarra,,,
"[40860555, 208593140]",False,,residential,True,142.19699999999997,"LINESTRING (-9.2996469 38.7723738, -9.2996224 38.7724273, -9.2995737 38.7724495, -9.2986313 38.7727284, -9.2985642 38.7727451, -9.298484 38.7727395, -9.2984194 38.7727054, -9.2983443 38.7726364, -9.2982604 38.7725321)",,,"['Largo da República', 'Travessa do Bandarra']",,,
40860555,False,,residential,True,49.737,"LINESTRING (-9.300217 38.7723236, -9.2996469 38.7723738)",,,Travessa do Bandarra,,,
40860556,False,,residential,False,43.025,"LINESTRING (-9.3007007 38.7721279, -9.3004486 38.7717946)",,,Rua Cidade de Viena,,,
414993289,False,,residential,False,49.937,"LINESTRING (-9.3007007 38.7721279, -9.3012136 38.7719235)",,,Rua Cidade de Amesterdão,,,
"[414993289, 183597330]",False,,residential,"[False, True]",75.686,"LINESTRING (-9.3007007 38.7721279, -9.3004602 38.7722212, -9.3003418 38.7722671, -9.3002258 38.7721044, -9.300019 38.7721888)",,,"['Praceta Cidade de Berna', 'Rua Cidade de Amesterdão']",,,
54894235,False,,residential,True,27.963,"LINESTRING (-9.3012136 38.7719235, -9.3013587 38.7721481)",,,Avenida Cidade de Londres,,,
414993289,False,,residential,True,49.937,"LINESTRING (-9.3012136 38.7719235, -9.3007007 38.7721279)",,,Rua Cidade de Amesterdão,,,
54894235,False,,residential,False,86.352,"LINESTRING (-9.3012136 38.7719235, -9.3008255 38.7713299, -9.3007613 38.7712316)",,,Avenida Cidade de Londres,,,
40860556,False,,residential,True,43.025,"LINESTRING (-9.3004486 38.7717946, -9.3007007 38.7721279)",,,Rua Cidade de Viena,,,
40860557,False,,residential,True,25.564,"LINESTRING (-9.2999359 38.7714254, -9.3001049 38.7716138)",,,Praceta Ricardo Jorge Veiga da Silva Peito,,,
40860558,False,,residential,False,54.132,"LINESTRING (-9.2998823 38.7733236, -9.2998534 38.7728373)",,,Rua Cidade de Belgrado,,,
40860566,False,,residential,True,45.461,"LINESTRING (-9.2998823 38.7733236, -9.3000243 38.7732885, -9.3003985 38.7732648)",,,Rua Cidade de Paris,,,
53278247,True,,residential,False,245.37900000000002,"LINESTRING (-9.2998823 38.7733236, -9.2991445 38.773622, -9.2984594 38.7739361, -9.297257 38.7739924)",,,Rua Cidade de Paris,,,
40860558,False,,residential,True,54.132,"LINESTRING (-9.2998534 38.7728373, -9.2998823 38.7733236)",,,Rua Cidade de Belgrado,,,
