osmid,oneway,ref,name,highway,reversed,length,geometry,maxspeed
681797464,False,,,residential,False,203.968,"LINESTRING (111.8961308 -8.0744549, 111.8962027 -8.0745435, 111.8962122 -8.0745649, 111.8962113 -8.0745834, 111.8961606 -8.0748746, 111.8961609 -8.0748861, 111.8961709 -8.0749012, 111.8962354 -8.0749244, 111.896253 -8.0749395, 111.8962623 -8.0749613, 111.8962622 -8.0750607, 111.8962652 -8.0750744, 111.896272 -8.0750843, 111.896283 -8.075092, 111.8966009 -8.0751397, 111.8968034 -8.0751776, 111.8969227 -8.0752048, 111.8973774 -8.0752818)",
96322098,False,,,residential,False,42.368,"LINESTRING (111.9016788 -8.0768214, 111.9020529 -8.0769108)",
96322098,False,,,residential,True,4.284,"LINESTRING (111.9016788 -8.0768214, 111.9016401 -8.0768174)",
681797466,False,,,residential,True,155.42000000000002,"LINESTRING (111.9016788 -8.0768214, 111.9017239 -8.0765047, 111.9017671 -8.0760486, 111.9017641 -8.076035, 111.9017584 -8.076025, 111.9017477 -8.0760184, 111.9015345 -8.0760081, 111.9015262 -8.0760104, 111.901521 -8.0760162, 111.9014919 -8.0763693)",
43392507,False,,Jalan P.Diponegoro,secondary,True,41.366,"LINESTRING (111.9013323 -8.0691215, 111.9012727 -8.0687542)",
43392507,False,,Jalan P.Diponegoro,secondary,False,76.999,"LINESTRING (111.9013323 -8.0691215, 111.901402 -8.0696669, 111.901423 -8.0698081)",
681797526,False,,,residential,True,137.82299999999998,"LINESTRING (111.9013323 -8.0691215, 111.900885 -8.0691811, 111.9008663 -8.0691811, 111.9008488 -8.0691705, 111.9008426 -8.0691393, 111.900831 -8.0691129, 111.9008011 -8.0691112, 111.9007743 -8.069126, 111.900135 -8.0691414)",
97027899,False,,,residential,True,43.293,"LINESTRING (111.903689 -8.0714985, 111.9036016 -8.0718781)",
97027899,False,,,residential,False,95.23,"LINESTRING (111.903689 -8.0714985, 111.9037423 -8.0712519, 111.9037803 -8.0710842, 111.9038848 -8.0706644)",
158390868,False,,,residential,False,77.856,"LINESTRING (111.9003303 -8.0752114, 111.9003766 -8.0752447, 111.9010044 -8.0754113)",
158390868,False,,,residential,True,92.455,"LINESTRING (111.9003303 -8.0752114, 111.9003459 -8.0746458, 111.9003515 -8.0743802)",
1028841011,False,,,residential,True,177.57699999999997,"LINESTRING (111.9003303 -8.0752114, 111.9001766 -8.0752079, 111.9001661 -8.0752089, 111.9001566 -8.0752143, 111.9001503 -8.0752234, 111.900139 -8.0760098, 111.9001345 -8.0760189, 111.9001266 -8.0760262, 111.9001159 -8.07603, 111.8999744 -8.076029, 111.8999553 -8.076037, 111.8999399 -8.0760506, 111.8999309 -8.0760672, 111.8998685 -8.0764563)",
799788690,False,,,residential,False,18.831,"LINESTRING (111.8984917 -8.0747095, 111.8984865 -8.0747374, 111.898461 -8.0748761)",
"[681797426, 158390844]",False,,,residential,"[False, True]",222.48700000000002,"LINESTRING (111.8988996 -8.0767942, 111.8988238 -8.0771049, 111.8987445 -8.0774587, 111.8987291 -8.0774876, 111.8987036 -8.0775034, 111.8986583 -8.0775053, 111.8985032 -8.0774767, 111.8984752 -8.0774674, 111.8984605 -8.0774524, 111.8984578 -8.0774302, 111.8985817 -8.0767935, 111.8985924 -8.0767739, 111.8986085 -8.0767606, 111.8986286 -8.0767563, 111.8988996 -8.0767942)",
"[681797426, 158390844]",False,,,residential,"[False, True]",222.48700000000002,"LINESTRING (111.8988996 -8.0767942, 111.8986286 -8.0767563, 111.8986085 -8.0767606, 111.8985924 -8.0767739, 111.8985817 -8.0767935, 111.8984578 -8.0774302, 111.8984605 -8.0774524, 111.8984752 -8.0774674, 111.8985032 -8.0774767, 111.8986583 -8.0775053, 111.8987036 -8.0775034, 111.8987291 -8.0774876, 111.8987445 -8.0774587, 111.8988238 -8.0771049, 111.8988996 -8.0767942)",
158390844,False,,,residential,True,65.666,"LINESTRING (111.8988996 -8.0767942, 111.8989559 -8.0766063, 111.8990068 -8.0763938, 111.8990457 -8.0762219)",
682391591,False,,,residential,True,57.461000000000006,"LINESTRING (111.9009956 -8.0772005, 111.9010567 -8.076988, 111.901058 -8.0768941, 111.9010805 -8.0768244, 111.901109 -8.0766988)",
96322098,False,,,residential,False,8.687,"LINESTRING (111.901109 -8.0766988, 111.9011859 -8.0767163)",
96322098,False,,,residential,True,45.859,"LINESTRING (111.901109 -8.0766988, 111.9007026 -8.0766083)",
682391591,False,,,residential,False,57.461,"LINESTRING (111.901109 -8.0766988, 111.9010805 -8.0768244, 111.901058 -8.0768941, 111.9010567 -8.076988, 111.9009956 -8.0772005)",
682395702,False,,,residential,False,95.15299999999999,"LINESTRING (111.9009728 -8.0760366, 111.9011549 -8.0760609, 111.9011716 -8.076067, 111.9011825 -8.0760767, 111.9011891 -8.0760884, 111.9011918 -8.0761014, 111.9011935 -8.0762099, 111.9011935 -8.0763985, 111.9011859 -8.0767163)",
682395702,False,,,residential,True,69.617,"LINESTRING (111.9009728 -8.0760366, 111.900995 -8.0755832, 111.9010044 -8.0754113)",
1161229731,False,,,residential,False,91.908,"LINESTRING (111.9009728 -8.0760366, 111.900769 -8.076005, 111.9007529 -8.0760096, 111.9007428 -8.0760183, 111.9007368 -8.0760297, 111.9007315 -8.0761528, 111.9007026 -8.0766083)",
158390868,False,,,residential,False,27.006999999999998,"LINESTRING (111.9010044 -8.0754113, 111.9011874 -8.0754591, 111.9012423 -8.0754703)",
158390868,False,,,residential,True,77.856,"LINESTRING (111.9010044 -8.0754113, 111.9003766 -8.0752447, 111.9003303 -8.0752114)",
682395702,False,,,residential,False,69.617,"LINESTRING (111.9010044 -8.0754113, 111.900995 -8.0755832, 111.9009728 -8.0760366)",
96322098,False,,,residential,False,51.252,"LINESTRING (111.9011859 -8.0767163, 111.9016401 -8.0768174)",
96322098,False,,,residential,True,8.687,"LINESTRING (111.9011859 -8.0767163, 111.901109 -8.0766988)",
682395702,False,,,residential,True,95.15299999999999,"LINESTRING (111.9011859 -8.0767163, 111.9011935 -8.0763985, 111.9011935 -8.0762099, 111.9011918 -8.0761014, 111.9011891 -8.0760884, 111.9011825 -8.0760767, 111.9011716 -8.076067, 111.9011549 -8.0760609, 111.9009728 -8.0760366)",
158315744,False,,Gang IV,residential,False,31.015,"LINESTRING (111.9029316 -8.0688113, 111.9032132 -8.0688193)",
158315744,False,,Gang IV,residential,True,20.254,"LINESTRING (111.9029316 -8.0688113, 111.90278 -8.0688091, 111.9027478 -8.068806)",
