osmid,oneway,highway,reversed,length,geometry,name,lanes,bridge,junction
783268488,True,primary,False,37.882000000000005,"LINESTRING (114.5944559 -3.3206407, 114.5943801 -3.3206668, 114.5942943 -3.3206963, 114.5942239 -3.3207244, 114.59413 -3.3207351)",,,,
677184145,True,trunk,False,10.431,"LINESTRING (114.5927288 -3.3203135, 114.5927173 -3.3204066)",,,,
"[286612154, 783268486, 558565695]",True,primary,False,118.597,"LINESTRING (114.5927288 -3.3203135, 114.5928721 -3.3203338, 114.5931439 -3.320368, 114.5937806 -3.3204483, 114.5937884 -3.3204496)",Jembatan Merdeka,,yes,
558097895,False,tertiary,False,7.362,"LINESTRING (114.5898566 -3.3142819, 114.5897911 -3.3142715)",,,,
298521496,False,tertiary,False,148.707,"LINESTRING (114.5898566 -3.3142819, 114.590043 -3.3143113, 114.5904893 -3.3143656, 114.5911829 -3.3144689)",Jalan Tarakan,2,,
712902524,True,trunk,False,75.725,"LINESTRING (114.5898566 -3.3142819, 114.5898957 -3.3145105, 114.5899577 -3.3148035, 114.5899887 -3.3149499)",Jalan S. Parman,2,,
816419278,True,primary,False,47.42,"LINESTRING (114.5933387 -3.3175291, 114.5933312 -3.3173208, 114.5933345 -3.3171028)",Jalan Kapten Pierre Tendean,2,,
297206850,False,tertiary,False,65.126,"LINESTRING (114.5956023 -3.3181045, 114.5956126 -3.3175189)",Jalan Ade Irma Suryani Nasution,,,
297206850,False,tertiary,True,5.05,"LINESTRING (114.5956023 -3.3181045, 114.5956036 -3.3181499)",Jalan Ade Irma Suryani Nasution,,,
297206849,True,tertiary,False,261.45,"LINESTRING (114.5956023 -3.3181045, 114.5942605 -3.3177268, 114.5939589 -3.3175717, 114.5938271 -3.3175566, 114.5933387 -3.3175291)",Jalan Simpang Kapten Piere Tedean,,,
298521496,False,tertiary,True,148.707,"LINESTRING (114.5911829 -3.3144689, 114.5904893 -3.3143656, 114.590043 -3.3143113, 114.5898566 -3.3142819)",Jalan Tarakan,2,,
705446133,False,secondary,False,40.239,"LINESTRING (114.5911829 -3.3144689, 114.5911395 -3.3147609, 114.5911293 -3.3148268)",Jalan Mayjen D.I. Panjaitan,2,,
344645686,False,residential,False,57.64,"LINESTRING (114.5927935 -3.3216053, 114.5923172 -3.3213989)",Jalan Bank Rakyat,,,
424010893,False,residential,False,44.13,"LINESTRING (114.5927935 -3.3216053, 114.5929411 -3.3212368)",,,,
344645686,False,residential,True,178.199,"LINESTRING (114.5927935 -3.3216053, 114.5927667 -3.3217321, 114.592639 -3.322295, 114.5926193 -3.3225059, 114.5925906 -3.3228116, 114.592579 -3.3231884)",Jalan Bank Rakyat,,,
355649110,False,living_street,False,130.643,"LINESTRING (114.5933456 -3.3166811, 114.5943055 -3.3167355, 114.5943314 -3.316522)",Gang Vihara,,,
"[286643186, 816419277, 816419278]",True,primary,False,229.782,"LINESTRING (114.5933456 -3.3166811, 114.5933508 -3.3164715, 114.593352 -3.3164406, 114.593353 -3.3164131, 114.5933533 -3.3164047, 114.5933547 -3.3163683, 114.5933587 -3.3163286, 114.5934015 -3.3159098, 114.5934904 -3.3153999, 114.5936236 -3.3146363)",Jalan Kapten Pierre Tendean,2,yes,
355649118,False,living_street,False,231.32600000000002,"LINESTRING (114.5933345 -3.3171028, 114.5937533 -3.3171886, 114.5940563 -3.3172355, 114.59451 -3.3172561, 114.5946065 -3.3172557, 114.5946076 -3.3172553, 114.5946085 -3.3172546, 114.5946094 -3.3172528, 114.5946309 -3.317143, 114.5946329 -3.3171388, 114.5946383 -3.3171358, 114.5946819 -3.3171403, 114.594991 -3.3171818, 114.5950443 -3.3170144, 114.5951818 -3.3170414)",Komplek P & K,,,
816419278,True,primary,False,46.908,"LINESTRING (114.5933345 -3.3171028, 114.5933403 -3.3168799, 114.5933423 -3.3168056, 114.5933456 -3.3166811)",Jalan Kapten Pierre Tendean,2,,
355649108,False,living_street,True,102.86500000000001,"LINESTRING (114.5943795 -3.3185285, 114.5939338 -3.3185824, 114.5934628 -3.3186619)",Gang Surya Cipta,,,
816419278,True,primary,False,35.501,"LINESTRING (114.5934628 -3.3186619, 114.5934165 -3.318346)",Jalan Kapten Pierre Tendean,2,,
355649108,False,living_street,False,102.86500000000001,"LINESTRING (114.5934628 -3.3186619, 114.5939338 -3.3185824, 114.5943795 -3.3185285)",Gang Surya Cipta,,,
286643188,True,secondary,False,45.626000000000005,"LINESTRING (114.5938677 -3.3201553, 114.593891 -3.3202192, 114.5939307 -3.3203483, 114.5939514 -3.3204179, 114.5939715 -3.3204957, 114.593983 -3.3205488)",,,,
816419278,True,primary,False,172.102,"LINESTRING (114.5938677 -3.3201553, 114.5936747 -3.3194738, 114.5936322 -3.3193243, 114.5935064 -3.3188811, 114.5934628 -3.3186619)",Jalan Kapten Pierre Tendean,2,,
344645686,False,residential,True,57.64,"LINESTRING (114.5923172 -3.3213989, 114.5927935 -3.3216053)",Jalan Bank Rakyat,,,
1258055717,True,trunk,False,39.760999999999996,"LINESTRING (114.5923172 -3.3213989, 114.5922451 -3.3215821, 114.5921862 -3.3217317)",Jalan Lambung Mangkurat,,,
424010893,False,residential,True,44.13,"LINESTRING (114.5929411 -3.3212368, 114.5927935 -3.3216053)",,,,
556838908,False,residential,True,55.72,"LINESTRING (114.5929411 -3.3212368, 114.592478 -3.3210435)",,,,
"[792678889, 424010893]",False,residential,False,56.599999999999994,"LINESTRING (114.5929411 -3.3212368, 114.5930283 -3.3212466, 114.5930672 -3.3212693, 114.593153 -3.3215554, 114.5931901 -3.3216238)",,,,
898388379,False,trunk_link,False,9.023,"LINESTRING (114.5921862 -3.3217317, 114.5921098 -3.321704)",,,,
1258055716,True,trunk,False,41.627,"LINESTRING (114.5921862 -3.3217317, 114.5921541 -3.3218079, 114.592081 -3.3219913, 114.5920506 -3.3220806)",Jalan Lambung Mangkurat,,,
898388379,False,trunk_link,True,9.023,"LINESTRING (114.5921098 -3.321704, 114.5921862 -3.3217317)",,,,
1258055718,True,trunk,False,156.113,"LINESTRING (114.5921098 -3.321704, 114.592225 -3.3214186, 114.5923205 -3.3211323, 114.5923964 -3.3209497, 114.5924988 -3.3207282, 114.5925659 -3.3205757, 114.5925806 -3.3205236, 114.592607 -3.3203941)",Jalan Lambung Mangkurat,2,,
556838908,False,residential,False,55.72,"LINESTRING (114.592478 -3.3210435, 114.5929411 -3.3212368)",,,,
1258055717,True,trunk,False,43.363,"LINESTRING (114.592478 -3.3210435, 114.5923172 -3.3213989)",Jalan Lambung Mangkurat,,,
1049179977,False,tertiary,True,28.024,"LINESTRING (114.5954738 -3.3154608, 114.5955605 -3.3156975)",Jalan Ade Irma Suryani Nasution,,,
