osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,junction,bridge,width
172946231,,Budovateľská,residential,,False,True,80.531,,"LINESTRING (17.5739338 47.8946793, 17.5733258 47.8952779)",,,
172946229,,Budovateľská,residential,,False,True,68.026,,"LINESTRING (17.5726762 47.8948483, 17.5733258 47.8952779)",,,
172946229,,Budovateľská,residential,,False,False,68.026,,"LINESTRING (17.5733258 47.8952779, 17.5726762 47.8948483)",,,
172946231,,Budovateľská,residential,,False,False,80.531,,"LINESTRING (17.5733258 47.8952779, 17.5739338 47.8946793)",,,
172946231,,Budovateľská,residential,,False,True,51.07,,"LINESTRING (17.5733258 47.8952779, 17.5729402 47.8956575)",,,
172946230,,Budovateľská,residential,,False,False,46.827,,"LINESTRING (17.5724169 47.8954246, 17.5729402 47.8956575)",,,
172946230,,Budovateľská,residential,,False,True,46.827,,"LINESTRING (17.5729402 47.8956575, 17.5724169 47.8954246)",,,
172946231,,Budovateľská,residential,,False,False,51.07,,"LINESTRING (17.5729402 47.8956575, 17.5733258 47.8952779)",,,
172946230,,Budovateľská,residential,,False,False,92.446,,"LINESTRING (17.5729402 47.8956575, 17.5738859 47.8960861, 17.5739675 47.8961231)",,,
95635938,2,Športová,secondary,50,False,False,145.06300000000002,507,"LINESTRING (17.5813546 47.894788, 17.5822915 47.8953572, 17.5827393 47.8956285, 17.5827994 47.8956617)",,,
95635938,2,Športová,secondary,50,False,True,84.32600000000001,507,"LINESTRING (17.5813546 47.894788, 17.5810869 47.8946334, 17.580612 47.8944045, 17.5804465 47.8943381)",,,
363809145,,,residential,,False,True,95.349,,"LINESTRING (17.5813546 47.894788, 17.581137 47.8948013, 17.5801151 47.8946115)",,,
95628462,,Parková cesta,residential,,False,True,28.372,,"LINESTRING (17.58449 47.8937529, 17.584297 47.893533)",,,
95635627,,Bratislavská,secondary,,False,False,5.932,506,"LINESTRING (17.5739675 47.8961231, 17.5739206 47.8961662)",,,
95635627,,Bratislavská,secondary,,False,True,318.393,506,"LINESTRING (17.5739675 47.8961231, 17.5750177 47.8951316, 17.5761396 47.8940459, 17.5762895 47.8938945, 17.576402 47.893771)",,,
172946230,,Budovateľská,residential,,False,True,92.446,,"LINESTRING (17.5739675 47.8961231, 17.5738859 47.8960861, 17.5729402 47.8956575)",,,
172945544,,Družstevnícka,residential,,False,False,85.922,,"LINESTRING (17.581378 47.8967701, 17.5806252 47.8973552)",,,
172945544,,Družstevnícka,residential,,False,True,31.925,,"LINESTRING (17.581378 47.8967701, 17.5816577 47.8965527)",,,
560062313,,,unclassified,,False,True,103.886,,"LINESTRING (17.581378 47.8967701, 17.5819701 47.8971018, 17.5823813 47.896789)",,,2
95635938,2,Športová,secondary,50,False,True,64.705,507,"LINESTRING (17.5834356 47.8960575, 17.5827994 47.8956617)",,,
95635938,2,Športová,secondary,50,False,False,71.583,507,"LINESTRING (17.5834356 47.8960575, 17.5836259 47.8961797, 17.5836957 47.8962356, 17.5837427 47.8962731, 17.5837984 47.8963261, 17.5838399 47.8963732, 17.5838958 47.8964768, 17.5839243 47.8965907)",,,
560062314,,,unclassified,,False,True,85.408,,"LINESTRING (17.5834356 47.8960575, 17.5831675 47.8962743, 17.5830602 47.8962725, 17.5826515 47.8965835)",,,2
337320207,,Námestie Svätej Trojice,tertiary,50,False,True,70.864,1421,"LINESTRING (17.5761267 47.8922811, 17.5760651 47.8922535, 17.575922 47.8921867, 17.5758496 47.8921509, 17.5757175 47.892074, 17.5756485 47.8920279, 17.5755689 47.8919592, 17.5754451 47.8918455)",,,
641996933,1,Námestie Svätej Trojice,tertiary,50,True,False,24.666,1421,"LINESTRING (17.5761267 47.8922811, 17.5762827 47.8922952, 17.5764526 47.8923185)",,,
632369824,1,,secondary,50,True,False,10.882,506,"LINESTRING (17.5764132 47.8924068, 17.5764057 47.8923755, 17.5764158 47.8923548, 17.5764272 47.8923378, 17.5764526 47.8923185)",roundabout,,
641996956,1,Námestie Svätej Trojice,tertiary,50,True,False,25.58,1421,"LINESTRING (17.5764132 47.8924068, 17.5762574 47.8923472, 17.5761267 47.8922811)",,,
632369824,1,,secondary,50,True,False,9.43,506,"LINESTRING (17.5765258 47.8922953, 17.5765896 47.8923155, 17.5766284 47.8923425)",roundabout,,
641996953,1,Námestie Svätej Trojice,secondary,50,True,False,24.128999999999998,506,"LINESTRING (17.5765258 47.8922953, 17.5765855 47.8921906, 17.5766623 47.8920992)",,,
632369824,1,,secondary,50,True,False,11.326999999999998,506,"LINESTRING (17.5767519 47.8924715, 17.5767708 47.8925178, 17.576765 47.8925466, 17.5767458 47.8925678)",roundabout,,
641996950,1,Krátky Rad,secondary,50,True,False,26.807000000000002,507,"LINESTRING (17.5767519 47.8924715, 17.5768219 47.8924997, 17.5769549 47.8925715, 17.5770124 47.8926321)",,,
632369824,1,,secondary,50,True,False,4.381,506,"LINESTRING (17.5767458 47.8925678, 17.5767229 47.8925828, 17.5766996 47.8925916)",roundabout,,
641996943,1,Bratislavská,secondary,50,True,False,19.043,506,"LINESTRING (17.5766996 47.8925916, 17.5766386 47.8927579)",,,
632369824,1,,secondary,50,True,False,10.148,506,"LINESTRING (17.5766996 47.8925916, 17.5766712 47.8925981, 17.5766437 47.8925976, 17.5766075 47.8925882, 17.5765742 47.8925736)",roundabout,,
632369824,1,,secondary,50,True,False,22.23,506,"LINESTRING (17.5765742 47.8925736, 17.5765467 47.8925323, 17.5765152 47.892494, 17.5764911 47.8924697, 17.5764521 47.892437, 17.5764132 47.8924068)",roundabout,,
632369824,1,,secondary,50,True,False,17.187,506,"LINESTRING (17.5766284 47.8923425, 17.5766639 47.8923971, 17.5767055 47.8924347, 17.5767519 47.8924715)",roundabout,,
641996946,1,Bratislavská,secondary,50,True,False,21.048,506,"LINESTRING (17.5766386 47.8927579, 17.5765742 47.8925736)",,,
"[632369826, 95635627, 95635629]",2,Bratislavská,secondary,50,False,"[False, True]",114.685,506,"LINESTRING (17.5766386 47.8927579, 17.5766393 47.8927719, 17.576635 47.8929041, 17.5766133 47.8931116, 17.5765933 47.8932329, 17.5765811 47.8933007, 17.5765627 47.8933788, 17.5765286 47.8935129, 17.576402 47.893771)",,yes,
632369827,2,Krátky Rad,secondary,50,False,True,16.88,507,"LINESTRING (17.5770124 47.8926321, 17.5770257 47.8926399, 17.577183 47.8927319)",,,
641996937,1,Krátky Rad,secondary,30,True,False,21.125,507,"LINESTRING (17.5770124 47.8926321, 17.5769089 47.8926072, 17.5767458 47.8925678)",,,
661978289,2,Námestie Svätej Trojice,residential,50,False,True,22.804,,"LINESTRING (17.5765238 47.8911628, 17.5767561 47.8910294)",,,
792825567,2,Námestie Svätej Trojice,residential,50,False,False,13.767,,"LINESTRING (17.5765238 47.8911628, 17.5766945 47.89121)",,,
