osmid,lanes,ref,highway,oneway,reversed,length,name,geometry
567956085,,,residential,False,True,124.631,Jirón Miguiel Grau,"LINESTRING (-79.0083341 -8.1701587, -79.008609 -8.171246)"
1232128071,,,residential,False,True,57.896,Jirón Rodolfo Espinar,"LINESTRING (-79.0083341 -8.1701587, -79.0078231 -8.1702822)"
1232128072,,,residential,False,False,55.077,Jirón Rodolfo Espinar,"LINESTRING (-79.0083341 -8.1701587, -79.0088223 -8.17005)"
94630218,,,residential,False,False,56.402,Calle Comandante Moore,"LINESTRING (-79.0100918 -8.1708965, -79.0099513 -8.1704087)"
94630218,,,residential,False,True,57.117,Calle Comandante Moore,"LINESTRING (-79.0100918 -8.1708965, -79.010234 -8.1713905)"
933911462,,,tertiary,True,False,113.082,Jirón Leoncio Prado,"LINESTRING (-79.0100918 -8.1708965, -79.0110905 -8.1706578)"
94606300,,,residential,False,False,38.488,Jirón José Galvez,"LINESTRING (-79.0090164 -8.1693597, -79.0086784 -8.1694484)"
94606300,,,residential,False,True,67.006,Jirón José Galvez,"LINESTRING (-79.0090164 -8.1693597, -79.0096048 -8.1692051)"
567956082,,,residential,False,False,48.442,Jirón Carlos de Los Heroes,"LINESTRING (-79.0090164 -8.1693597, -79.0089398 -8.1689307)"
567956082,,,residential,False,True,69.326,Jirón Carlos de Los Heroes,"LINESTRING (-79.0090164 -8.1693597, -79.0091795 -8.1699619)"
567956085,,,residential,False,False,62.532,Jirón Miguiel Grau,"LINESTRING (-79.008072 -8.1690452, -79.0079418 -8.1684978)"
567956085,,,residential,False,True,60.5,Jirón Miguiel Grau,"LINESTRING (-79.008072 -8.1690452, -79.0081967 -8.1695751)"
567956084,,,residential,False,True,124.176,,"LINESTRING (-79.008072 -8.1690452, -79.0075393 -8.169147, -79.0069646 -8.1692586)"
94603389,,,residential,False,True,65.555,Pasaje Libertad,"LINESTRING (-79.0096464 -8.1674257, -79.0098092 -8.1679928)"
94640951,,,residential,False,True,132.764,Calle Victor Raul Haya De La Torre,"LINESTRING (-79.0067654 -8.1687616, -79.0079418 -8.1684978)"
933911475,,,tertiary,False,True,59.454,Jirón Salaverry,"LINESTRING (-79.0067654 -8.1687616, -79.0069646 -8.1692586)"
933911475,,,tertiary,False,False,87.809,Jirón Salaverry,"LINESTRING (-79.0067654 -8.1687616, -79.0064771 -8.1681063, -79.0064334 -8.1680451)"
94627338,,,tertiary,True,False,51.096,Jirón Diego Ferré,"LINESTRING (-79.0079512 -8.1719275, -79.0074973 -8.1720239)"
94603934,,,residential,True,False,62.013999999999996,Pasaje Odonovan,"LINESTRING (-79.0079512 -8.1719275, -79.007902 -8.171771, -79.007897 -8.1717101, -79.0079053 -8.1713775)"
1187910193,,,residential,False,False,81.098,Jirón Salaverry,"LINESTRING (-79.007839 -8.173732, -79.0076962 -8.1730165)"
567956731,,,residential,False,False,78.366,,"LINESTRING (-79.007839 -8.173732, -79.0079209 -8.173689, -79.0082712 -8.1735421, -79.0084945 -8.1734582)"
"[567956730, 567956731]",,,residential,False,True,176.89100000000002,,"LINESTRING (-79.007839 -8.173732, -79.0075015 -8.1738169, -79.0072869 -8.1737664, -79.0068644 -8.1737863, -79.006817 -8.173179)"
1270220309,2,LI-1103,tertiary,False,False,8.4,,"LINESTRING (-79.0063237 -8.1678882, -79.006278 -8.1678277)"
1096121847,,,tertiary,False,True,21.22,Jirón Salaverry,"LINESTRING (-79.0063237 -8.1678882, -79.0063743 -8.167958, -79.0064334 -8.1680451)"
94603389,,,residential,False,False,65.555,Pasaje Libertad,"LINESTRING (-79.0098092 -8.1679928, -79.0096464 -8.1674257)"
94603389,,,residential,False,True,124.459,Pasaje Libertad,"LINESTRING (-79.0098092 -8.1679928, -79.010099 -8.1690747)"
94640951,,,residential,False,False,57.299,Calle Victor Raul Haya De La Torre,"LINESTRING (-79.0098092 -8.1679928, -79.0093071 -8.1681289)"
94640951,,,residential,False,True,69.23,Calle Victor Raul Haya De La Torre,"LINESTRING (-79.0098092 -8.1679928, -79.0104151 -8.1678257)"
94610894,,,tertiary,True,False,57.923,Jirón Leoncio Prado,"LINESTRING (-79.0073868 -8.1714666, -79.0079053 -8.1713775)"
933911473,,,tertiary,False,False,53.078,Jirón Salaverry,"LINESTRING (-79.0073868 -8.1714666, -79.0072934 -8.1709983)"
933911473,,,tertiary,False,True,63.151,Jirón Salaverry,"LINESTRING (-79.0073868 -8.1714666, -79.0074973 -8.1720239)"
1187905986,,,residential,False,False,130.315,Jirón Leoncio Prado,"LINESTRING (-79.0073868 -8.1714666, -79.0062149 -8.1716335)"
94606300,,,residential,False,False,54.859,Jirón José Galvez,"LINESTRING (-79.0086784 -8.1694484, -79.0081967 -8.1695751)"
94606300,,,residential,False,True,38.488,Jirón José Galvez,"LINESTRING (-79.0086784 -8.1694484, -79.0090164 -8.1693597)"
94616781,,,residential,False,False,48.544,Jirón Francisco Bolognesi,"LINESTRING (-79.0086784 -8.1694484, -79.0085767 -8.1690236)"
94616781,,,residential,False,True,68.744,Jirón Francisco Bolognesi,"LINESTRING (-79.0086784 -8.1694484, -79.0088223 -8.17005)"
1232126621,,,residential,False,True,64.077,Jirón Rodolfo Espinar,"LINESTRING (-79.0108239 -8.1695564, -79.010259 -8.1696957)"
1270220296,2,LI-1102,secondary,False,True,9.299,Avenida La Marina,"LINESTRING (-79.0108239 -8.1695564, -79.0108041 -8.1694751)"
1270220311,2,LI-1102,secondary,False,False,67.931,Avenida La Marina,"LINESTRING (-79.0108239 -8.1695564, -79.0109677 -8.1701505)"
94630218,,,residential,False,False,65.455,Calle Comandante Moore,"LINESTRING (-79.0093071 -8.1681289, -79.0091328 -8.1675661)"
94630218,,,residential,False,True,74.25,Calle Comandante Moore,"LINESTRING (-79.0093071 -8.1681289, -79.0094828 -8.1687736)"
94640951,,,residential,False,False,55.458,Calle Victor Raul Haya De La Torre,"LINESTRING (-79.0093071 -8.1681289, -79.0088182 -8.1682495)"
94640951,,,residential,False,True,57.299,Calle Victor Raul Haya De La Torre,"LINESTRING (-79.0093071 -8.1681289, -79.0098092 -8.1679928)"
520421208,,,residential,False,True,139.046,Pasaje Los Jazmines,"LINESTRING (-79.0122604 -8.1718671, -79.011942 -8.170657)"
567957100,,,residential,False,True,93.762,Pasaje La Marina,"LINESTRING (-79.0122604 -8.1718671, -79.0114579 -8.17215)"
