osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,width
680304256,False,,улица Сергея Лазо,tertiary,True,137.549,"LINESTRING (29.4789976 46.825477, 29.4806437 46.8249655)",60,
680056523,False,,улица Сергея Лазо,residential,False,144.954,"LINESTRING (29.4789976 46.825477, 29.4789168 46.8255019, 29.4788043 46.8255366, 29.4773459 46.8259863, 29.4772606 46.8260126)",60,
87497002,False,,улица Ленина,residential,True,143.598,"LINESTRING (29.4801031 46.8236747, 29.4784013 46.8242331)",,
87497007,False,,улица Калинина,residential,True,211.188,"LINESTRING (29.4801031 46.8236747, 29.4800505 46.8235557, 29.4800204 46.8234875, 29.4799618 46.8233549, 29.4799445 46.82331, 29.4798845 46.82318, 29.4797844 46.8229533, 29.4792924 46.8218583)",,
680056522,False,,Московская улица,residential,False,146.976,"LINESTRING (29.4792924 46.8218583, 29.4810939 46.8213813)",50,7
680056522,False,,Московская улица,residential,True,142.765,"LINESTRING (29.4792924 46.8218583, 29.4775291 46.8222972)",50,7
87497007,False,,улица Калинина,residential,False,211.18800000000002,"LINESTRING (29.4792924 46.8218583, 29.4797844 46.8229533, 29.4798845 46.82318, 29.4799445 46.82331, 29.4799618 46.8233549, 29.4800204 46.8234875, 29.4800505 46.8235557, 29.4801031 46.8236747)",,
87497007,False,,улица Калинина,residential,True,214.893,"LINESTRING (29.4792924 46.8218583, 29.4791535 46.8215255, 29.4790702 46.8213369, 29.4789385 46.8210387, 29.4789044 46.8209615, 29.4785889 46.8202474, 29.4784826 46.8200069)",,
133021422,True,2,улица Гагарина,residential,False,90.636,"LINESTRING (29.4844354 46.8259815, 29.4838956 46.8261422, 29.4833264 46.8262776)",,
231698782,True,,улица Суворова,primary,False,207.09699999999998,"LINESTRING (29.4826651 46.821016, 29.4826211 46.8209215, 29.4818164 46.8192464)",70,
404564011,False,,Московская улица,residential,True,126.262,"LINESTRING (29.4826651 46.821016, 29.4825158 46.8210518, 29.4810939 46.8213813)",50,7
680056528,False,,Московская улица,residential,False,135.633,"LINESTRING (29.4826651 46.821016, 29.4827479 46.820996, 29.4831764 46.8208719, 29.4843132 46.8205515)",50,7
397622677,True,,Советская улица,residential,False,216.13600000000002,"LINESTRING (29.4831612 46.8263062, 29.4826983 46.8252379, 29.4823489 46.8244436)",,
680056527,False,,улица Сергея Лазо,tertiary,True,12.015,"LINESTRING (29.4823489 46.8244436, 29.4824906 46.8243959)",60,
"[680304256, 680056527]",False,,улица Сергея Лазо,tertiary,False,142.127,"LINESTRING (29.4823489 46.8244436, 29.4822053 46.8244879, 29.4819624 46.8245628, 29.4816272 46.8246662, 29.4813367 46.8247556, 29.4806437 46.8249655)",60,
404564015,False,,Советская улица,residential,True,134.014,"LINESTRING (29.4816401 46.8225271, 29.4810939 46.8213813)",,
393488077,False,,улица Шестакова,residential,False,23.989,"LINESTRING (29.4867007 46.8215668, 29.4865956 46.8213634)",,
393488077,False,,улица Шестакова,residential,True,18.628,"LINESTRING (29.4867007 46.8215668, 29.4867869 46.8217236)",,
