osmid,name,highway,oneway,reversed,length,lanes,ref,geometry,width
"[833897957, 833897958]",,residential,False,False,381.05999999999995,,,"LINESTRING (-72.1056246 7.0033544, -72.1054242 7.0036425, -72.1051552 7.0042361, -72.1049606 7.0045488, -72.1048402 7.0047841, -72.1048792 7.0049703, -72.105003 7.0050757, -72.1052437 7.0050616, -72.1056153 7.0049071, -72.1059232 7.0047666, -72.1063142 7.004507)",
483966313,Carrera 2,residential,False,False,14.5,,,"LINESTRING (-72.1069962 7.0033382, -72.1069131 7.0032372)",
483966313,Carrera 2,residential,False,True,66.977,,,"LINESTRING (-72.1069962 7.0033382, -72.1073695 7.0038131)",
833911362,Calle 4,residential,False,False,50.97,,,"LINESTRING (-72.1069962 7.0033382, -72.1066434 7.003634)",
833911350,,residential,False,True,79.327,,,"LINESTRING (-72.1067401 7.004366, -72.1072521 7.0048667)",
871906655,Calle 5,residential,False,True,42.796,,,"LINESTRING (-72.1067401 7.004366, -72.1070324 7.0041131)",
"[833911362, 833911356]","['Carrera 1', 'Calle 4']",residential,False,True,117.62,,,"LINESTRING (-72.1067401 7.004366, -72.1064892 7.004116, -72.1063103 7.0038938, -72.1066434 7.003634)",
537477803,,residential,False,False,68.42,,,"LINESTRING (-72.1070324 7.0041131, -72.1066434 7.003634)",
871906655,Calle 5,residential,False,False,42.796,,,"LINESTRING (-72.1070324 7.0041131, -72.1067401 7.004366)",
871906655,Calle 5,residential,False,True,49.969,,,"LINESTRING (-72.1070324 7.0041131, -72.1073695 7.0038131)",
537477803,,residential,False,True,68.42,,,"LINESTRING (-72.1066434 7.003634, -72.1070324 7.0041131)",
833911362,Calle 4,residential,False,True,50.97,,,"LINESTRING (-72.1066434 7.003634, -72.1069962 7.0033382)",
"[833911362, 833911356]","['Carrera 1', 'Calle 4']",residential,False,False,117.62,,,"LINESTRING (-72.1066434 7.003634, -72.1063103 7.0038938, -72.1064892 7.004116, -72.1067401 7.004366)",
483966311,Carrera 3,residential,False,False,78.685,,,"LINESTRING (-72.1081182 7.0031604, -72.1076532 7.002624)",
483966328,Calle 5,residential,False,True,88.452,,,"LINESTRING (-72.1081182 7.0031604, -72.1087497 7.0026706)",
871906655,Calle 5,residential,False,False,109.978,,,"LINESTRING (-72.1081182 7.0031604, -72.1073695 7.0038131)",
816881081,Carrera 5,residential,False,False,14.515,1,,"LINESTRING (-72.1082698 7.0004116, -72.1081771 7.000319)",3
483966318,Carrera 5,residential,True,False,70.529,,,"LINESTRING (-72.1082698 7.0004116, -72.1082836 7.0004872, -72.1086314 7.0009249)",
483966322,Calle 2,residential,False,False,117.045,,,"LINESTRING (-72.1081771 7.000319, -72.1073895 7.0010239)",
816881081,Carrera 5,residential,False,True,14.515,1,,"LINESTRING (-72.1081771 7.000319, -72.1082698 7.0004116)",3
833911359,Pamplona - Saravena,primary,False,True,48.669,2,66,"LINESTRING (-72.1081771 7.000319, -72.108604 7.0002093)",
833911360,Pamplona - Saravena,primary,False,False,127.898,2,66,"LINESTRING (-72.1081771 7.000319, -72.1070611 7.0006289)",
"[483966292, 871906654]","['Carrera 7', 'Carrera 5']",residential,False,"[False, True]",191.987,1,,"LINESTRING (-72.1081771 7.000319, -72.1076572 6.9994682, -72.1083873 6.9993683)",3
483966325,Calle 4,residential,False,False,132.575,,,"LINESTRING (-72.1100837 7.0006704, -72.1091559 7.0014277)",
483966325,Calle 4,residential,False,True,10.146,,,"LINESTRING (-72.1100837 7.0006704, -72.1101708 7.0006412)",
