osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
843193027,False,2,MEX 106,Calle Lázaro Cárdenas,primary,,False,89.354,"LINESTRING (-99.2650339 19.0302077, -99.2651466 19.0299972, -99.2652208 19.0298465, -99.265388 19.0294775)"
149605928,False,,,Calle Iturbide,residential,,False,189.534,"LINESTRING (-99.2628855 19.0309785, -99.2639383 19.031085, -99.2639704 19.0311129, -99.2640133 19.0311496, -99.2640629 19.0311763, -99.2646423 19.0312574)"
785195564,False,,,,residential,,False,136.675,"LINESTRING (-99.2628855 19.0309785, -99.2628264 19.0310267, -99.2628023 19.0310546, -99.2627889 19.0310951, -99.2629391 19.0321626)"
843189896,False,2,MOR,Avenida Cuernavaca,primary,,False,21.389,"LINESTRING (-99.2675575 19.0240961, -99.267573 19.0242879)"
113603490,False,,,Calle Venustiano Carranza,residential,,False,56.687,"LINESTRING (-99.2682613 19.0297735, -99.2682351 19.0292643)"
113603490,False,,,Calle Venustiano Carranza,residential,,True,83.979,"LINESTRING (-99.2682613 19.0297735, -99.2683089 19.0305274)"
784944128,False,,,Calle Netzahualcóyotl,residential,,False,28.293,"LINESTRING (-99.2682613 19.0297735, -99.2685304 19.0297788)"
149605942,False,,,Privada González,residential,,False,47.525,"LINESTRING (-99.2626173 19.0281715, -99.2625073 19.0282349, -99.2622954 19.0284657)"
843194630,False,,,Calle Calvario,residential,,True,293.31399999999996,"LINESTRING (-99.2626173 19.0281715, -99.2629498 19.0280853, -99.2638055 19.0279712, -99.2642292 19.0279636, -99.2646343 19.0279002, -99.2648032 19.0278216, -99.2648488 19.0278166, -99.265349 19.0279234)"
843201349,False,,,Calle Vereda,residential,,False,91.5,"LINESTRING (-99.2626173 19.0281715, -99.2626789 19.0278723, -99.2627084 19.0276517, -99.2626779 19.0273574)"
149605942,False,,,Privada González,residential,,True,47.525,"LINESTRING (-99.2622954 19.0284657, -99.2625073 19.0282349, -99.2626173 19.0281715)"
113603478,False,2,,Calle Hidalgo,tertiary,,False,100.759,"LINESTRING (-99.2653557 19.0292551, -99.2653224 19.0283495)"
842852274,False,2,,Calle Lázaro Cárdenas,tertiary,,True,13.572,"LINESTRING (-99.2653557 19.0292551, -99.2654845 19.0292466)"
842852274,False,2,,Calle Lázaro Cárdenas,tertiary,,False,88.67099999999999,"LINESTRING (-99.2653557 19.0292551, -99.264881 19.0293075, -99.2645216 19.0293709)"
784932852,False,,,Calle Corregidora,residential,,False,55.335,"LINESTRING (-99.2669764 19.0298459, -99.2664517 19.0298859)"
842858577,False,,,Calle Matamoros,residential,,True,7.377,"LINESTRING (-99.2669764 19.0298459, -99.2669845 19.02978)"
842858577,False,,,Calle Matamoros,residential,,False,86.91,"LINESTRING (-99.2669764 19.0298459, -99.2669919 19.0301798, -99.2669678 19.0303142, -99.2668622 19.0306088)"
784944128,False,,,Calle Netzahualcóyotl,residential,,True,22.95,"LINESTRING (-99.2687487 19.0297817, -99.2685304 19.0297788)"
785195547,False,,,,residential,,False,86.386,"LINESTRING (-99.2687487 19.0297817, -99.268693 19.0290066)"
784944128,False,,,Calle Netzahualcóyotl,residential,,False,169.746,"LINESTRING (-99.2687487 19.0297817, -99.2696419 19.0297639, -99.2703607 19.0297059)"
842858577,False,,,Calle Matamoros,residential,,False,97.739,"LINESTRING (-99.2667492 19.031168, -99.2668444 19.0315135, -99.2668897 19.0320337)"
842858577,False,,,Calle Matamoros,residential,,True,64.37899999999999,"LINESTRING (-99.2667492 19.031168, -99.2667317 19.0310343, -99.2667425 19.0309531, -99.2668622 19.0306088)"
842858580,False,,,,residential,,False,36.566,"LINESTRING (-99.2667492 19.031168, -99.266894 19.0311192, -99.2670878 19.0311084)"
843190506,False,,,,residential,,False,26.334,"LINESTRING (-99.2645216 19.0293709, -99.2646745 19.0295585)"
842852274,False,2,,Calle Lázaro Cárdenas,tertiary,,True,88.67099999999999,"LINESTRING (-99.2645216 19.0293709, -99.264881 19.0293075, -99.2653557 19.0292551)"
