osmid,oneway,name,highway,maxspeed,access,reversed,length,geometry,lanes,bridge,junction
437315450,False,Calle Juventino Rosas,residential,20,,True,39.593,"LINESTRING (-100.5135895 21.2939445, -100.5134933 21.2935999)",,,
739821270,False,Privada Juventino Rosas,residential,,,False,20.386,"LINESTRING (-100.5135895 21.2939445, -100.5134091 21.2940177)",,,
740435639,False,,residential,,,True,25.695,"LINESTRING (-100.5208308 21.2955947, -100.5209112 21.2958133)",,,
313888333,False,Calle Santa Ana,residential,20,,True,33.620000000000005,"LINESTRING (-100.5208308 21.2955947, -100.5206879 21.2957123, -100.5205793 21.2957852)",,,
740435639,False,,residential,,,False,25.695,"LINESTRING (-100.5209112 21.2958133, -100.5208308 21.2955947)",,,
740487981,False,Privada de Mina,residential,,,True,44.553,"LINESTRING (-100.5149544 21.2990947, -100.5153738 21.2991833)",,,
184939428,True,Calle Javier Mina,residential,20,yes,False,126.771,"LINESTRING (-100.5149544 21.2990947, -100.5147717 21.2995906, -100.5145843 21.3001811)",,,
740487981,False,Privada de Mina,residential,,,False,44.553,"LINESTRING (-100.5153738 21.2991833, -100.5149544 21.2990947)",,,
189591798,True,Calle Garibaldi,residential,20,yes,False,116.116,"LINESTRING (-100.5167721 21.2974601, -100.5166009 21.2964281)",,,
740493744,True,Calle Rayón,secondary,20,yes,False,183.086,"LINESTRING (-100.5167721 21.2974601, -100.5158229 21.2975148, -100.5150077 21.2974771)",,,
189595523,True,Calle Galeana,residential,20,yes,False,72.018,"LINESTRING (-100.5171011 21.297459, -100.5169845 21.2980975)",,,
740493743,True,Calle Rayón,secondary,20,yes,False,34.085,"LINESTRING (-100.5171011 21.297459, -100.5167721 21.2974601)",,,
184939429,False,Calle Aldama,residential,20,yes,False,117.269,"LINESTRING (-100.512974 21.2962358, -100.5120023 21.2967767)",1,,
188513551,True,Calle Aldama,residential,20,yes,False,52.045,"LINESTRING (-100.512974 21.2962358, -100.5134126 21.2960076)",,,
740493746,True,Calle Jiménez,residential,20,yes,False,170.43699999999998,"LINESTRING (-100.512974 21.2962358, -100.5129306 21.2961483, -100.5117248 21.2952533)",,,
202146396,True,Calle Michelena,residential,20,,False,56.58,"LINESTRING (-100.5134126 21.2960076, -100.5134439 21.2965156)",,,
449436351,False,Calle Aldama,residential,20,,True,121.992,"LINESTRING (-100.5134126 21.2960076, -100.5144781 21.2955406)",,,
184939429,False,Calle Aldama,residential,20,yes,True,117.269,"LINESTRING (-100.5120023 21.2967767, -100.512974 21.2962358)",1,,
713707062,False,Calle Verónica,residential,,,False,82.954,"LINESTRING (-100.5120023 21.2967767, -100.5123364 21.2970044, -100.5125429 21.2971841, -100.5126058 21.2972615)",,,
739613633,True,Calle Josefa Ortiz de Domínguez,residential,20,,False,24.215,"LINESTRING (-100.5202417 21.2983829, -100.5202197 21.2985997)",,,
